city,year,raw_national_rows,qualified_national_rows,within_radius_rows,duplicate_poc_rows_removed,station_days,n_sites,duplicate_event_types
Los Angeles,2019,155988,152140,2721,0,2510,7,{}
San Diego,2019,155988,152140,1189,0,1189,4,{}
Phoenix,2019,155988,152140,1747,0,1747,5,{}
Houston,2019,155988,152140,3165,0,3165,9,{}
Dallas,2019,155988,152140,1314,0,1314,4,{}
Atlanta,2019,155988,152140,999,0,999,3,{}
New York,2019,155988,152140,3201,0,3201,9,{}
Chicago,2019,155988,152140,1213,0,1213,4,{}
Philadelphia,2019,155988,152140,1481,0,1481,5,{}
Seattle,2019,155988,152140,722,0,722,2,{}
Denver,2019,155988,152140,1706,0,1706,5,{}
Los Angeles,2020,158613,155448,3223,0,2874,8,{}
San Diego,2020,158613,155448,1496,0,1410,4,{}
Phoenix,2020,158613,155448,1440,0,1440,4,{}
Houston,2020,158613,155448,3127,0,3127,9,{}
Dallas,2020,158613,155448,1353,0,1353,4,{}
Atlanta,2020,158613,155448,1089,0,1089,3,{}
New York,2020,158613,155448,3174,0,3174,9,{}
Chicago,2020,158613,155448,1348,0,1348,4,{}
Philadelphia,2020,158613,155448,1749,0,1749,5,{}
Seattle,2020,158613,155448,728,0,728,2,{}
Denver,2020,158613,155448,1762,0,1762,5,{}
Los Angeles,2021,159241,155609,3118,0,2779,8,{}
San Diego,2021,159241,155609,1672,0,1411,4,{}
Phoenix,2021,159241,155609,1723,0,1723,5,{}
Houston,2021,159241,155609,2985,0,2985,10,{}
Dallas,2021,159241,155609,1207,0,1207,4,{}
Atlanta,2021,159241,155609,1074,0,1074,3,{}
New York,2021,159241,155609,3092,0,3092,9,{}
Chicago,2021,159241,155609,1344,0,1344,4,{}
Philadelphia,2021,159241,155609,1772,0,1772,5,{}
Seattle,2021,159241,155609,711,0,711,2,{}
Denver,2021,159241,155609,1675,0,1675,5,{}
Los Angeles,2022,158072,154585,2908,0,2547,7,{}
San Diego,2022,158072,154585,1403,0,1403,4,{}
Phoenix,2022,158072,154585,1792,0,1792,5,{}
Houston,2022,158072,154585,3357,0,3357,10,{}
Dallas,2022,158072,154585,1214,0,1214,4,{}
Atlanta,2022,158072,154585,1015,0,1015,3,{}
New York,2022,158072,154585,3100,0,3100,9,{}
Chicago,2022,158072,154585,1416,0,1416,4,{}
Philadelphia,2022,158072,154585,1725,0,1725,5,{}
Seattle,2022,158072,154585,715,0,715,2,{}
Denver,2022,158072,154585,1734,0,1734,5,{}
Los Angeles,2023,156236,152565,2906,0,2543,7,{}
San Diego,2023,156236,152565,1496,0,1496,5,{}
Phoenix,2023,156236,152565,1736,0,1736,5,{}
Houston,2023,156236,152565,3077,0,3077,10,{}
Dallas,2023,156236,152565,1226,0,1226,4,{}
Atlanta,2023,156236,152565,1065,0,1065,3,{}
New York,2023,156236,152565,2814,0,2814,8,{}
Chicago,2023,156236,152565,1270,0,1270,4,{}
Philadelphia,2023,156236,152565,1759,0,1759,5,{}
Seattle,2023,156236,152565,685,0,685,2,{}
Denver,2023,156236,152565,1677,0,1677,5,{}
Los Angeles,2024,154659,150886,2884,0,2529,7,{}
San Diego,2024,154659,150886,1785,0,1785,5,{}
Phoenix,2024,154659,150886,1763,0,1763,5,{}
Houston,2024,154659,150886,3247,0,3247,10,{}
Dallas,2024,154659,150886,1352,0,1352,4,{}
Atlanta,2024,154659,150886,1057,0,1057,3,{}
New York,2024,154659,150886,2831,0,2831,8,{}
Chicago,2024,154659,150886,1408,0,1408,4,{}
Philadelphia,2024,154659,150886,1742,0,1742,6,{}
Seattle,2024,154659,150886,661,0,661,2,{}
Denver,2024,154659,150886,1700,0,1700,5,{}
Los Angeles,2025,151935,148199,2842,0,2514,7,{}
San Diego,2025,151935,148199,1597,0,1597,5,{}
Phoenix,2025,151935,148199,1694,0,1694,5,{}
Houston,2025,151935,148199,3449,0,3449,10,{}
Dallas,2025,151935,148199,1108,0,1108,4,{}
Atlanta,2025,151935,148199,946,0,946,3,{}
New York,2025,151935,148199,2707,0,2707,8,{}
Chicago,2025,151935,148199,1314,0,1314,4,{}
Philadelphia,2025,151935,148199,1745,0,1745,5,{}
Seattle,2025,151935,148199,978,0,978,3,{}
Denver,2025,151935,148199,1736,0,1736,5,{}
