State Code,County Code,Site Number,Parameter Code,Parameter Name,POC,Latitude,Longitude,Datum,First Year of Data,Last Sample Date,Monitor Type,Networks,Reporting Agency,PQAO,Collecting Agency,Exclusions,Monitoring Objective,Last Method Code,Last Method,Measurement Scale,Measurement Scale Definition,NAAQS Primary Monitor,QA Primary Monitor,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Tribe Name,Extraction Date,station_id
04,013,0019,42602,Nitrogen dioxide (NO2),1,33.48378,-112.14256,NAD83,1990,2026-03-31,SLAMS,,Maricopa County Air Quality,Maricopa County Air Quality,Maricopa County Air Quality,,POPULATION EXPOSURE,099,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,NEIGHBORHOOD,500 M TO 4KM,Y,,WEST PHOENIX,3847 W EARLL DR-WEST PHOENIX STATION,Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",,2026-06-26,04-013-0019
04,013,3002,42602,Nitrogen dioxide (NO2),1,33.45797,-112.04659,NAD83,1973,1974-09-20,UNKNOWN,,US EPA National Exposure Research Lab,US EPA National Exposure Research Lab,,,UNKNOWN,084,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,,,,,CENTRAL PHOENIX,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",,2026-06-26,04-013-3002
04,013,3002,42602,Nitrogen dioxide (NO2),2,33.45797,-112.04659,NAD83,1973,1974-10-14,UNKNOWN,,US EPA National Exposure Research Lab,US EPA National Exposure Research Lab,,,UNKNOWN,094,GAS-BUBBLER - NASN SODIUM ARSENITE - FRIT,,,,,CENTRAL PHOENIX,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",,2026-06-26,04-013-3002
04,013,3002,42602,Nitrogen dioxide (NO2),3,33.45797,-112.04659,NAD83,1972,1977-12-31,UNKNOWN,,US EPA National Exposure Research Lab,US EPA National Exposure Research Lab,,,UNKNOWN,014,INSTRUMENTAL - CHEMILUMINESCENCE,,,,,CENTRAL PHOENIX,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",,2026-06-26,04-013-3002
04,013,3002,42602,Nitrogen dioxide (NO2),4,33.45797,-112.04659,NAD83,1974,1977-03-26,UNKNOWN,,Maricopa County Air Quality,Maricopa County Air Quality,Pima County Department of Environmental Quality,,POPULATION EXPOSURE; UNKNOWN,084,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,,,,,CENTRAL PHOENIX,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",,2026-06-26,04-013-3002
04,013,3002,42602,Nitrogen dioxide (NO2),5,33.45797,-112.04659,NAD83,1967,1974-06-30,SLAMS,,Maricopa County Air Quality,Maricopa County Air Quality,,,HIGHEST CONCENTRATION,011,INSTRUMENTAL - COLORIMETRIC-LYSHKOW (MOD),NEIGHBORHOOD,500 M TO 4KM,,,CENTRAL PHOENIX,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",,2026-06-26,04-013-3002
04,013,3002,42602,Nitrogen dioxide (NO2),6,33.45797,-112.04659,NAD83,1974,2026-03-31,SLAMS,,Maricopa County Air Quality,Maricopa County Air Quality,Maricopa County Air Quality,,HIGHEST CONCENTRATION,099,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,NEIGHBORHOOD,500 M TO 4KM,Y,,CENTRAL PHOENIX,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",,2026-06-26,04-013-3002
04,013,4019,42602,Nitrogen dioxide (NO2),1,33.39623,-111.96799,NAD83,2014,2019-12-31,SLAMS,,Maricopa County Air Quality,Maricopa County Air Quality,Maricopa County Air Quality,,SOURCE ORIENTED,099,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,MICROSCALE,0 M TO 100 M,,,Diablo,"1919 W Fairmont Dr., Tempe, AZ",Arizona,Maricopa,Tempe,"Phoenix-Mesa-Scottsdale, AZ",,2026-06-26,04-013-4019
04,013,4020,42602,Nitrogen dioxide (NO2),1,33.46173,-112.12796,NAD83,2015,2026-03-31,SLAMS,NEAR ROAD,Maricopa County Air Quality,Maricopa County Air Quality,Maricopa County Air Quality,,SOURCE ORIENTED,099,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,MICROSCALE,0 M TO 100 M,Y,,Thirty-Third,3248 W. Moreland,Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",,2026-06-26,04-013-4020
04,013,4021,42602,Nitrogen dioxide (NO2),1,33.41046,-112.00264,WGS84,2021,2026-03-31,SLAMS,NEAR ROAD,Maricopa County Air Quality,Maricopa County Air Quality,Maricopa County Air Quality,,SOURCE ORIENTED,099,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,MICROSCALE,0 M TO 100 M,Y,,Eastwood,"4135 S 36th Street, Phoenix, AZ",Arizona,Maricopa,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",,2026-06-26,04-013-4021
