city,station_id,State Code,County Code,Site Number,Latitude,Longitude,Datum,Elevation,Land Use,Location Setting,Site Established Date,Site Closed Date,Met Site State Code,Met Site County Code,Met Site Site Number,Met Site Type,Met Site Distance,Met Site Direction,GMT Offset,Owning Agency,Local Site Name,Address,Zip Code,State Name,County Name,City Name,CBSA Name,Tribe Name,Extraction Date,gmt_offset_hours
Atlanta,13-089-0002,13,089,0002,33.6878,-84.2905,NAD83,308,RESIDENTIAL,SUBURBAN,1974-01-01,,,,,,,,-5,Georgia Air Protection Branch Ambient Monitoring Program,South DeKalb,"2300-C Wildcat Road, Decatur GA 30034",30034,Georgia,DeKalb,Not in a City,"Atlanta-Sandy Springs-Roswell, GA",,2026-06-26,-5
Atlanta,13-089-0003,13,089,0003,33.698643,-84.272614,NAD83,238,COMMERCIAL,SUBURBAN,1986-07-01,,,,,,,,-5,Georgia Air Protection Branch Ambient Monitoring Program,NR-285,"3073 PANTHERSVILLE ROAD, DECATUR, GA 30034",30034,Georgia,DeKalb,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",,2026-06-26,-5
Atlanta,13-121-0056,13,121,0056,33.7784,-84.3914,NAD83,286,MOBILE,URBAN AND CENTER CITY,2014-06-15,,,,,,,,-5,Georgia Air Protection Branch Ambient Monitoring Program,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",30313,Georgia,Fulton,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",,2026-06-26,-5
Chicago,17-031-0076,17,031,0076,41.7514,-87.713488,WGS84,186,RESIDENTIAL,SUBURBAN,2000-01-01,,,,,,,,-6,Cook County Department of Environmental Control,COM ED MAINTENANCE BLDG,7801 LAWNDALE,60652,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",,2026-06-26,-6
Chicago,17-031-3103,17,031,3103,41.965193,-87.876265,WGS84,195,MOBILE,SUBURBAN,1998-01-01,,,,,,,,-6,Illinois Environmental Protection Agency,IEPA TRAILER,4743 MANNHEIM RD.,60176,Illinois,Cook,Schiller Park,"Chicago-Naperville-Elgin, IL-IN-WI",,2026-06-26,-6
Chicago,17-031-4002,17,031,4002,41.855243,-87.75247,WGS84,184,RESIDENTIAL,SUBURBAN,1983-01-01,,,,,,,,-6,Cook County Department of Environmental Control,COOK COUNTY TRAILER,1820 S. 51ST AVE.,60804,Illinois,Cook,Cicero,"Chicago-Naperville-Elgin, IL-IN-WI",,2026-06-26,-6
Chicago,17-031-0219,17,031,0219,41.920009,-87.672995,NAD83,3,COMMERCIAL,URBAN AND CENTER CITY,2019-07-26,,,,,,,,-6,Illinois Environmental Protection Agency,Kennedy Near Road 2,Kennedy Expressway West,60614,Illinois,Cook,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",,2026-06-26,-6
Dallas,48-113-0069,48,113,0069,32.820061,-96.860117,WGS84,126.5,COMMERCIAL,URBAN AND CENTER CITY,1986-01-01,2025-10-31,,,,ON-SITE MET EQUIP,,,-6,Texas Commission On Environmental Quality,Dallas Hinton,1415 Hinton Street,75235,Texas,Dallas,Dallas,"Dallas-Fort Worth-Arlington, TX",,2026-06-26,-6
Dallas,48-113-0075,48,113,0075,32.919207,-96.808501,WGS84,190.8,RESIDENTIAL,SUBURBAN,1998-11-02,,,,,ON-SITE MET EQUIP,,,-6,Texas Commission On Environmental Quality,Dallas North #2,12532 1/2 Nuestra Drive,75230,Texas,Dallas,Dallas,"Dallas-Fort Worth-Arlington, TX",,2026-06-26,-6
Dallas,48-113-0087,48,113,0087,32.676448,-96.87205,WGS84,206,COMMERCIAL,SUBURBAN,1995-01-01,,,,,ON-SITE MET EQUIP,,,-6,Texas Commission On Environmental Quality,Dallas Redbird Airport Executive,3277 W Redbird Lane,75237,Texas,Dallas,Dallas,"Dallas-Fort Worth-Arlington, TX",,2026-06-26,-6
Dallas,48-113-1067,48,113,1067,32.92115,-96.753522,WGS84,177,COMMERCIAL,URBAN AND CENTER CITY,2014-04-01,,,,,ON-SITE MET EQUIP,,,-6,Texas Commission On Environmental Quality,Dallas LBJ Freeway,8652 LBJ Freeway,75243,Texas,Dallas,Dallas,"Dallas-Fort Worth-Arlington, TX",,2026-06-26,-6
Denver,08-001-3001,08,001,3001,39.838119,-104.94984,WGS84,1554,AGRICULTURAL,RURAL,1973-07-01,,,,,ON-SITE MET EQUIP,,,-7,Colorado Department of Public Health And Environment,Welby,3174 E. 78TH AVE.,80229,Colorado,Adams,Welby,"Denver-Aurora-Lakewood, CO",,2026-06-26,-7
Denver,08-031-0002,08,031,0002,39.751184,-104.987625,WGS84,1593,COMMERCIAL,URBAN AND CENTER CITY,1965-01-01,,,,,ON-SITE MET EQUIP,,,-7,Colorado Department of Public Health And Environment,DENVER - CAMP,2105 BROADWAY,80205,Colorado,Denver,Denver,"Denver-Aurora-Lakewood, CO",,2026-06-26,-7
Denver,08-031-0026,08,031,0026,39.77949,-105.00518,WGS84,1602,RESIDENTIAL,URBAN AND CENTER CITY,2012-09-27,,,,,,,,-7,Colorado Department of Public Health And Environment,La Casa,4545 Navajo St.,80211,Colorado,Denver,Denver,"Denver-Aurora-Lakewood, CO",,2026-06-26,-7
Denver,08-031-0027,08,031,0027,39.73217,-105.0153,WGS84,1583,COMMERCIAL,URBAN AND CENTER CITY,2013-06-01,,,,,,,,-7,Colorado Department of Public Health And Environment,I-25,971 Yuma Street,80204,Colorado,Denver,Denver,"Denver-Aurora-Lakewood, CO",,2026-06-26,-7
Denver,08-031-0028,08,031,0028,39.7861,-104.9886,WGS84,1587,COMMERCIAL,URBAN AND CENTER CITY,2015-10-01,,,,,,,,-7,Colorado Department of Public Health And Environment,Globeville,4903 Acoma St.,80216,Colorado,Denver,Denver,"Denver-Aurora-Lakewood, CO",,2026-06-26,-7
Houston,48-201-0024,48,201,0024,29.90103,-95.326147,WGS84,24.1,RESIDENTIAL,SUBURBAN,1974-01-01,,,,,ON-SITE MET EQUIP,,,-6,Texas Commission On Environmental Quality,Houston Aldine,4510 1/2 Aldine Mail Rd,77039,Texas,Harris,Houston,"Houston-The Woodlands-Sugar Land, TX",,2026-06-26,-6
Houston,48-201-0026,48,201,0026,29.802716,-95.125516,WGS84,11.9,RESIDENTIAL,SUBURBAN,1980-01-01,,,,,ON-SITE MET EQUIP,,,-6,Texas Commission On Environmental Quality,Channelview,1405 Sheldon Road,77530,Texas,Harris,Channelview,"Houston-The Woodlands-Sugar Land, TX",,2026-06-26,-6
Houston,48-201-0047,48,201,0047,29.834167,-95.489129,WGS84,24,RESIDENTIAL,SUBURBAN,1978-01-01,,,,,,,,-6,Texas Commission On Environmental Quality,Lang,4401 1/2 Lang Rd,77092,Texas,Harris,Houston,"Houston-The Woodlands-Sugar Land, TX",,2026-06-26,-6
Houston,48-201-0055,48,201,0055,29.69566,-95.49924,WGS84,19.5,RESIDENTIAL,SUBURBAN,1998-03-24,,,,,ON-SITE MET EQUIP,,,-6,Texas Commission On Environmental Quality,Houston Bayland Park,6400 Bissonnet Street,77074,Texas,Harris,Houston,"Houston-The Woodlands-Sugar Land, TX",,2026-06-26,-6
Houston,48-201-0416,48,201,0416,29.686289,-95.294723,WGS84,10,RESIDENTIAL,URBAN AND CENTER CITY,2006-02-22,,,,,ON-SITE MET EQUIP,,,-6,Texas Commission On Environmental Quality,Park Place,7421 Park Place Blvd,77087,Texas,Harris,Houston,"Houston-The Woodlands-Sugar Land, TX",,2026-06-26,-6
Houston,48-201-1034,48,201,1034,29.768033,-95.220574,WGS84,9.1,COMMERCIAL,SUBURBAN,1973-01-01,,48,201,1035,OTHER AIRS SITE,5225,SW,-6,Texas Commission On Environmental Quality,Houston East,1262 1/2 Mae Drive,77029,Texas,Harris,Houston,"Houston-The Woodlands-Sugar Land, TX",,2026-06-26,-6
Houston,48-201-1035,48,201,1035,29.733737,-95.257605,WGS84,12.5,INDUSTRIAL,URBAN AND CENTER CITY,1972-01-01,,,,,ON-SITE MET EQUIP,,,-6,Texas Commission On Environmental Quality,Clinton,9525 1/2 Clinton Dr,77029,Texas,Harris,Houston,"Houston-The Woodlands-Sugar Land, TX",,2026-06-26,-6
Houston,48-201-1052,48,201,1052,29.814387,-95.387817,WGS84,13.5,RESIDENTIAL,URBAN AND CENTER CITY,2015-04-13,,,,,ON-SITE MET EQUIP,,,-6,Texas Commission On Environmental Quality,Houston North Loop,822 North Loop,77022,Texas,Harris,Houston,"Houston-The Woodlands-Sugar Land, TX",,2026-06-26,-6
Houston,48-201-1066,48,201,1066,29.721621,-95.492667,WGS84,13,COMMERCIAL,URBAN AND CENTER CITY,2014-01-22,,,,,ON-SITE MET EQUIP,,,-6,Texas Commission On Environmental Quality,Houston Southwest Freeway,5617 Westward Avenue,77081,Texas,Harris,Houston,"Houston-The Woodlands-Sugar Land, TX",,2026-06-26,-6
Houston,48-201-0417,48,201,0417,29.772857,-95.395937,WGS84,8,COMMERCIAL,URBAN AND CENTER CITY,2021-01-25,,,,,,,,-6,Texas Commission On Environmental Quality,Houston Harvard Street,160 Harvard Street,77007,Texas,Harris,Houston,"Houston-The Woodlands-Sugar Land, TX",,2026-06-26,-6
Los Angeles,06-037-0113,06,037,0113,34.05111,-118.45636,WGS84,91,MOBILE,URBAN AND CENTER CITY,1980-01-01,,,,,,,,-8,South Coast Air Quality Management District,West Los Angeles,"VA HOSPITAL, WEST LOS ANGELES",90025,California,Los Angeles,West Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",,2026-06-26,-8
