city,year,episode_id,event_mean_n_sites,control_mean_n_sites,site_count_difference,roster_jaccard,common_qualified_sites,common_site_ids,original_change_ppb,common_site_change_ppb
Atlanta,2019,atlanta_2019-07-05,1.0,2.5,-1.5,1.0,1,13-121-0056,5.317772178571424,2.1022958571428543
Atlanta,2019,atlanta_2019-07-14,2.0,2.5,-0.5,0.6666666666666666,2,13-089-0003;13-121-0056,5.275863678571428,6.745866071428571
Atlanta,2019,atlanta_2019-07-27,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,2.130555642857141,2.130555642857141
Atlanta,2019,atlanta_2019-09-08,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,8.052244400000001,8.052244400000001
Atlanta,2019,atlanta_2019-09-16,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,3.87523985714286,3.8752398571428603
Atlanta,2020,atlanta_2020-07-14,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,3.6097563285714287,3.6097563285714322
Atlanta,2020,atlanta_2020-07-26,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,3.260088214285714,3.260088214285714
Atlanta,2020,atlanta_2020-08-05,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,5.770141742857138,5.770141742857138
Atlanta,2020,atlanta_2020-08-12,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,-3.806953285714284,-3.8069532857142843
Atlanta,2021,atlanta_2021-07-26,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,7.434469749999997,7.434469749999997
Atlanta,2021,atlanta_2021-08-09,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,-2.078165357142857,-2.078165357142857
Atlanta,2021,atlanta_2021-08-23,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,2.913053833333331,2.913053833333331
Atlanta,2022,atlanta_2022-07-02,2.857142857142857,3.0,-0.1428571428571428,1.0,3,13-089-0002;13-089-0003;13-121-0056,-0.1428257142857152,-0.14282571428571522
Atlanta,2022,atlanta_2022-07-23,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,5.525726642857144,5.525726642857144
Atlanta,2023,atlanta_2023-06-29,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,-1.0045285714285708,-1.0045285714285708
Atlanta,2023,atlanta_2023-07-25,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,0.2040170571428614,0.20401705714285967
Atlanta,2023,atlanta_2023-08-12,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,-1.39236435714286,-1.3923643571428599
Atlanta,2023,atlanta_2023-08-21,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,-0.0602484285714268,-0.06024842857142687
Atlanta,2024,atlanta_2024-06-14,2.5,2.5,0.0,1.0,1,13-121-0056,-0.3089844642857109,4.68673471428572
Atlanta,2024,atlanta_2024-06-21,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,-0.7717801428571409,-0.7717801428571427
Atlanta,2024,atlanta_2024-07-04,3.0,2.75,0.25,1.0,3,13-089-0002;13-089-0003;13-121-0056,0.2097884107142853,0.20978841071428533
Atlanta,2024,atlanta_2024-07-12,3.0,2.75,0.25,1.0,3,13-089-0002;13-089-0003;13-121-0056,4.895623767857144,4.8956237678571455
Atlanta,2024,atlanta_2024-08-27,3.0,2.4285714285714284,0.5714285714285716,1.0,2,13-089-0002;13-121-0056,-3.8924685,0.10834978571428344
Atlanta,2024,atlanta_2024-09-20,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,0.4051092142857158,0.40510921428571756
Atlanta,2025,atlanta_2025-06-22,3.0,2.75,0.25,1.0,3,13-089-0002;13-089-0003;13-121-0056,0.5143520178571439,0.5143520178571439
Atlanta,2025,atlanta_2025-07-07,3.0,3.0,0.0,1.0,3,13-089-0002;13-089-0003;13-121-0056,7.576341142857139,7.5763411428571406
Atlanta,2025,atlanta_2025-09-19,0.0,3.0,-3.0,1.0,0,,,
Chicago,2019,chicago_2019-07-01,3.0,3.0,0.0,1.0,3,17-031-0076;17-031-3103;17-031-4002,-4.442941071428573,-4.442941071428574
Chicago,2020,chicago_2020-06-29,4.0,4.0,0.0,1.0,4,17-031-0076;17-031-0219;17-031-3103;17-031-4002,2.677496107142856,2.677496107142858
Chicago,2020,chicago_2020-08-14,3.0,4.0,-1.0,0.75,3,17-031-0219;17-031-3103;17-031-4002,-4.457795392857145,-3.870530785714287
Chicago,2020,chicago_2020-08-24,3.0,4.0,-1.0,0.75,3,17-031-0219;17-031-3103;17-031-4002,-8.714520892857145,-9.794934642857143
Chicago,2021,chicago_2021-06-11,4.0,4.0,0.0,1.0,4,17-031-0076;17-031-0219;17-031-3103;17-031-4002,-6.564322142857145,-6.564322142857145
Chicago,2021,chicago_2021-07-25,3.25,4.0,-0.75,1.0,3,17-031-0219;17-031-3103;17-031-4002,6.548363,5.244047571428572
Chicago,2021,chicago_2021-08-18,3.0,4.0,-1.0,0.75,3,17-031-0219;17-031-3103;17-031-4002,3.3349965714285705,1.6195164761904728
Chicago,2021,chicago_2021-08-25,3.0,4.0,-1.0,0.75,3,17-031-0219;17-031-3103;17-031-4002,-11.797096119047618,-11.58980919047619
Chicago,2022,chicago_2022-08-23,3.0,4.0,-1.0,1.0,3,17-031-0076;17-031-0219;17-031-3103,7.211696714285717,6.2619049285714325
Chicago,2023,chicago_2023-07-04,1.0,3.0,-2.0,0.6666666666666666,1,17-031-3103,-2.1570345000000035,-3.2068450714285692
Chicago,2023,chicago_2023-07-24,4.0,3.0,1.0,0.75,2,17-031-0219;17-031-3103,9.459565857142858,17.71354875
Chicago,2024,chicago_2024-07-30,4.0,3.3333333333333335,0.6666666666666665,1.0,3,17-031-0076;17-031-3103;17-031-4002,0.2729457380952365,-3.104878952380952
Chicago,2024,chicago_2024-08-30,4.0,4.0,0.0,1.0,4,17-031-0076;17-031-0219;17-031-3103;17-031-4002,-18.840187642857146,-18.840187642857142
Chicago,2024,chicago_2024-09-19,3.3333333333333335,4.0,-0.6666666666666665,1.0,3,17-031-0219;17-031-3103;17-031-4002,-6.023084785714284,-7.626612523809531
Chicago,2025,chicago_2025-06-29,3.0,4.0,-1.0,1.0,2,17-031-3103;17-031-4002,5.146076678571426,4.286647892857145
Chicago,2025,chicago_2025-07-14,4.0,3.5,0.5,1.0,2,17-031-3103;17-031-4002,9.451378750000002,4.353463250000001
Chicago,2025,chicago_2025-07-26,3.0,3.0,0.0,0.75,3,17-031-0076;17-031-0219;17-031-3103,2.302389107142858,1.0523891785714294
Dallas,2019,dallas_2019-07-31,4.0,4.0,0.0,1.0,4,48-113-0069;48-113-0075;48-113-0087;48-113-1067,-1.052512142857143,-1.0525121428571427
Dallas,2019,dallas_2019-09-02,3.6,3.6,0.0,1.0,2,48-113-0075;48-113-1067,4.225596,3.9131972285714287
Dallas,2019,dallas_2019-09-13,4.0,3.75,0.25,1.0,3,48-113-0075;48-113-0087;48-113-1067,-0.4052632500000008,0.6579718392857119
