model,omitted_year,contrast,estimate_ppb
all_consecutive_episodes,2019,episode_vs_reference,3.2686579243133482
all_consecutive_episodes,2019,heat_only_vs_reference,0.4195322263560868
all_consecutive_episodes,2019,wind_only_vs_reference,2.869931690083616
all_consecutive_episodes,2019,other_compound_vs_reference,2.5520150504489014
all_consecutive_episodes,2019,episode_vs_heat_only,2.8491256979572612
all_consecutive_episodes,2019,episode_vs_wind_only,0.39872623422973175
all_consecutive_episodes,2020,episode_vs_reference,3.130521461059185
all_consecutive_episodes,2020,heat_only_vs_reference,0.48975231120935964
all_consecutive_episodes,2020,wind_only_vs_reference,2.917256842443773
all_consecutive_episodes,2020,other_compound_vs_reference,2.8704678185120454
all_consecutive_episodes,2020,episode_vs_heat_only,2.6407691498498256
all_consecutive_episodes,2020,episode_vs_wind_only,0.21326461861541182
all_consecutive_episodes,2021,episode_vs_reference,3.170002022028459
all_consecutive_episodes,2021,heat_only_vs_reference,0.5375237339589307
all_consecutive_episodes,2021,wind_only_vs_reference,2.8808410782982503
all_consecutive_episodes,2021,other_compound_vs_reference,2.6964869663304705
all_consecutive_episodes,2021,episode_vs_heat_only,2.632478288069528
all_consecutive_episodes,2021,episode_vs_wind_only,0.28916094373020856
all_consecutive_episodes,2022,episode_vs_reference,3.203511872275793
all_consecutive_episodes,2022,heat_only_vs_reference,0.49493379519305186
all_consecutive_episodes,2022,wind_only_vs_reference,2.807004026970277
all_consecutive_episodes,2022,other_compound_vs_reference,2.7833844159821592
all_consecutive_episodes,2022,episode_vs_heat_only,2.7085780770827412
all_consecutive_episodes,2022,episode_vs_wind_only,0.3965078453055158
all_consecutive_episodes,2023,episode_vs_reference,3.3739684158265315
all_consecutive_episodes,2023,heat_only_vs_reference,0.6628923584984828
all_consecutive_episodes,2023,wind_only_vs_reference,2.8826038765453625
all_consecutive_episodes,2023,other_compound_vs_reference,2.92525491852258
all_consecutive_episodes,2023,episode_vs_heat_only,2.7110760573280475
all_consecutive_episodes,2023,episode_vs_wind_only,0.49136453928116863
all_consecutive_episodes,2024,episode_vs_reference,3.2829189342491394
all_consecutive_episodes,2024,heat_only_vs_reference,0.5575542023833117
all_consecutive_episodes,2024,wind_only_vs_reference,2.857516667392969
all_consecutive_episodes,2024,other_compound_vs_reference,2.7958928024232725
all_consecutive_episodes,2024,episode_vs_heat_only,2.725364731865828
all_consecutive_episodes,2024,episode_vs_wind_only,0.42540226685617116
