model,contrast,scheme,attempted,valid,failed,failure_fraction,conditional_lower,conditional_upper,status,target,temporal_year_blocks,note
calendar_only,episode_vs_reference,hierarchical_city_independent_year,5000,4984,16,0.0032,3.403286061775317,5.848337931682737,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,episode_vs_reference,synchronized_year_fixed_cities,5000,4984,16,0.0032,4.337311984332898,4.802520671975633,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,episode_vs_reference,synchronized_year_resampled_cities,5000,4989,11,0.0022,3.396804382238488,5.892290546906987,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,heat_only_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,0.8835423568250801,3.1833547792345267,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,heat_only_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,1.79025843002054,2.231425011696509,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,heat_only_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,0.8813192365576308,3.1576757303050407,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,wind_only_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,2.1576098419516963,3.8436436242513214,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,wind_only_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,2.846363434397618,3.147393435319845,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,wind_only_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,2.15458016468898,3.8416840323368846,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,other_compound_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,2.702062254936598,5.398654237675355,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,other_compound_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,3.5665224924785774,4.43006946422586,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,other_compound_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,2.6454307188779005,5.41892107201214,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,episode_vs_wind_only,hierarchical_city_independent_year,5000,4984,16,0.0032,0.4210066889821162,2.857792679994468,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,episode_vs_wind_only,synchronized_year_fixed_cities,5000,4984,16,0.0032,1.411598354507977,1.7994722899506579,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,episode_vs_wind_only,synchronized_year_resampled_cities,5000,4989,11,0.0022,0.41388852026345846,2.8349863450810884,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,episode_vs_heat_only,hierarchical_city_independent_year,5000,4984,16,0.0032,1.5586172756997119,3.5912960929120956,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,episode_vs_heat_only,synchronized_year_fixed_cities,5000,4984,16,0.0032,2.428358759876112,2.754271687181101,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
calendar_only,episode_vs_heat_only,synchronized_year_resampled_cities,5000,4989,11,0.0022,1.6103440205073096,3.6349376944114824,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
