model,city,contrast,estimate_ppb,ci_lower,ci_upper,ci_status,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,valid_bootstrap,n_station_days,n_city_days,n_stations,n_strata,n_episode_days,n_episodes,n_years,rank,parameters,condition_number,weighted_rmse,days_episode,days_heat_only,days_wind_only,days_other_compound
calendar_only,Atlanta,episode_vs_reference,3.3049798691173415,2.2069298922364196,4.4030298459982635,approximate_delete_one_year_jackknife_t,2.4121987888987615,3.989299372026633,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,4,4,6.42095651034235,3.3510871527988413,99,134,244,36
calendar_only,Atlanta,heat_only_vs_reference,0.8852247692506805,0.22263524070933527,1.5478142977920257,approximate_delete_one_year_jackknife_t,0.46410128802980244,1.4636427991358698,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,4,4,6.42095651034235,3.3510871527988413,99,134,244,36
calendar_only,Atlanta,wind_only_vs_reference,1.845156543906646,0.5508591959076354,3.1394538919056565,approximate_delete_one_year_jackknife_t,0.9559654897955976,2.7092953702078644,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,4,4,6.42095651034235,3.3510871527988413,99,134,244,36
calendar_only,Atlanta,other_compound_vs_reference,1.6741984644243737,0.05868711122601611,3.2897098176227315,approximate_delete_one_year_jackknife_t,0.714667891659835,3.2297125065950953,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,4,4,6.42095651034235,3.3510871527988413,99,134,244,36
calendar_only,Atlanta,episode_vs_heat_only,2.419755099866661,1.7157334599361522,3.1237767397971696,approximate_delete_one_year_jackknife_t,1.791251592286619,2.774761791340589,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,4,4,6.42095651034235,3.3510871527988413,99,134,244,36
calendar_only,Atlanta,episode_vs_wind_only,1.4598233252106956,0.5327401112361988,2.3869065391851922,approximate_delete_one_year_jackknife_t,0.8256267800427248,2.1022176048629717,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,4,4,6.42095651034235,3.3510871527988413,99,134,244,36
calendar_only,Chicago,episode_vs_reference,6.605464559455794,3.5376875899353832,9.673241528976206,approximate_delete_one_year_jackknife_t,4.644176053899598,9.152178124811368,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,4,4,7.766004659792763,4.2782400178069055,36,155,289,66
calendar_only,Chicago,heat_only_vs_reference,2.712751428545226,2.0588510905353643,3.3666517665550875,approximate_delete_one_year_jackknife_t,2.2835264246291085,3.0982514738789435,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,4,4,7.766004659792763,4.2782400178069055,36,155,289,66
calendar_only,Chicago,wind_only_vs_reference,5.254727192750193,4.469010382287209,6.040444003213176,approximate_delete_one_year_jackknife_t,4.715690521936139,5.8506461813270505,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,4,4,7.766004659792763,4.2782400178069055,36,155,289,66
calendar_only,Chicago,other_compound_vs_reference,6.3048275021056455,5.069880930320543,7.539774073890748,approximate_delete_one_year_jackknife_t,5.513606641268039,7.195263702568227,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,4,4,7.766004659792763,4.2782400178069055,36,155,289,66
