model,contrast,city,estimate_ppb,estimable,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
city_median,episode_vs_reference,Atlanta,2.1512743020162985,True,1284,1284,1,294,99,99,27,133,6,6,15,15,232.70243000943603,2.5075542805192717,1284.0,99,99,780,780,136,136,235,235,34,34
city_median,episode_vs_reference,Chicago,4.357450034860491,True,1284,1284,1,294,33,33,14,98,6,6,15,15,153.6595312345644,3.3622463360224373,1284.0,33,33,738,738,158,158,290,290,65,65
city_median,episode_vs_reference,Dallas,2.675505051977318,True,1284,1284,1,294,46,46,14,85,6,6,15,15,170.70009610645175,2.036623277820357,1284.0,46,46,686,686,218,218,295,295,39,39
city_median,episode_vs_reference,Denver,1.3602658401857695,True,1284,1284,1,294,8,8,4,41,6,6,15,15,222.28168359647665,3.228969294601445,1284.0,8,8,676,676,223,223,344,344,33,33
city_median,episode_vs_reference,Houston,2.4927463671255543,True,1284,1284,1,294,76,76,22,118,6,6,15,15,434.4324269586816,2.3187406741983616,1284.0,76,76,664,664,207,207,295,295,42,42
city_median,episode_vs_reference,Los Angeles,3.0582065310290005,True,1284,1284,1,294,76,76,24,127,6,6,15,15,813.1481988036733,2.279422461702118,1284.0,76,76,743,743,112,112,302,302,51,51
city_median,episode_vs_reference,New York,4.683042165269396,True,1284,1284,1,294,56,56,21,98,6,6,15,15,217.83055981125946,3.0728073387658883,1284.0,56,56,751,751,142,142,293,293,42,42
city_median,episode_vs_reference,Philadelphia,2.387507596417023,True,1284,1284,1,294,33,33,13,76,6,6,15,15,166.42679990231144,2.5555930305199315,1284.0,33,33,730,730,164,164,314,314,43,43
city_median,episode_vs_reference,Phoenix,3.6642624987799888,True,1284,1284,1,294,16,16,8,49,6,6,15,15,414.63025961010544,2.620556943428117,1284.0,16,16,666,666,241,241,328,328,33,33
city_median,episode_vs_reference,San Diego,1.8911329631061022,True,1284,1284,1,294,72,72,26,110,6,6,15,15,654.2933721825017,1.325835034980149,1284.0,72,72,735,735,140,140,299,299,38,38
city_median,episode_vs_reference,Seattle,6.688916685381714,True,1282,1282,1,294,40,40,16,104,6,6,15,15,520.744190612816,3.2683067069646117,1282.0,40,40,735,735,179,179,264,264,64,64
city_median,heat_only_vs_reference,Atlanta,-0.3085631047055364,True,1284,1284,1,294,99,99,27,133,6,6,15,15,232.70243000943603,2.5075542805192717,1284.0,99,99,780,780,136,136,235,235,34,34
city_median,heat_only_vs_reference,Chicago,0.15388618996667836,True,1284,1284,1,294,33,33,14,98,6,6,15,15,153.6595312345644,3.3622463360224373,1284.0,33,33,738,738,158,158,290,290,65,65
city_median,heat_only_vs_reference,Dallas,-0.9458929350791936,True,1284,1284,1,294,46,46,14,85,6,6,15,15,170.70009610645175,2.036623277820357,1284.0,46,46,686,686,218,218,295,295,39,39
city_median,heat_only_vs_reference,Denver,0.44860405020601357,True,1284,1284,1,294,8,8,4,41,6,6,15,15,222.28168359647665,3.228969294601445,1284.0,8,8,676,676,223,223,344,344,33,33
city_median,heat_only_vs_reference,Houston,-0.9669308292873626,True,1284,1284,1,294,76,76,22,118,6,6,15,15,434.4324269586816,2.3187406741983616,1284.0,76,76,664,664,207,207,295,295,42,42
city_median,heat_only_vs_reference,Los Angeles,1.0594344483432077,True,1284,1284,1,294,76,76,24,127,6,6,15,15,813.1481988036733,2.279422461702118,1284.0,76,76,743,743,112,112,302,302,51,51
city_median,heat_only_vs_reference,New York,1.354447799656059,True,1284,1284,1,294,56,56,21,98,6,6,15,15,217.83055981125946,3.0728073387658883,1284.0,56,56,751,751,142,142,293,293,42,42
city_median,heat_only_vs_reference,Philadelphia,0.7935571044205935,True,1284,1284,1,294,33,33,13,76,6,6,15,15,166.42679990231144,2.5555930305199315,1284.0,33,33,730,730,164,164,314,314,43,43
city_median,heat_only_vs_reference,Phoenix,0.03446085130752424,True,1284,1284,1,294,16,16,8,49,6,6,15,15,414.63025961010544,2.620556943428117,1284.0,16,16,666,666,241,241,328,328,33,33
city_median,heat_only_vs_reference,San Diego,0.5580456273398252,True,1284,1284,1,294,72,72,26,110,6,6,15,15,654.2933721825017,1.325835034980149,1284.0,72,72,735,735,140,140,299,299,38,38
city_median,heat_only_vs_reference,Seattle,3.8279545222128797,True,1282,1282,1,294,40,40,16,104,6,6,15,15,520.744190612816,3.2683067069646117,1282.0,40,40,735,735,179,179,264,264,64,64
city_median,wind_only_vs_reference,Atlanta,1.541781057997369,True,1284,1284,1,294,99,99,27,133,6,6,15,15,232.70243000943603,2.5075542805192717,1284.0,99,99,780,780,136,136,235,235,34,34
city_median,wind_only_vs_reference,Chicago,4.363964687214687,True,1284,1284,1,294,33,33,14,98,6,6,15,15,153.6595312345644,3.3622463360224373,1284.0,33,33,738,738,158,158,290,290,65,65
city_median,wind_only_vs_reference,Dallas,3.340034868247882,True,1284,1284,1,294,46,46,14,85,6,6,15,15,170.70009610645175,2.036623277820357,1284.0,46,46,686,686,218,218,295,295,39,39
city_median,wind_only_vs_reference,Denver,1.1190096342142306,True,1284,1284,1,294,8,8,4,41,6,6,15,15,222.28168359647665,3.228969294601445,1284.0,8,8,676,676,223,223,344,344,33,33
city_median,wind_only_vs_reference,Houston,3.7509450054916336,True,1284,1284,1,294,76,76,22,118,6,6,15,15,434.4324269586816,2.3187406741983616,1284.0,76,76,664,664,207,207,295,295,42,42
