model,city,year,episode_id,observed_station_days,selected_station_days,observed_city_days,selected_city_days,any_selected_site_day,every_observed_site_day_selected,every_observed_city_day_has_a_selected_site
city_median,Atlanta,2019,atlanta_2019-07-05,2,2,2,2,True,True,True
city_median,Atlanta,2019,atlanta_2019-07-14,2,2,2,2,True,True,True
city_median,Atlanta,2019,atlanta_2019-07-27,6,6,6,6,True,True,True
city_median,Atlanta,2019,atlanta_2019-08-10,5,5,5,5,True,True,True
city_median,Atlanta,2019,atlanta_2019-08-17,3,3,3,3,True,True,True
city_median,Atlanta,2019,atlanta_2019-09-08,5,5,5,5,True,True,True
city_median,Atlanta,2019,atlanta_2019-09-16,2,2,2,2,True,True,True
city_median,Atlanta,2019,atlanta_2019-09-29,5,5,5,5,True,True,True
city_median,Atlanta,2020,atlanta_2020-07-14,10,10,10,10,True,True,True
city_median,Atlanta,2020,atlanta_2020-07-26,2,2,2,2,True,True,True
city_median,Atlanta,2020,atlanta_2020-08-05,5,5,5,5,True,True,True
city_median,Atlanta,2020,atlanta_2020-08-12,2,2,2,2,True,True,True
city_median,Atlanta,2021,atlanta_2021-07-26,4,4,4,4,True,True,True
city_median,Atlanta,2021,atlanta_2021-08-09,2,2,2,2,True,True,True
city_median,Atlanta,2021,atlanta_2021-08-23,3,3,3,3,True,True,True
city_median,Atlanta,2022,atlanta_2022-07-02,7,7,7,7,True,True,True
city_median,Atlanta,2022,atlanta_2022-07-23,2,2,2,2,True,True,True
city_median,Atlanta,2023,atlanta_2023-06-29,2,2,2,2,True,True,True
city_median,Atlanta,2023,atlanta_2023-07-25,5,5,5,5,True,True,True
city_median,Atlanta,2023,atlanta_2023-08-12,2,2,2,2,True,True,True
city_median,Atlanta,2023,atlanta_2023-08-21,2,2,2,2,True,True,True
city_median,Atlanta,2024,atlanta_2024-06-14,2,2,2,2,True,True,True
city_median,Atlanta,2024,atlanta_2024-06-21,2,2,2,2,True,True,True
city_median,Atlanta,2024,atlanta_2024-07-04,4,4,4,4,True,True,True
city_median,Atlanta,2024,atlanta_2024-07-12,4,4,4,4,True,True,True
city_median,Atlanta,2024,atlanta_2024-08-27,7,7,7,7,True,True,True
city_median,Atlanta,2024,atlanta_2024-09-20,2,2,2,2,True,True,True
city_median,Chicago,2019,chicago_2019-07-01,2,2,2,2,True,True,True
city_median,Chicago,2020,chicago_2020-06-29,2,2,2,2,True,True,True
city_median,Chicago,2020,chicago_2020-08-14,2,2,2,2,True,True,True
city_median,Chicago,2021,chicago_2021-06-11,2,2,2,2,True,True,True
city_median,Chicago,2021,chicago_2021-07-25,4,4,4,4,True,True,True
city_median,Chicago,2021,chicago_2021-08-18,3,3,3,3,True,True,True
city_median,Chicago,2021,chicago_2021-08-25,2,2,2,2,True,True,True
city_median,Chicago,2022,chicago_2022-08-23,2,2,2,2,True,True,True
city_median,Chicago,2023,chicago_2023-07-04,2,2,2,2,True,True,True
city_median,Chicago,2023,chicago_2023-07-24,2,2,2,2,True,True,True
city_median,Chicago,2024,chicago_2024-07-30,3,3,3,3,True,True,True
city_median,Chicago,2024,chicago_2024-08-13,2,2,2,2,True,True,True
city_median,Chicago,2024,chicago_2024-08-30,2,2,2,2,True,True,True
city_median,Chicago,2024,chicago_2024-09-19,3,3,3,3,True,True,True
city_median,Dallas,2019,dallas_2019-07-31,2,2,2,2,True,True,True
city_median,Dallas,2019,dallas_2019-09-02,5,5,5,5,True,True,True
city_median,Dallas,2019,dallas_2019-09-13,4,4,4,4,True,True,True
city_median,Dallas,2021,dallas_2021-06-13,2,2,2,2,True,True,True
city_median,Dallas,2021,dallas_2021-07-26,6,6,6,6,True,True,True
city_median,Dallas,2021,dallas_2021-08-25,2,2,2,2,True,True,True
city_median,Dallas,2022,dallas_2022-06-17,2,2,2,2,True,True,True
city_median,Dallas,2022,dallas_2022-08-10,2,2,2,2,True,True,True
city_median,Dallas,2022,dallas_2022-09-20,3,3,3,3,True,True,True
city_median,Dallas,2023,dallas_2023-07-29,3,3,3,3,True,True,True
