model,contrast,omitted_city,estimate_ppb,n_target_cities,n_estimable_cities,target
core_monitors,episode_vs_reference,Atlanta,3.2325940595900904,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_reference,Chicago,3.0091589162783747,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_reference,Dallas,3.2046793329502443,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_reference,Denver,3.3236547284216007,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_reference,Houston,3.2893511889443396,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_reference,Los Angeles,3.1625919976501966,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_reference,New York,3.023332541174054,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_reference,Philadelphia,3.2757632497578677,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_reference,Phoenix,3.1484092961919563,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_reference,San Diego,3.259074717762597,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_reference,Seattle,2.828385581141556,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,heat_only_vs_reference,Atlanta,0.5799199100308167,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,heat_only_vs_reference,Chicago,0.537454512889471,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,heat_only_vs_reference,Dallas,0.6878474983581125,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,heat_only_vs_reference,Denver,0.5363911728589443,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,heat_only_vs_reference,Houston,0.7167972910666917,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,heat_only_vs_reference,Los Angeles,0.48918262342327407,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,heat_only_vs_reference,New York,0.46376533199311154,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,heat_only_vs_reference,Philadelphia,0.4917409661846147,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,heat_only_vs_reference,Phoenix,0.5897060438208293,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,heat_only_vs_reference,San Diego,0.5114015053158695,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,heat_only_vs_reference,Seattle,0.20392891330422583,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,wind_only_vs_reference,Atlanta,2.90968325946214,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,wind_only_vs_reference,Chicago,2.640983577177077,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,wind_only_vs_reference,Dallas,2.794689457038808,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,wind_only_vs_reference,Denver,2.9652836019630415,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,wind_only_vs_reference,Houston,2.729877440993056,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,wind_only_vs_reference,Los Angeles,2.8554111773376096,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,wind_only_vs_reference,New York,2.6620980659825,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,wind_only_vs_reference,Philadelphia,2.9071134802426997,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,wind_only_vs_reference,Phoenix,2.785239527940233,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,wind_only_vs_reference,San Diego,2.980194643438811,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,wind_only_vs_reference,Seattle,2.723420273123496,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,other_compound_vs_reference,Atlanta,2.8733586059923915,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,other_compound_vs_reference,Chicago,2.5265514223990797,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,other_compound_vs_reference,Dallas,2.8754572116470403,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,other_compound_vs_reference,Denver,2.9011133745321858,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,other_compound_vs_reference,Houston,2.8789340680208717,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,other_compound_vs_reference,Los Angeles,2.690557188509925,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,other_compound_vs_reference,New York,2.614000907127385,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,other_compound_vs_reference,Philadelphia,2.818366345830222,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,other_compound_vs_reference,Phoenix,2.795198370795096,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,other_compound_vs_reference,San Diego,2.8083899518907356,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,other_compound_vs_reference,Seattle,2.228762538776736,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_wind_only,Atlanta,0.32291080012795065,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_wind_only,Chicago,0.3681753391012977,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_wind_only,Dallas,0.40998987591143676,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_wind_only,Denver,0.3583711264585589,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_wind_only,Houston,0.559473747951284,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_wind_only,Los Angeles,0.30718082031258687,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_wind_only,New York,0.36123447519155405,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
core_monitors,episode_vs_wind_only,Philadelphia,0.36864976951516815,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
