model,contrast,city,estimate_ppb,estimable,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
core_monitors,episode_vs_reference,Atlanta,2.431055013961971,True,3701,1284,3,868,288,99,27,133,6,6,15,15,231.82846573211606,2.9655446329039856,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
core_monitors,episode_vs_reference,Chicago,4.665406447079128,True,4153,1284,4,973,103,33,14,98,6,6,15,15,153.2172496634058,3.8383788350344292,1284.0,103,33,2419,738,513,158,901,290,217,65
core_monitors,episode_vs_reference,Dallas,2.7102022803604315,True,3465,1284,4,827,116,46,14,85,6,6,15,15,170.21062256326434,2.5879191204185825,1284.0,116,46,1874,686,556,218,815,295,104,39
core_monitors,episode_vs_reference,Denver,1.5204483256468717,True,5709,1284,5,1369,35,8,4,41,6,6,15,15,222.14088202395294,3.3747876985440963,1284.0,35,8,2986,676,998,223,1542,344,148,33
core_monitors,episode_vs_reference,Houston,1.8634837204194807,True,9483,1284,10,2283,545,76,22,118,6,6,15,15,475.90383232956765,3.2555840616064904,1284.0,545,76,4976,664,1529,207,2125,295,308,42
core_monitors,episode_vs_reference,Los Angeles,3.131075633360914,True,9088,1284,8,2107,548,76,24,127,6,6,15,15,810.0110479167068,3.2490954509277996,1283.9999999999995,548,76,5244,743,790,112,2147,302,359,51
core_monitors,episode_vs_reference,New York,4.52367019812234,True,10742,1284,9,2527,466,56,21,98,6,6,15,15,218.5192848082647,3.782228287290641,1284.0,466,56,6280,751,1205,142,2440,293,351,42
core_monitors,episode_vs_reference,Philadelphia,1.999363112284201,True,5572,1284,5,1320,140,33,13,76,6,6,15,15,166.9564740828348,3.466177221540409,1284.0,140,33,3192,730,696,164,1360,314,184,43
core_monitors,episode_vs_reference,Phoenix,3.2729026479433143,True,5828,1284,6,1372,72,16,8,49,6,6,15,15,414.35082412560155,2.833515365529361,1284.0,72,16,3016,666,1075,241,1517,328,148,33
core_monitors,episode_vs_reference,San Diego,2.1662484322369053,True,4953,1284,5,1173,278,72,26,110,6,6,15,15,655.8079236730701,1.6511464090254586,1284.0,278,72,2826,735,547,140,1156,299,146,38
core_monitors,episode_vs_reference,Seattle,6.47313979844732,True,2447,1282,2,587,78,40,16,104,6,6,15,15,515.2008185515266,3.370867951808571,1282.0,78,40,1407,735,331,179,511,264,120,64
