model,city,input_station_days,input_city_days,input_episode_station_days,input_episode_city_days,input_observed_events,comparator,persistent_only,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
core_monitors,Atlanta,3704,1284,289,99,27,multicategory,False,3701,1284,3,868,288,99,27,133,6,6,15,15,231.82846573211606,2.9655446329039856,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
core_monitors,Chicago,4663,1284,110,33,14,multicategory,False,4153,1284,4,973,103,33,14,98,6,6,15,15,153.2172496634058,3.8383788350344292,1284.0,103,33,2419,738,513,158,901,290,217,65
core_monitors,Dallas,4551,1284,157,46,14,multicategory,False,3465,1284,4,827,116,46,14,85,6,6,15,15,170.21062256326434,2.5879191204185825,1284.0,116,46,1874,686,556,218,815,295,104,39
core_monitors,Denver,6049,1284,37,8,4,multicategory,False,5709,1284,5,1369,35,8,4,41,6,6,15,15,222.14088202395294,3.3747876985440963,1284.0,35,8,2986,676,998,223,1542,344,148,33
core_monitors,Houston,11010,1284,650,76,22,multicategory,False,9483,1284,10,2283,545,76,22,118,6,6,15,15,475.90383232956765,3.2555840616064904,1284.0,545,76,4976,664,1529,207,2125,295,308,42
core_monitors,Los Angeles,9254,1284,556,76,24,multicategory,False,9088,1284,8,2107,548,76,24,127,6,6,15,15,810.0110479167068,3.2490954509277996,1283.9999999999995,548,76,5244,743,790,112,2147,302,359,51
core_monitors,New York,10749,1284,468,56,21,multicategory,False,10742,1284,9,2527,466,56,21,98,6,6,15,15,218.5192848082647,3.782228287290641,1284.0,466,56,6280,751,1205,142,2440,293,351,42
core_monitors,Philadelphia,5982,1284,146,33,13,multicategory,False,5572,1284,5,1320,140,33,13,76,6,6,15,15,166.9564740828348,3.466177221540409,1284.0,140,33,3192,730,696,164,1360,314,184,43
core_monitors,Phoenix,5991,1284,72,16,8,multicategory,False,5828,1284,6,1372,72,16,8,49,6,6,15,15,414.35082412560155,2.833515365529361,1284.0,72,16,3016,666,1075,241,1517,328,148,33
core_monitors,San Diego,5057,1284,291,72,26,multicategory,False,4953,1284,5,1173,278,72,26,110,6,6,15,15,655.8079236730701,1.6511464090254586,1284.0,278,72,2826,735,547,140,1156,299,146,38
core_monitors,Seattle,2448,1282,79,40,16,multicategory,False,2447,1282,2,587,78,40,16,104,6,6,15,15,515.2008185515266,3.370867951808571,1282.0,78,40,1407,735,331,179,511,264,120,64
