period,classification,city,regime,city_days,station_days,sites,events
2019_2024,regime,Atlanta,episode,99,289,3,27
2019_2024,regime,Atlanta,heat_only,136,376,3,0
2019_2024,regime,Atlanta,neither,780,2252,3,0
2019_2024,regime,Atlanta,other_compound,34,99,3,0
2019_2024,regime,Atlanta,wind_only,235,688,3,0
2019_2024,regime,Chicago,episode,33,110,4,14
2019_2024,regime,Chicago,heat_only,158,558,4,0
2019_2024,regime,Chicago,neither,738,2730,4,0
2019_2024,regime,Chicago,other_compound,65,237,4,0
2019_2024,regime,Chicago,wind_only,290,1028,4,0
2019_2024,regime,Dallas,episode,46,157,4,14
2019_2024,regime,Dallas,heat_only,218,710,4,0
2019_2024,regime,Dallas,neither,686,2503,4,0
2019_2024,regime,Dallas,other_compound,39,135,4,0
2019_2024,regime,Dallas,wind_only,295,1046,4,0
2019_2024,regime,Denver,episode,8,37,5,4
2019_2024,regime,Denver,heat_only,223,1037,5,0
2019_2024,regime,Denver,neither,676,3186,5,0
2019_2024,regime,Denver,other_compound,33,154,5,0
2019_2024,regime,Denver,wind_only,344,1635,5,0
2019_2024,regime,Houston,episode,76,650,10,22
2019_2024,regime,Houston,heat_only,207,1715,10,0
2019_2024,regime,Houston,neither,664,5776,10,0
2019_2024,regime,Houston,other_compound,42,352,10,0
2019_2024,regime,Houston,wind_only,295,2517,10,0
2019_2024,regime,Los Angeles,episode,76,556,8,24
2019_2024,regime,Los Angeles,heat_only,112,808,8,0
2019_2024,regime,Los Angeles,neither,743,5375,8,0
2019_2024,regime,Los Angeles,other_compound,51,361,8,0
2019_2024,regime,Los Angeles,wind_only,302,2154,8,0
2019_2024,regime,New York,episode,56,468,9,21
2019_2024,regime,New York,heat_only,142,1206,9,0
2019_2024,regime,New York,neither,751,6283,9,0
2019_2024,regime,New York,other_compound,42,351,9,0
2019_2024,regime,New York,wind_only,293,2441,9,0
2019_2024,regime,Philadelphia,episode,33,146,5,13
2019_2024,regime,Philadelphia,heat_only,164,743,6,0
2019_2024,regime,Philadelphia,neither,730,3419,6,0
2019_2024,regime,Philadelphia,other_compound,43,199,6,0
2019_2024,regime,Philadelphia,wind_only,314,1475,6,0
2019_2024,regime,Phoenix,episode,16,72,5,8
2019_2024,regime,Phoenix,heat_only,241,1104,6,0
2019_2024,regime,Phoenix,neither,666,3096,6,0
2019_2024,regime,Phoenix,other_compound,33,153,6,0
2019_2024,regime,Phoenix,wind_only,328,1566,6,0
2019_2024,regime,San Diego,episode,72,291,5,26
2019_2024,regime,San Diego,heat_only,140,559,5,0
2019_2024,regime,San Diego,neither,735,2864,5,0
2019_2024,regime,San Diego,other_compound,38,150,5,0
2019_2024,regime,San Diego,wind_only,299,1193,5,0
2019_2024,regime,Seattle,episode,40,79,2,16
2019_2024,regime,Seattle,heat_only,179,331,2,0
2019_2024,regime,Seattle,neither,735,1407,2,0
2019_2024,regime,Seattle,other_compound,64,120,2,0
2019_2024,regime,Seattle,wind_only,264,511,2,0
2019_2024,regime_factorial,Atlanta,compound,133,388,3,27
2019_2024,regime_factorial,Atlanta,heat_only,136,376,3,0
2019_2024,regime_factorial,Atlanta,neither,780,2252,3,0
2019_2024,regime_factorial,Atlanta,wind_only,235,688,3,0
2019_2024,regime_factorial,Chicago,compound,98,347,4,14
2019_2024,regime_factorial,Chicago,heat_only,158,558,4,0
2019_2024,regime_factorial,Chicago,neither,738,2730,4,0
2019_2024,regime_factorial,Chicago,wind_only,290,1028,4,0
2019_2024,regime_factorial,Dallas,compound,85,292,4,14
2019_2024,regime_factorial,Dallas,heat_only,218,710,4,0
2019_2024,regime_factorial,Dallas,neither,686,2503,4,0
2019_2024,regime_factorial,Dallas,wind_only,295,1046,4,0
2019_2024,regime_factorial,Denver,compound,41,191,5,4
2019_2024,regime_factorial,Denver,heat_only,223,1037,5,0
2019_2024,regime_factorial,Denver,neither,676,3186,5,0
2019_2024,regime_factorial,Denver,wind_only,344,1635,5,0
2019_2024,regime_factorial,Houston,compound,118,1002,10,22
2019_2024,regime_factorial,Houston,heat_only,207,1715,10,0
2019_2024,regime_factorial,Houston,neither,664,5776,10,0
2019_2024,regime_factorial,Houston,wind_only,295,2517,10,0
2019_2024,regime_factorial,Los Angeles,compound,127,917,8,24
2019_2024,regime_factorial,Los Angeles,heat_only,112,808,8,0
2019_2024,regime_factorial,Los Angeles,neither,743,5375,8,0
2019_2024,regime_factorial,Los Angeles,wind_only,302,2154,8,0
2019_2024,regime_factorial,New York,compound,98,819,9,21
2019_2024,regime_factorial,New York,heat_only,142,1206,9,0
2019_2024,regime_factorial,New York,neither,751,6283,9,0
2019_2024,regime_factorial,New York,wind_only,293,2441,9,0
2019_2024,regime_factorial,Philadelphia,compound,76,345,6,13
2019_2024,regime_factorial,Philadelphia,heat_only,164,743,6,0
2019_2024,regime_factorial,Philadelphia,neither,730,3419,6,0
2019_2024,regime_factorial,Philadelphia,wind_only,314,1475,6,0
