period,classification,city,regime,variable,n,mean,median,q25,q75,minimum,maximum,sd
2019_2024,regime,Atlanta,episode,no2_ppb,99,13.326610936026936,13.051389,10.824770666666666,15.858854333333333,6.722222333333334,23.939285666666667,3.6319372547863664
2019_2024,regime,Atlanta,episode,n_available_sites,99,2.919191919191919,3.0,3.0,3.0,1.0,3.0,0.3403709763870699
2019_2024,regime,Atlanta,episode,temperature_2m_max,99,32.990909090909085,32.7,32.2,33.55,31.5,36.5,1.0981515925511536
2019_2024,regime,Atlanta,episode,wind_speed_10m_mean,99,5.112079124579125,5.283333333333333,4.454166666666667,5.61875,3.1625,6.754166666666666,0.8285715343949831
2019_2024,regime,Atlanta,episode,relative_humidity_2m_mean,99,69.74368686868686,69.33333333333333,64.375,75.6875,50.458333333333336,87.29166666666667,8.22858995145322
2019_2024,regime,Atlanta,episode,precipitation_sum,99,1.9535353535353537,0.3,0.0,2.25,0.0,24.9,3.7978327098629188
2019_2024,regime,Atlanta,episode,shortwave_radiation_sum,99,22.173672727272724,22.3092,20.7162,23.9346,15.9336,27.4032,2.3651841382264505
2019_2024,regime,Atlanta,episode,wind_direction_10m_dominant,99,202.29844619387612,204.2426345385925,127.02144734362184,287.136399035452,9.994275522695014,358.2512291480831,100.12275453454134
2019_2024,regime,Atlanta,episode,pure_wind_run_days,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Atlanta,episode,low_wind_run_days,99,6.565656565656566,5.0,4.0,8.5,2.0,15.0,3.920541445742933
2019_2024,regime,Atlanta,heat_only,no2_ppb,136,11.79544081495098,11.4699065,8.967383666666667,14.101215125000001,4.708333,25.05625,3.710707475289523
2019_2024,regime,Atlanta,heat_only,n_available_sites,136,2.764705882352941,3.0,3.0,3.0,1.0,3.0,0.5197619699887854
2019_2024,regime,Atlanta,heat_only,temperature_2m_max,136,32.96544117647059,32.75,32.0,33.8,31.5,36.1,1.1592065406654537
2019_2024,regime,Atlanta,heat_only,wind_speed_10m_mean,136,9.089460784313724,8.797916666666666,7.807291666666665,9.914583333333333,6.779166666666666,16.658333333333335,1.7905674880648694
2019_2024,regime,Atlanta,heat_only,relative_humidity_2m_mean,136,66.11305147058823,67.41666666666667,58.91666666666666,71.83333333333334,47.54166666666666,82.75,8.490040322227648
2019_2024,regime,Atlanta,heat_only,precipitation_sum,136,1.2808823529411764,0.05,0.0,1.525,0.0,22.3,2.8004104118763617
2019_2024,regime,Atlanta,heat_only,shortwave_radiation_sum,136,23.341526470588235,23.355,21.6711,25.3998,15.696,29.7756,2.9439547767066867
2019_2024,regime,Atlanta,heat_only,wind_direction_10m_dominant,136,243.51177694998853,258.5899397266005,219.3572706567504,305.4825863420852,0.6692595708394488,351.83377621608537,83.78869139207522
2019_2024,regime,Atlanta,heat_only,pure_wind_run_days,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Atlanta,heat_only,low_wind_run_days,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019_2024,regime,Atlanta,neither,no2_ppb,780,11.691522989102566,11.385069333333334,8.980312625,14.19445325,2.2491630000000002,23.159722333333335,3.751935063427714
2019_2024,regime,Atlanta,neither,n_available_sites,780,2.887179487179487,3.0,3.0,3.0,1.0,3.0,0.3206055624356691
2019_2024,regime,Atlanta,neither,temperature_2m_max,780,25.35730769230769,26.1,22.8,28.525,10.5,31.4,4.200028783163467
2019_2024,regime,Atlanta,neither,wind_speed_10m_mean,780,11.078413461538462,10.206249999999999,8.375,12.942708333333334,6.775,28.070833333333336,3.5023691522354663
