model,city,contrast,estimate_ppb,ci_lower,ci_upper,ci_status,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,valid_bootstrap,n_station_days,n_city_days,n_stations,n_strata,n_episode_days,n_episodes,n_years,rank,parameters,condition_number,weighted_rmse,days_episode,days_heat_only,days_wind_only,days_other_compound
direct_calendar_support,Atlanta,episode_vs_reference,2.3321109826932016,1.3950495863676176,3.2691723790187854,approximate_delete_one_year_jackknife_t,1.3756995821183122,2.871296253064008,conditional_on_estimability,5000,695,242,3,160,73,25,6,15,15,382.47276037877737,2.6995362238883307,73,37,30,3
direct_calendar_support,Atlanta,heat_only_vs_reference,-0.2589677528173232,-1.207134874583907,0.6891993689492606,approximate_delete_one_year_jackknife_t,-1.3901912409937882,0.33472136382550693,conditional_on_estimability,4999,695,242,3,160,73,25,6,15,15,382.47276037877737,2.6995362238883307,73,37,30,3
direct_calendar_support,Atlanta,wind_only_vs_reference,1.743183011542056,0.7862182021417363,2.7001478209423757,approximate_delete_one_year_jackknife_t,0.9313743348215024,2.3793537859538954,conditional_on_estimability,5000,695,242,3,160,73,25,6,15,15,382.47276037877737,2.6995362238883307,73,37,30,3
direct_calendar_support,Atlanta,other_compound_vs_reference,4.333691216671702,0.48436193663358384,8.183020496709819,approximate_delete_one_year_jackknife_t,1.9165434013675369,6.136769259678949,conditional_on_estimability,4923,695,242,3,160,73,25,6,15,15,382.47276037877737,2.6995362238883307,73,37,30,3
direct_calendar_support,Atlanta,episode_vs_heat_only,2.591078735510525,1.9162513945047153,3.265906076516335,approximate_delete_one_year_jackknife_t,2.2922397580383485,3.1627743306783698,conditional_on_estimability,4999,695,242,3,160,73,25,6,15,15,382.47276037877737,2.6995362238883307,73,37,30,3
direct_calendar_support,Atlanta,episode_vs_wind_only,0.5889279711511457,0.19576774443671136,0.98208819786558,approximate_delete_one_year_jackknife_t,0.021836233707443142,1.2940167395802755,conditional_on_estimability,5000,695,242,3,160,73,25,6,15,15,382.47276037877737,2.6995362238883307,73,37,30,3
direct_calendar_support,Chicago,episode_vs_reference,5.272795911510997,1.4067922350853816,9.138799587936612,approximate_delete_one_year_jackknife_t,2.189298552778614,6.972072384914159,conditional_on_estimability,4989,351,108,4,79,25,13,6,15,15,239.07839530834957,2.896965207000099,25,21,15,7
direct_calendar_support,Chicago,heat_only_vs_reference,0.5923726175998327,-2.8440591363583416,4.028804371558007,approximate_delete_one_year_jackknife_t,-2.3688806858403932,2.1003059156089128,conditional_on_estimability,4989,351,108,4,79,25,13,6,15,15,239.07839530834957,2.896965207000099,25,21,15,7
direct_calendar_support,Chicago,wind_only_vs_reference,4.206418842530054,0.3105595452887342,8.102278139771373,approximate_delete_one_year_jackknife_t,2.0107874825045062,5.652770018015465,conditional_on_estimability,4989,351,108,4,79,25,13,6,15,15,239.07839530834957,2.896965207000099,25,21,15,7
direct_calendar_support,Chicago,other_compound_vs_reference,4.569853780388045,-0.8848404544387982,10.024548015214888,approximate_delete_one_year_jackknife_t,0.17337383615187463,6.400402207870856,conditional_on_estimability,4899,351,108,4,79,25,13,6,15,15,239.07839530834957,2.896965207000099,25,21,15,7
direct_calendar_support,Chicago,episode_vs_heat_only,4.680423293911164,2.369564736549789,6.991281851272539,approximate_delete_one_year_jackknife_t,3.237466157391382,6.382553850392028,conditional_on_estimability,4989,351,108,4,79,25,13,6,15,15,239.07839530834957,2.896965207000099,25,21,15,7
direct_calendar_support,Chicago,episode_vs_wind_only,1.0663770689809429,-1.260343496868722,3.3930976348306077,approximate_delete_one_year_jackknife_t,-0.8315215281684178,2.280104004435037,conditional_on_estimability,4989,351,108,4,79,25,13,6,15,15,239.07839530834957,2.896965207000099,25,21,15,7
direct_calendar_support,Dallas,episode_vs_reference,3.057212525292803,2.1545483723623384,3.9598766782232673,approximate_delete_one_year_jackknife_t,2.4016409933078764,3.3972523922390305,conditional_on_estimability,4996,381,116,4,88,28,10,5,15,15,652.1728209357935,2.1166855972951066,28,16,20,5
direct_calendar_support,Dallas,heat_only_vs_reference,-0.16555973909063848,-1.62494050156714,1.2938210233858631,approximate_delete_one_year_jackknife_t,-1.7065398593556584,0.9173160933101783,conditional_on_estimability,4996,381,116,4,88,28,10,5,15,15,652.1728209357935,2.1166855972951066,28,16,20,5
direct_calendar_support,Dallas,wind_only_vs_reference,2.648658372352372,0.05533420884458984,5.241982535860154,approximate_delete_one_year_jackknife_t,1.8610358570746532,4.850807088021839,conditional_on_estimability,4996,381,116,4,88,28,10,5,15,15,652.1728209357935,2.1166855972951066,28,16,20,5
direct_calendar_support,Dallas,other_compound_vs_reference,2.0796703209051826,-0.5470551229692959,4.706395764779661,approximate_delete_one_year_jackknife_t,-0.7496355054812751,3.3624917423780154,conditional_on_estimability,4938,381,116,4,88,28,10,5,15,15,652.1728209357935,2.1166855972951066,28,16,20,5
direct_calendar_support,Dallas,episode_vs_heat_only,3.2227722643834413,2.4366490277699606,4.008895500996922,approximate_delete_one_year_jackknife_t,1.7531863705344095,4.214770342601769,conditional_on_estimability,4996,381,116,4,88,28,10,5,15,15,652.1728209357935,2.1166855972951066,28,16,20,5
direct_calendar_support,Dallas,episode_vs_wind_only,0.40855415294043107,-2.2637600412103454,3.0808683470912075,approximate_delete_one_year_jackknife_t,-2.0573285198848064,0.9074654188474955,conditional_on_estimability,4996,381,116,4,88,28,10,5,15,15,652.1728209357935,2.1166855972951066,28,16,20,5
