model,contrast,omitted_city,estimate_ppb,n_target_cities,n_estimable_cities,target
direct_episode_neither,episode_vs_neither,Atlanta,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
direct_episode_neither,episode_vs_neither,Chicago,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
direct_episode_neither,episode_vs_neither,Dallas,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
direct_episode_neither,episode_vs_neither,Denver,3.315654626548126,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
direct_episode_neither,episode_vs_neither,Houston,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
direct_episode_neither,episode_vs_neither,Los Angeles,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
direct_episode_neither,episode_vs_neither,New York,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
direct_episode_neither,episode_vs_neither,Philadelphia,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
direct_episode_neither,episode_vs_neither,Phoenix,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
direct_episode_neither,episode_vs_neither,San Diego,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
direct_episode_neither,episode_vs_neither,Seattle,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
