model,city,contrast,estimate_ppb,estimable,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_valid,bootstrap_failed,bootstrap_attempted,bootstrap_status,jackknife_se,jackknife_lower,jackknife_upper,jackknife_status,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound,both_present_strata
direct_episode_wind,Atlanta,episode_vs_wind_only,0.8250925217542551,True,-0.060628001813586296,1.7667570841314113,4999,1,5000,conditional_diagnostic,0.46776483301947774,-0.37733526135506823,2.0275203048635784,delete_year_jackknife_diagnostic_t_df_5,276,95,3,101,137,47,20,47,6,6,12,12,1852.158260983511,2.0110919983374984,95.0,137,47,0,0,0,0,139,48,0,0,101
direct_episode_wind,Chicago,episode_vs_wind_only,0.8557152766069649,True,-6.752204154607625,4.2111924179848526,3983,1017,5000,conditional_diagnostic,2.2626042286467483,-4.960494054786281,6.671924608000211,delete_year_jackknife_diagnostic_t_df_5,133,43,4,61,65,21,12,21,6,6,12,12,5818.392321059319,2.886560102439238,43.0,65,21,0,0,0,0,68,22,0,0,61
direct_episode_wind,Dallas,episode_vs_wind_only,0.9830796572904046,True,-12.4206866591187,1.9841567441863428,4552,448,5000,conditional_diagnostic,0.3895573615629524,-0.018309420281729105,1.9844687348625383,delete_year_jackknife_diagnostic_t_df_5,168,57,4,67,67,22,10,22,5,6,12,12,1137.4667314402348,1.9608325138009597,57.0,67,22,0,0,0,0,101,35,0,0,67
direct_episode_wind,Denver,episode_vs_wind_only,,False,,,0,5000,5000,conditional_diagnostic,,,,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,64,15,5,26,26,6,4,6,4,6,9,12,4.9913536165493485e+17,1.0522516324173459,15.0,26,6,0,0,0,0,38,9,0,0,26
direct_episode_wind,Houston,episode_vs_wind_only,-1.3161655372689485,True,-2.724144587969784,-0.08015646261674547,4986,14,5000,conditional_diagnostic,0.6219267674186599,-2.9148791886913665,0.2825481141534696,delete_year_jackknife_diagnostic_t_df_5,792,100,10,288,374,46,18,46,6,6,12,12,5420.281925359631,2.477815823337625,100.0,374,46,0,0,0,0,418,54,0,0,288
direct_episode_wind,Los Angeles,episode_vs_wind_only,-1.4821826531103124,True,-3.782299707022706,2.787853525575244,4998,2,5000,conditional_diagnostic,2.545578019064768,-8.025799270113277,5.061433963892652,delete_year_jackknife_diagnostic_t_df_5,886,124,8,314,360,50,18,50,6,6,12,12,177294.74328448757,3.5809278622755296,123.99999999999997,360,50,0,0,0,0,526,74,0,0,314
direct_episode_wind,New York,episode_vs_wind_only,2.2356700402665437,True,-0.8497833631317699,4.5630460149716185,4989,11,5000,conditional_diagnostic,1.402854831427527,-1.3704831074357018,5.841823187968789,delete_year_jackknife_diagnostic_t_df_5,607,75,9,251,276,34,19,34,6,6,12,12,13176.848977989295,2.551810217275584,75.0,276,34,0,0,0,0,331,41,0,0,251
direct_episode_wind,Philadelphia,episode_vs_wind_only,-0.946636941694567,True,-4.065704877559739,1.17460679886006,4657,343,5000,conditional_diagnostic,1.25392218921229,-4.169946544585002,2.276672661195868,delete_year_jackknife_diagnostic_t_df_5,256,59,5,110,113,26,12,26,6,6,12,12,5072.189938951689,1.7977112444573222,59.000000000000014,113,26,0,0,0,0,143,33,0,0,110
direct_episode_wind,Phoenix,episode_vs_wind_only,-3.540907325342083,True,-5.866450516419903,11.59374740129988,3324,1676,5000,conditional_diagnostic,,,,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,118,25,5,42,52,11,7,11,4,6,12,12,7469.822084110689,1.496856061481012,25.0,52,11,0,0,0,0,66,14,0,0,42
direct_episode_wind,San Diego,episode_vs_wind_only,0.41156467257839413,True,-0.7892897032015034,1.6774202633207658,5000,0,5000,conditional_diagnostic,0.8117658961781336,-1.6751459949261505,2.4982753400829387,delete_year_jackknife_diagnostic_t_df_5,473,119,5,182,190,48,21,48,6,6,12,12,77973003391.13947,1.8909937519018964,119.0,190,48,0,0,0,0,283,71,0,0,182
direct_episode_wind,Seattle,episode_vs_wind_only,-9.327293738744629,True,-10.118391584988785,-4.016139467134053,1749,3251,5000,conditional_diagnostic,,,,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,52,26,2,22,22,11,8,11,5,6,12,12,19309323207.247135,1.1366588478602992,26.0,22,11,0,0,0,0,30,15,0,0,22
