model,contrast,city,estimate_ppb,estimable,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound,both_present_strata
direct_episode_wind,episode_vs_wind_only,Atlanta,0.8250925217542551,True,276,95,3,101,137,47,20,47,6,6,12,12,1852.158260983511,2.0110919983374984,95.0,137,47,0,0,0,0,139,48,0,0,101
direct_episode_wind,episode_vs_wind_only,Chicago,0.8557152766069649,True,133,43,4,61,65,21,12,21,6,6,12,12,5818.392321059319,2.886560102439238,43.0,65,21,0,0,0,0,68,22,0,0,61
direct_episode_wind,episode_vs_wind_only,Dallas,0.9830796572904046,True,168,57,4,67,67,22,10,22,5,6,12,12,1137.4667314402348,1.9608325138009597,57.0,67,22,0,0,0,0,101,35,0,0,67
direct_episode_wind,episode_vs_wind_only,Denver,,False,64,15,5,26,26,6,4,6,4,6,9,12,4.9913536165493485e+17,1.0522516324173459,15.0,26,6,0,0,0,0,38,9,0,0,26
direct_episode_wind,episode_vs_wind_only,Houston,-1.3161655372689485,True,792,100,10,288,374,46,18,46,6,6,12,12,5420.281925359631,2.477815823337625,100.0,374,46,0,0,0,0,418,54,0,0,288
direct_episode_wind,episode_vs_wind_only,Los Angeles,-1.4821826531103124,True,886,124,8,314,360,50,18,50,6,6,12,12,177294.74328448757,3.5809278622755296,123.99999999999997,360,50,0,0,0,0,526,74,0,0,314
direct_episode_wind,episode_vs_wind_only,New York,2.2356700402665437,True,607,75,9,251,276,34,19,34,6,6,12,12,13176.848977989295,2.551810217275584,75.0,276,34,0,0,0,0,331,41,0,0,251
direct_episode_wind,episode_vs_wind_only,Philadelphia,-0.946636941694567,True,256,59,5,110,113,26,12,26,6,6,12,12,5072.189938951689,1.7977112444573222,59.000000000000014,113,26,0,0,0,0,143,33,0,0,110
direct_episode_wind,episode_vs_wind_only,Phoenix,-3.540907325342083,True,118,25,5,42,52,11,7,11,4,6,12,12,7469.822084110689,1.496856061481012,25.0,52,11,0,0,0,0,66,14,0,0,42
direct_episode_wind,episode_vs_wind_only,San Diego,0.41156467257839413,True,473,119,5,182,190,48,21,48,6,6,12,12,77973003391.13947,1.8909937519018964,119.0,190,48,0,0,0,0,283,71,0,0,182
direct_episode_wind,episode_vs_wind_only,Seattle,-9.327293738744629,True,52,26,2,22,22,11,8,11,5,6,12,12,19309323207.247135,1.1366588478602992,26.0,22,11,0,0,0,0,30,15,0,0,22
