city,stratum,station_days,city_dates,episode_station_days,comparator_station_days
Atlanta,13-089-0002|2019|8|0,3,3,2,1
Atlanta,13-089-0002|2019|8|1,3,3,1,2
Atlanta,13-089-0002|2019|8|5,3,3,2,1
Atlanta,13-089-0002|2019|8|6,3,3,2,1
Atlanta,13-089-0002|2020|7|1,3,3,2,1
Atlanta,13-089-0002|2020|7|2,3,3,2,1
Atlanta,13-089-0002|2020|7|3,3,3,2,1
Atlanta,13-089-0002|2020|7|4,3,3,1,2
Atlanta,13-089-0002|2020|7|5,3,3,1,2
Atlanta,13-089-0002|2020|8|2,4,4,2,2
Atlanta,13-089-0002|2020|8|4,3,3,1,2
Atlanta,13-089-0002|2021|7|1,2,2,1,1
Atlanta,13-089-0002|2021|7|2,3,3,1,2
Atlanta,13-089-0002|2021|7|3,3,3,1,2
Atlanta,13-089-0002|2021|8|0,3,3,2,1
Atlanta,13-089-0002|2021|8|2,3,3,1,2
Atlanta,13-089-0002|2022|7|2,2,2,1,1
Atlanta,13-089-0002|2022|7|3,2,2,1,1
Atlanta,13-089-0002|2022|7|4,3,3,1,2
Atlanta,13-089-0002|2022|7|5,4,4,2,2
Atlanta,13-089-0002|2023|6|4,2,2,1,1
Atlanta,13-089-0002|2023|7|1,3,3,1,2
Atlanta,13-089-0002|2023|7|2,2,2,1,1
Atlanta,13-089-0002|2023|7|3,2,2,1,1
Atlanta,13-089-0002|2023|8|1,2,2,1,1
Atlanta,13-089-0002|2023|8|5,2,2,1,1
Atlanta,13-089-0002|2024|6|5,3,3,2,1
Atlanta,13-089-0002|2024|7|0,3,3,1,2
Atlanta,13-089-0002|2024|7|3,2,2,1,1
Atlanta,13-089-0002|2024|7|4,4,4,2,2
Atlanta,13-089-0002|2024|7|5,3,3,2,1
Atlanta,13-089-0002|2024|8|2,2,2,1,1
Atlanta,13-089-0002|2024|9|0,2,2,1,1
Atlanta,13-089-0003|2019|8|0,3,3,2,1
Atlanta,13-089-0003|2019|8|1,3,3,1,2
Atlanta,13-089-0003|2019|8|5,3,3,2,1
Atlanta,13-089-0003|2019|8|6,3,3,2,1
Atlanta,13-089-0003|2020|7|1,3,3,2,1
Atlanta,13-089-0003|2020|7|2,3,3,2,1
Atlanta,13-089-0003|2020|7|3,3,3,2,1
Atlanta,13-089-0003|2020|7|4,3,3,1,2
Atlanta,13-089-0003|2020|7|5,3,3,1,2
Atlanta,13-089-0003|2020|8|2,4,4,2,2
Atlanta,13-089-0003|2020|8|4,3,3,1,2
Atlanta,13-089-0003|2021|7|1,2,2,1,1
Atlanta,13-089-0003|2021|7|2,3,3,1,2
Atlanta,13-089-0003|2021|7|3,3,3,1,2
Atlanta,13-089-0003|2021|8|0,3,3,2,1
Atlanta,13-089-0003|2021|8|2,3,3,1,2
Atlanta,13-089-0003|2022|7|1,2,2,1,1
Atlanta,13-089-0003|2022|7|2,2,2,1,1
Atlanta,13-089-0003|2022|7|3,2,2,1,1
Atlanta,13-089-0003|2022|7|4,3,3,1,2
Atlanta,13-089-0003|2022|7|5,4,4,2,2
Atlanta,13-089-0003|2023|6|4,2,2,1,1
Atlanta,13-089-0003|2023|7|1,3,3,1,2
Atlanta,13-089-0003|2023|7|2,2,2,1,1
Atlanta,13-089-0003|2023|7|3,2,2,1,1
Atlanta,13-089-0003|2023|8|1,2,2,1,1
Atlanta,13-089-0003|2023|8|5,2,2,1,1
Atlanta,13-089-0003|2024|6|5,3,3,2,1
Atlanta,13-089-0003|2024|7|0,3,3,1,2
Atlanta,13-089-0003|2024|7|3,2,2,1,1
Atlanta,13-089-0003|2024|7|4,4,4,2,2
Atlanta,13-089-0003|2024|7|5,3,3,2,1
Atlanta,13-089-0003|2024|8|2,2,2,1,1
Atlanta,13-089-0003|2024|9|0,2,2,1,1
Atlanta,13-121-0056|2019|7|4,2,2,1,1
Atlanta,13-121-0056|2019|8|0,3,3,2,1
Atlanta,13-121-0056|2019|8|1,3,3,1,2
Atlanta,13-121-0056|2019|8|5,3,3,2,1
Atlanta,13-121-0056|2019|8|6,3,3,2,1
Atlanta,13-121-0056|2020|7|1,3,3,2,1
Atlanta,13-121-0056|2020|7|2,3,3,2,1
Atlanta,13-121-0056|2020|7|3,3,3,2,1
Atlanta,13-121-0056|2020|7|4,3,3,1,2
Atlanta,13-121-0056|2020|7|5,3,3,1,2
Atlanta,13-121-0056|2020|8|2,4,4,2,2
Atlanta,13-121-0056|2020|8|4,3,3,1,2
Atlanta,13-121-0056|2021|7|1,2,2,1,1
Atlanta,13-121-0056|2021|7|2,3,3,1,2
Atlanta,13-121-0056|2021|7|3,3,3,1,2
Atlanta,13-121-0056|2021|8|0,3,3,2,1
Atlanta,13-121-0056|2021|8|2,3,3,1,2
Atlanta,13-121-0056|2022|7|1,2,2,1,1
Atlanta,13-121-0056|2022|7|2,2,2,1,1
Atlanta,13-121-0056|2022|7|4,3,3,1,2
Atlanta,13-121-0056|2022|7|5,4,4,2,2
Atlanta,13-121-0056|2023|6|4,2,2,1,1
Atlanta,13-121-0056|2023|7|1,3,3,1,2
Atlanta,13-121-0056|2023|7|2,2,2,1,1
