model,city,input_station_days,input_city_days,input_episode_station_days,input_episode_city_days,input_observed_events,comparator,persistent_only,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound,both_present_strata
direct_episode_wind,Atlanta,3704,1284,289,99,27,wind_only,False,276,95,3,101,137,47,20,47,6,6,12,12,1852.158260983511,2.0110919983374984,95.0,137,47,0,0,0,0,139,48,0,0,101
direct_episode_wind,Chicago,4663,1284,110,33,14,wind_only,False,133,43,4,61,65,21,12,21,6,6,12,12,5818.392321059319,2.886560102439238,43.0,65,21,0,0,0,0,68,22,0,0,61
direct_episode_wind,Dallas,4551,1284,157,46,14,wind_only,False,168,57,4,67,67,22,10,22,5,6,12,12,1137.4667314402348,1.9608325138009597,57.0,67,22,0,0,0,0,101,35,0,0,67
direct_episode_wind,Denver,6049,1284,37,8,4,wind_only,False,64,15,5,26,26,6,4,6,4,6,9,12,4.9913536165493485e+17,1.0522516324173459,15.0,26,6,0,0,0,0,38,9,0,0,26
direct_episode_wind,Houston,11010,1284,650,76,22,wind_only,False,792,100,10,288,374,46,18,46,6,6,12,12,5420.281925359631,2.477815823337625,100.0,374,46,0,0,0,0,418,54,0,0,288
direct_episode_wind,Los Angeles,9254,1284,556,76,24,wind_only,False,886,124,8,314,360,50,18,50,6,6,12,12,177294.74328448757,3.5809278622755296,123.99999999999997,360,50,0,0,0,0,526,74,0,0,314
direct_episode_wind,New York,10749,1284,468,56,21,wind_only,False,607,75,9,251,276,34,19,34,6,6,12,12,13176.848977989295,2.551810217275584,75.0,276,34,0,0,0,0,331,41,0,0,251
direct_episode_wind,Philadelphia,5982,1284,146,33,13,wind_only,False,256,59,5,110,113,26,12,26,6,6,12,12,5072.189938951689,1.7977112444573222,59.000000000000014,113,26,0,0,0,0,143,33,0,0,110
direct_episode_wind,Phoenix,5991,1284,72,16,8,wind_only,False,118,25,5,42,52,11,7,11,4,6,12,12,7469.822084110689,1.496856061481012,25.0,52,11,0,0,0,0,66,14,0,0,42
direct_episode_wind,San Diego,5057,1284,291,72,26,wind_only,False,473,119,5,182,190,48,21,48,6,6,12,12,77973003391.13947,1.8909937519018964,119.0,190,48,0,0,0,0,283,71,0,0,182
direct_episode_wind,Seattle,2448,1282,79,40,16,wind_only,False,52,26,2,22,22,11,8,11,5,6,12,12,19309323207.247135,1.1366588478602992,26.0,22,11,0,0,0,0,30,15,0,0,22
