model,city,year,episode_id,observed_station_days,selected_station_days,observed_city_days,selected_city_days,any_selected_site_day,every_observed_site_day_selected,every_observed_city_day_has_a_selected_site
direct_episode_wind,Atlanta,2019,atlanta_2019-07-05,2,1,2,1,True,False,False
direct_episode_wind,Atlanta,2019,atlanta_2019-07-14,4,0,2,0,False,False,False
direct_episode_wind,Atlanta,2019,atlanta_2019-07-27,18,0,6,0,False,False,False
direct_episode_wind,Atlanta,2019,atlanta_2019-08-10,15,12,5,4,True,False,False
direct_episode_wind,Atlanta,2019,atlanta_2019-08-17,9,9,3,3,True,True,True
direct_episode_wind,Atlanta,2019,atlanta_2019-09-08,15,0,5,0,False,False,False
direct_episode_wind,Atlanta,2019,atlanta_2019-09-16,6,0,2,0,False,False,False
direct_episode_wind,Atlanta,2019,atlanta_2019-09-29,15,0,5,0,False,False,False
direct_episode_wind,Atlanta,2020,atlanta_2020-07-14,30,24,10,8,True,False,False
direct_episode_wind,Atlanta,2020,atlanta_2020-07-26,6,0,2,0,False,False,False
direct_episode_wind,Atlanta,2020,atlanta_2020-08-05,15,6,5,2,True,False,False
direct_episode_wind,Atlanta,2020,atlanta_2020-08-12,6,3,2,1,True,False,False
direct_episode_wind,Atlanta,2021,atlanta_2021-07-26,12,9,4,3,True,False,False
direct_episode_wind,Atlanta,2021,atlanta_2021-08-09,6,3,2,1,True,False,False
direct_episode_wind,Atlanta,2021,atlanta_2021-08-23,9,6,3,2,True,False,False
direct_episode_wind,Atlanta,2022,atlanta_2022-07-02,20,13,7,5,True,False,False
direct_episode_wind,Atlanta,2022,atlanta_2022-07-23,6,3,2,1,True,False,False
direct_episode_wind,Atlanta,2023,atlanta_2023-06-29,6,3,2,1,True,False,False
direct_episode_wind,Atlanta,2023,atlanta_2023-07-25,15,9,5,3,True,False,False
direct_episode_wind,Atlanta,2023,atlanta_2023-08-12,6,3,2,1,True,False,False
direct_episode_wind,Atlanta,2023,atlanta_2023-08-21,6,3,2,1,True,False,False
direct_episode_wind,Atlanta,2024,atlanta_2024-06-14,5,3,2,1,True,False,False
direct_episode_wind,Atlanta,2024,atlanta_2024-06-21,6,3,2,1,True,False,False
direct_episode_wind,Atlanta,2024,atlanta_2024-07-04,12,9,4,3,True,False,False
direct_episode_wind,Atlanta,2024,atlanta_2024-07-12,12,9,4,3,True,False,False
direct_episode_wind,Atlanta,2024,atlanta_2024-08-27,21,6,7,2,True,False,False
direct_episode_wind,Atlanta,2024,atlanta_2024-09-20,6,0,2,0,False,False,False
direct_episode_wind,Chicago,2019,chicago_2019-07-01,6,6,2,2,True,True,True
direct_episode_wind,Chicago,2020,chicago_2020-06-29,8,0,2,0,False,False,False
direct_episode_wind,Chicago,2020,chicago_2020-08-14,6,5,2,2,True,False,True
direct_episode_wind,Chicago,2021,chicago_2021-06-11,8,0,2,0,False,False,False
direct_episode_wind,Chicago,2021,chicago_2021-07-25,13,10,4,3,True,False,False
direct_episode_wind,Chicago,2021,chicago_2021-08-18,9,6,3,2,True,False,False
direct_episode_wind,Chicago,2021,chicago_2021-08-25,6,3,2,1,True,False,False
direct_episode_wind,Chicago,2022,chicago_2022-08-23,6,3,2,1,True,False,False
direct_episode_wind,Chicago,2023,chicago_2023-07-04,2,2,2,2,True,True,True
direct_episode_wind,Chicago,2023,chicago_2023-07-24,8,6,2,2,True,False,True
direct_episode_wind,Chicago,2024,chicago_2024-07-30,12,12,3,3,True,True,True
direct_episode_wind,Chicago,2024,chicago_2024-08-13,8,4,2,1,True,False,False
direct_episode_wind,Chicago,2024,chicago_2024-08-30,8,4,2,1,True,False,False
direct_episode_wind,Chicago,2024,chicago_2024-09-19,10,4,3,1,True,False,False
direct_episode_wind,Dallas,2019,dallas_2019-07-31,8,0,2,0,False,False,False
direct_episode_wind,Dallas,2019,dallas_2019-09-02,18,0,5,0,False,False,False
direct_episode_wind,Dallas,2019,dallas_2019-09-13,16,3,4,1,True,False,False
direct_episode_wind,Dallas,2021,dallas_2021-06-13,8,4,2,1,True,False,False
direct_episode_wind,Dallas,2021,dallas_2021-07-26,20,16,6,5,True,False,False
direct_episode_wind,Dallas,2021,dallas_2021-08-25,7,6,2,2,True,False,True
direct_episode_wind,Dallas,2022,dallas_2022-06-17,8,7,2,2,True,False,True
direct_episode_wind,Dallas,2022,dallas_2022-08-10,4,4,2,2,True,True,True
direct_episode_wind,Dallas,2022,dallas_2022-09-20,9,8,3,3,True,False,True
direct_episode_wind,Dallas,2023,dallas_2023-07-29,9,3,3,1,True,False,False
direct_episode_wind,Dallas,2023,dallas_2023-08-23,16,0,4,0,False,False,False
direct_episode_wind,Dallas,2024,dallas_2024-07-10,8,7,2,2,True,False,True
direct_episode_wind,Dallas,2024,dallas_2024-08-02,21,9,7,3,True,False,False
direct_episode_wind,Dallas,2024,dallas_2024-08-25,5,0,2,0,False,False,False
direct_episode_wind,Denver,2019,denver_2019-08-18,10,4,2,1,True,False,False
direct_episode_wind,Denver,2021,denver_2021-08-23,10,5,2,1,True,False,False
direct_episode_wind,Denver,2022,denver_2022-08-08,8,8,2,2,True,True,True
direct_episode_wind,Denver,2024,denver_2024-07-28,9,9,2,2,True,True,True
direct_episode_wind,Houston,2019,houston_2019-07-06,18,0,2,0,False,False,False
direct_episode_wind,Houston,2019,houston_2019-08-02,18,17,2,2,True,False,True
direct_episode_wind,Houston,2019,houston_2019-08-14,22,22,3,3,True,True,True
direct_episode_wind,Houston,2019,houston_2019-09-01,16,8,2,1,True,False,False
direct_episode_wind,Houston,2020,houston_2020-08-03,23,5,3,1,True,False,False
direct_episode_wind,Houston,2020,houston_2020-08-20,18,9,2,1,True,False,False
direct_episode_wind,Houston,2021,houston_2021-06-12,48,26,5,3,True,False,False
direct_episode_wind,Houston,2021,houston_2021-07-25,17,17,2,2,True,True,True
direct_episode_wind,Houston,2021,houston_2021-08-23,17,17,2,2,True,True,True
direct_episode_wind,Houston,2022,houston_2022-06-18,30,10,3,1,True,False,False
direct_episode_wind,Houston,2022,houston_2022-06-26,20,0,2,0,False,False,False
direct_episode_wind,Houston,2022,houston_2022-08-10,18,18,2,2,True,True,True
direct_episode_wind,Houston,2022,houston_2022-09-22,18,18,2,2,True,True,True
direct_episode_wind,Houston,2023,houston_2023-07-02,14,0,2,0,False,False,False
direct_episode_wind,Houston,2023,houston_2023-07-23,15,0,3,0,False,False,False
direct_episode_wind,Houston,2023,houston_2023-08-31,22,15,3,2,True,False,False
direct_episode_wind,Houston,2023,houston_2023-09-11,23,15,3,2,True,False,False
direct_episode_wind,Houston,2024,houston_2024-06-06,18,16,2,2,True,False,True
direct_episode_wind,Houston,2024,houston_2024-06-30,25,25,3,3,True,True,True
direct_episode_wind,Houston,2024,houston_2024-07-09,3,3,2,2,True,True,True
direct_episode_wind,Houston,2024,houston_2024-08-01,218,115,23,13,True,False,False
direct_episode_wind,Houston,2024,houston_2024-09-18,29,18,3,2,True,False,False
direct_episode_wind,Los Angeles,2019,los_angeles_2019-06-09,14,0,2,0,False,False,False
direct_episode_wind,Los Angeles,2019,los_angeles_2019-08-25,14,6,2,1,True,False,False
direct_episode_wind,Los Angeles,2019,los_angeles_2019-09-12,21,14,3,2,True,False,False
direct_episode_wind,Los Angeles,2020,los_angeles_2020-07-30,24,16,3,2,True,False,False
direct_episode_wind,Los Angeles,2020,los_angeles_2020-08-12,23,0,3,0,False,False,False
direct_episode_wind,Los Angeles,2020,los_angeles_2020-08-26,24,0,3,0,False,False,False
direct_episode_wind,Los Angeles,2020,los_angeles_2020-09-04,16,16,2,2,True,True,True
direct_episode_wind,Los Angeles,2020,los_angeles_2020-09-14,47,47,6,6,True,True,True
direct_episode_wind,Los Angeles,2020,los_angeles_2020-09-28,16,16,2,2,True,True,True
direct_episode_wind,Los Angeles,2020,los_angeles_2020-10-12,40,40,5,5,True,True,True
direct_episode_wind,Los Angeles,2021,los_angeles_2021-08-26,31,0,4,0,False,False,False
direct_episode_wind,Los Angeles,2021,los_angeles_2021-09-09,39,35,5,5,True,False,True
direct_episode_wind,Los Angeles,2022,los_angeles_2022-05-13,14,0,2,0,False,False,False
direct_episode_wind,Los Angeles,2022,los_angeles_2022-08-13,28,0,4,0,False,False,False
direct_episode_wind,Los Angeles,2022,los_angeles_2022-09-05,21,14,3,2,True,False,False
direct_episode_wind,Los Angeles,2022,los_angeles_2022-09-23,42,28,6,4,True,False,False
direct_episode_wind,Los Angeles,2023,los_angeles_2023-07-24,14,7,2,1,True,False,False
direct_episode_wind,Los Angeles,2023,los_angeles_2023-08-27,28,21,4,3,True,False,False
direct_episode_wind,Los Angeles,2023,los_angeles_2023-09-08,14,14,2,2,True,True,True
direct_episode_wind,Los Angeles,2023,los_angeles_2023-10-04,34,34,5,5,True,True,True
direct_episode_wind,Los Angeles,2024,los_angeles_2024-08-02,14,14,2,2,True,True,True
direct_episode_wind,Los Angeles,2024,los_angeles_2024-08-19,14,14,2,2,True,True,True
direct_episode_wind,Los Angeles,2024,los_angeles_2024-09-07,10,10,2,2,True,True,True
direct_episode_wind,Los Angeles,2024,los_angeles_2024-10-01,14,14,2,2,True,True,True
direct_episode_wind,New York,2019,new_york_2019-06-26,26,15,3,2,True,False,False
direct_episode_wind,New York,2019,new_york_2019-07-03,17,17,2,2,True,True,True
direct_episode_wind,New York,2019,new_york_2019-07-15,18,8,2,1,True,False,False
direct_episode_wind,New York,2019,new_york_2019-07-26,18,8,2,1,True,False,False
direct_episode_wind,New York,2019,new_york_2019-08-03,18,9,2,1,True,False,False
direct_episode_wind,New York,2019,new_york_2019-08-18,26,8,3,1,True,False,False
direct_episode_wind,New York,2020,new_york_2020-07-02,18,9,2,1,True,False,False
direct_episode_wind,New York,2020,new_york_2020-07-21,18,9,2,1,True,False,False
direct_episode_wind,New York,2020,new_york_2020-07-29,18,9,2,1,True,False,False
direct_episode_wind,New York,2021,new_york_2021-06-08,17,9,2,1,True,False,False
direct_episode_wind,New York,2021,new_york_2021-07-14,30,22,4,3,True,False,False
direct_episode_wind,New York,2021,new_york_2021-07-26,18,8,2,1,True,False,False
direct_episode_wind,New York,2021,new_york_2021-08-25,27,27,3,3,True,True,True
direct_episode_wind,New York,2022,new_york_2022-07-13,17,0,2,0,False,False,False
direct_episode_wind,New York,2022,new_york_2022-09-04,18,16,2,2,True,False,True
direct_episode_wind,New York,2023,new_york_2023-07-05,28,7,4,1,True,False,False
direct_episode_wind,New York,2023,new_york_2023-07-14,16,0,2,0,False,False,False
direct_episode_wind,New York,2023,new_york_2023-09-04,48,31,6,4,True,False,False
direct_episode_wind,New York,2024,new_york_2024-07-05,32,32,4,4,True,True,True
direct_episode_wind,New York,2024,new_york_2024-07-13,16,16,2,2,True,True,True
direct_episode_wind,New York,2024,new_york_2024-08-01,24,16,3,2,True,False,False
direct_episode_wind,Philadelphia,2019,philadelphia_2019-06-27,6,3,2,1,True,False,False
direct_episode_wind,Philadelphia,2019,philadelphia_2019-08-03,8,3,2,1,True,False,False
direct_episode_wind,Philadelphia,2019,philadelphia_2019-08-17,16,10,4,3,True,False,False
direct_episode_wind,Philadelphia,2020,philadelphia_2020-07-21,8,8,2,2,True,True,True
direct_episode_wind,Philadelphia,2021,philadelphia_2021-06-08,9,5,2,1,True,False,False
direct_episode_wind,Philadelphia,2021,philadelphia_2021-07-14,20,19,4,4,True,False,True
direct_episode_wind,Philadelphia,2021,philadelphia_2021-07-26,9,0,2,0,False,False,False
direct_episode_wind,Philadelphia,2021,philadelphia_2021-08-24,20,20,4,4,True,True,True
direct_episode_wind,Philadelphia,2022,philadelphia_2022-08-10,10,10,2,2,True,True,True
direct_episode_wind,Philadelphia,2023,philadelphia_2023-06-01,10,9,2,2,True,False,True
direct_episode_wind,Philadelphia,2023,philadelphia_2023-07-05,14,14,3,3,True,True,True
direct_episode_wind,Philadelphia,2023,philadelphia_2023-09-07,8,4,2,1,True,False,False
direct_episode_wind,Philadelphia,2024,philadelphia_2024-07-07,8,8,2,2,True,True,True
direct_episode_wind,Phoenix,2020,phoenix_2020-09-16,8,4,2,1,True,False,False
direct_episode_wind,Phoenix,2021,phoenix_2021-07-07,10,10,2,2,True,True,True
direct_episode_wind,Phoenix,2021,phoenix_2021-08-04,10,10,2,2,True,True,True
direct_episode_wind,Phoenix,2021,phoenix_2021-08-25,10,10,2,2,True,True,True
direct_episode_wind,Phoenix,2021,phoenix_2021-09-12,10,10,2,2,True,True,True
direct_episode_wind,Phoenix,2023,phoenix_2023-07-24,8,4,2,1,True,False,False
direct_episode_wind,Phoenix,2024,phoenix_2024-08-02,8,4,2,1,True,False,False
