model,city,contrast,estimate_ppb,estimable,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_valid,bootstrap_failed,bootstrap_attempted,bootstrap_status,jackknife_se,jackknife_lower,jackknife_upper,jackknife_status,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound,both_present_strata
direct_wind_spline,Atlanta,episode_vs_wind_only,0.2718246846483119,True,-0.7268969108848373,1.401658389082756,4999,1,5000,conditional_diagnostic,0.5894458102153819,-1.2433940081832793,1.787043377479903,delete_year_jackknife_diagnostic_t_df_5,276,95,3,101,137,47,20,47,6,6,15,15,2047.6032073328893,1.9688092377959794,95.0,137,47,0,0,0,0,139,48,0,0,101
direct_wind_spline,Chicago,episode_vs_wind_only,-0.1341717371532387,True,-8.854176689925225,11.54091036910986,3510,1490,5000,conditional_diagnostic,1.325375290334656,-3.5411573838887125,3.272813909582235,delete_year_jackknife_diagnostic_t_df_5,133,43,4,61,65,21,12,21,6,6,15,15,12627.850711535986,2.4907728305573333,43.0,65,21,0,0,0,0,68,22,0,0,61
direct_wind_spline,Dallas,episode_vs_wind_only,0.4165451277072237,True,-31.27100599906462,2.29711452759466,4058,942,5000,conditional_diagnostic,1.640257144960951,-3.7998700949020785,4.632960350316526,delete_year_jackknife_diagnostic_t_df_5,168,57,4,67,67,22,10,22,5,6,15,15,1249.6158457206307,1.8513972429064376,57.0,67,22,0,0,0,0,101,35,0,0,67
direct_wind_spline,Denver,episode_vs_wind_only,,False,,,0,5000,5000,conditional_diagnostic,,,,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,64,15,5,26,26,6,4,6,4,6,9,15,2.714255902290694e+18,1.0522516324173459,15.0,26,6,0,0,0,0,38,9,0,0,26
direct_wind_spline,Houston,episode_vs_wind_only,-1.269550332891068,True,-3.4099415185544615,0.31075563349848934,4978,22,5000,conditional_diagnostic,0.5273279208049749,-2.6250899075362017,0.08598924175406553,delete_year_jackknife_diagnostic_t_df_5,792,100,10,288,374,46,18,46,6,6,15,15,5702.537614557151,2.4020182844562292,100.0,374,46,0,0,0,0,418,54,0,0,288
direct_wind_spline,Los Angeles,episode_vs_wind_only,-1.8594026935301877,True,-3.941471932128147,2.68627026468776,4984,16,5000,conditional_diagnostic,2.3704275722773245,-7.952780753517766,4.23397536645739,delete_year_jackknife_diagnostic_t_df_5,886,124,8,314,360,50,18,50,6,6,15,15,201401.34703658536,3.5017598244927206,123.99999999999997,360,50,0,0,0,0,526,74,0,0,314
direct_wind_spline,New York,episode_vs_wind_only,2.53465622401382,True,0.052087857956452766,4.695627279052864,4892,108,5000,conditional_diagnostic,0.6457959665187823,0.8745848429534404,4.194727605074199,delete_year_jackknife_diagnostic_t_df_5,607,75,9,251,276,34,19,34,6,6,15,15,16484.45357367524,2.20625998790915,75.0,276,34,0,0,0,0,331,41,0,0,251
direct_wind_spline,Philadelphia,episode_vs_wind_only,-0.8400771738479402,True,-6.394573258785776,2.5757547628580983,4184,816,5000,conditional_diagnostic,1.1749634352625338,-3.8604168380706545,2.1802624903747736,delete_year_jackknife_diagnostic_t_df_5,256,59,5,110,113,26,12,26,6,6,15,15,5537.26591036204,1.7726139252830175,59.000000000000014,113,26,0,0,0,0,143,33,0,0,110
direct_wind_spline,Phoenix,episode_vs_wind_only,-8.14366704849331,True,-8.147547369488713,-4.548695834921091,2353,2647,5000,conditional_diagnostic,,,,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,118,25,5,42,52,11,7,11,4,6,15,15,42216.36050356261,1.1080417014678159,25.0,52,11,0,0,0,0,66,14,0,0,42
direct_wind_spline,San Diego,episode_vs_wind_only,0.37119328750717595,True,-0.9647781371241736,1.7017299177629435,4996,4,5000,conditional_diagnostic,0.7972220872035838,-1.6781313288264263,2.4205179038407785,delete_year_jackknife_diagnostic_t_df_5,473,119,5,182,190,48,21,48,6,6,15,15,79140881122.03026,1.8557106724406078,119.0,190,48,0,0,0,0,283,71,0,0,182
direct_wind_spline,Seattle,episode_vs_wind_only,-9.824615965017845,True,-9.824615965017845,-9.8246149231056,262,4738,5000,conditional_diagnostic,,,,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,52,26,2,22,22,11,8,11,5,6,15,15,82908036143.53073,0.7832585582348809,26.0,22,11,0,0,0,0,30,15,0,0,22
