city,year,episode_id,start_date,end_date,duration_days,observed_episode_days,n_station_days,station_ids,days_with_direct_support,days_with_noncompound_support
Atlanta,2019,atlanta_2019-07-05,2019-07-05,2019-07-06,2,2,2,13-121-0056,1,2
Atlanta,2019,atlanta_2019-07-14,2019-07-14,2019-07-15,2,2,4,13-089-0003;13-121-0056,1,2
Atlanta,2019,atlanta_2019-07-27,2019-07-27,2019-08-01,6,6,18,13-089-0002;13-089-0003;13-121-0056,5,6
Atlanta,2019,atlanta_2019-08-10,2019-08-10,2019-08-14,5,5,15,13-089-0002;13-089-0003;13-121-0056,3,5
Atlanta,2019,atlanta_2019-08-17,2019-08-17,2019-08-19,3,3,9,13-089-0002;13-089-0003;13-121-0056,2,3
Atlanta,2019,atlanta_2019-09-08,2019-09-08,2019-09-12,5,5,15,13-089-0002;13-089-0003;13-121-0056,3,5
Atlanta,2019,atlanta_2019-09-16,2019-09-16,2019-09-17,2,2,6,13-089-0002;13-089-0003;13-121-0056,0,2
Atlanta,2019,atlanta_2019-09-29,2019-09-29,2019-10-03,5,5,15,13-089-0002;13-089-0003;13-121-0056,4,5
Atlanta,2020,atlanta_2020-07-14,2020-07-14,2020-07-23,10,10,30,13-089-0002;13-089-0003;13-121-0056,9,10
Atlanta,2020,atlanta_2020-07-26,2020-07-26,2020-07-27,2,2,6,13-089-0002;13-089-0003;13-121-0056,2,2
Atlanta,2020,atlanta_2020-08-05,2020-08-05,2020-08-09,5,5,15,13-089-0002;13-089-0003;13-121-0056,4,5
Atlanta,2020,atlanta_2020-08-12,2020-08-12,2020-08-13,2,2,6,13-089-0002;13-089-0003;13-121-0056,1,2
Atlanta,2021,atlanta_2021-07-26,2021-07-26,2021-07-29,4,4,12,13-089-0002;13-089-0003;13-121-0056,4,4
Atlanta,2021,atlanta_2021-08-09,2021-08-09,2021-08-10,2,2,6,13-089-0002;13-089-0003;13-121-0056,2,2
Atlanta,2021,atlanta_2021-08-23,2021-08-23,2021-08-25,3,3,9,13-089-0002;13-089-0003;13-121-0056,2,3
Atlanta,2022,atlanta_2022-07-02,2022-07-02,2022-07-08,7,7,20,13-089-0002;13-089-0003;13-121-0056,5,7
Atlanta,2022,atlanta_2022-07-23,2022-07-23,2022-07-24,2,2,6,13-089-0002;13-089-0003;13-121-0056,2,2
Atlanta,2023,atlanta_2023-06-29,2023-06-29,2023-06-30,2,2,6,13-089-0002;13-089-0003;13-121-0056,2,2
Atlanta,2023,atlanta_2023-07-25,2023-07-25,2023-07-29,5,5,15,13-089-0002;13-089-0003;13-121-0056,2,5
Atlanta,2023,atlanta_2023-08-12,2023-08-12,2023-08-13,2,2,6,13-089-0002;13-089-0003;13-121-0056,0,2
Atlanta,2023,atlanta_2023-08-21,2023-08-21,2023-08-22,2,2,6,13-089-0002;13-089-0003;13-121-0056,1,2
Atlanta,2024,atlanta_2024-06-14,2024-06-14,2024-06-15,2,2,5,13-089-0002;13-089-0003;13-121-0056,2,2
