city,year,episode_id,start_date,end_date,duration_days
Atlanta,2019,atlanta_2019-07-05,2019-07-05,2019-07-06,2
Atlanta,2019,atlanta_2019-07-14,2019-07-14,2019-07-15,2
Atlanta,2019,atlanta_2019-07-27,2019-07-27,2019-08-01,6
Atlanta,2019,atlanta_2019-08-10,2019-08-10,2019-08-14,5
Atlanta,2019,atlanta_2019-08-17,2019-08-17,2019-08-19,3
Atlanta,2019,atlanta_2019-09-08,2019-09-08,2019-09-12,5
Atlanta,2019,atlanta_2019-09-16,2019-09-16,2019-09-17,2
Atlanta,2019,atlanta_2019-09-29,2019-09-29,2019-10-03,5
Atlanta,2020,atlanta_2020-07-14,2020-07-14,2020-07-23,10
Atlanta,2020,atlanta_2020-07-26,2020-07-26,2020-07-27,2
Atlanta,2020,atlanta_2020-08-05,2020-08-05,2020-08-09,5
Atlanta,2020,atlanta_2020-08-12,2020-08-12,2020-08-13,2
Atlanta,2021,atlanta_2021-07-26,2021-07-26,2021-07-29,4
Atlanta,2021,atlanta_2021-08-09,2021-08-09,2021-08-10,2
Atlanta,2021,atlanta_2021-08-23,2021-08-23,2021-08-25,3
Atlanta,2022,atlanta_2022-07-02,2022-07-02,2022-07-08,7
Atlanta,2022,atlanta_2022-07-23,2022-07-23,2022-07-24,2
Atlanta,2023,atlanta_2023-06-29,2023-06-29,2023-06-30,2
Atlanta,2023,atlanta_2023-07-25,2023-07-25,2023-07-29,5
Atlanta,2023,atlanta_2023-08-12,2023-08-12,2023-08-13,2
Atlanta,2023,atlanta_2023-08-21,2023-08-21,2023-08-22,2
Atlanta,2024,atlanta_2024-06-14,2024-06-14,2024-06-15,2
Atlanta,2024,atlanta_2024-06-21,2024-06-21,2024-06-22,2
Atlanta,2024,atlanta_2024-07-04,2024-07-04,2024-07-07,4
Atlanta,2024,atlanta_2024-07-12,2024-07-12,2024-07-15,4
Atlanta,2024,atlanta_2024-08-27,2024-08-27,2024-09-02,7
Atlanta,2024,atlanta_2024-09-20,2024-09-20,2024-09-21,2
Atlanta,2025,atlanta_2025-06-22,2025-06-22,2025-06-25,4
Atlanta,2025,atlanta_2025-07-07,2025-07-07,2025-07-08,2
Atlanta,2025,atlanta_2025-07-29,2025-07-29,2025-07-31,3
Atlanta,2025,atlanta_2025-08-14,2025-08-14,2025-08-18,5
Atlanta,2025,atlanta_2025-09-19,2025-09-19,2025-09-20,2
Chicago,2019,chicago_2019-07-01,2019-07-01,2019-07-02,2
Chicago,2020,chicago_2020-06-29,2020-06-29,2020-06-30,2
Chicago,2020,chicago_2020-08-14,2020-08-14,2020-08-15,2
Chicago,2020,chicago_2020-08-24,2020-08-24,2020-08-25,2
Chicago,2021,chicago_2021-06-11,2021-06-11,2021-06-12,2
Chicago,2021,chicago_2021-07-25,2021-07-25,2021-07-28,4
Chicago,2021,chicago_2021-08-18,2021-08-18,2021-08-20,3
Chicago,2021,chicago_2021-08-25,2021-08-25,2021-08-27,3
Chicago,2022,chicago_2022-08-23,2022-08-23,2022-08-24,2
Chicago,2023,chicago_2023-07-04,2023-07-04,2023-07-05,2
Chicago,2023,chicago_2023-07-24,2023-07-24,2023-07-25,2
Chicago,2024,chicago_2024-07-30,2024-07-30,2024-08-01,3
Chicago,2024,chicago_2024-08-13,2024-08-13,2024-08-14,2
Chicago,2024,chicago_2024-08-30,2024-08-30,2024-08-31,2
Chicago,2024,chicago_2024-09-19,2024-09-19,2024-09-21,3
Chicago,2025,chicago_2025-06-29,2025-06-29,2025-07-04,6
Chicago,2025,chicago_2025-07-14,2025-07-14,2025-07-15,2
Chicago,2025,chicago_2025-07-26,2025-07-26,2025-07-29,4
Chicago,2025,chicago_2025-08-15,2025-08-15,2025-08-16,2
Dallas,2019,dallas_2019-07-31,2019-07-31,2019-08-01,2
Dallas,2019,dallas_2019-09-02,2019-09-02,2019-09-06,5
Dallas,2019,dallas_2019-09-13,2019-09-13,2019-09-16,4
Dallas,2021,dallas_2021-06-13,2021-06-13,2021-06-14,2
Dallas,2021,dallas_2021-07-26,2021-07-26,2021-07-31,6
Dallas,2021,dallas_2021-08-25,2021-08-25,2021-08-26,2
Dallas,2022,dallas_2022-06-17,2022-06-17,2022-06-18,2
Dallas,2022,dallas_2022-08-10,2022-08-10,2022-08-11,2
Dallas,2022,dallas_2022-09-20,2022-09-20,2022-09-22,3
Dallas,2023,dallas_2023-07-29,2023-07-29,2023-07-31,3
Dallas,2023,dallas_2023-08-23,2023-08-23,2023-08-26,4
Dallas,2024,dallas_2024-07-10,2024-07-10,2024-07-11,2
Dallas,2024,dallas_2024-08-02,2024-08-02,2024-08-08,7
Dallas,2025,dallas_2025-07-29,2025-07-29,2025-07-31,3
Dallas,2025,dallas_2025-08-18,2025-08-18,2025-08-19,2
Denver,2019,denver_2019-08-05,2019-08-05,2019-08-06,2
Denver,2019,denver_2019-08-18,2019-08-18,2019-08-19,2
Denver,2021,denver_2021-07-26,2021-07-26,2021-07-27,2
Denver,2021,denver_2021-08-23,2021-08-23,2021-08-24,2
Denver,2022,denver_2022-08-08,2022-08-08,2022-08-09,2
Denver,2024,denver_2024-07-23,2024-07-23,2024-07-24,2
Denver,2025,denver_2025-07-08,2025-07-08,2025-07-09,2
Houston,2019,houston_2019-07-06,2019-07-06,2019-07-07,2
Houston,2019,houston_2019-08-02,2019-08-02,2019-08-03,2
Houston,2019,houston_2019-08-14,2019-08-14,2019-08-16,3
Houston,2019,houston_2019-09-01,2019-09-01,2019-09-02,2
Houston,2020,houston_2020-08-03,2020-08-03,2020-08-05,3
Houston,2020,houston_2020-08-18,2020-08-18,2020-08-21,4
Houston,2021,houston_2021-06-12,2021-06-12,2021-06-17,6
Houston,2021,houston_2021-07-25,2021-07-25,2021-07-26,2
Houston,2021,houston_2021-08-23,2021-08-23,2021-08-24,2
Houston,2022,houston_2022-06-18,2022-06-18,2022-06-20,3
Houston,2022,houston_2022-06-26,2022-06-26,2022-06-27,2
Houston,2022,houston_2022-08-10,2022-08-10,2022-08-11,2
Houston,2022,houston_2022-09-22,2022-09-22,2022-09-23,2
Houston,2023,houston_2023-07-02,2023-07-02,2023-07-03,2
Houston,2023,houston_2023-07-23,2023-07-23,2023-07-30,8
Houston,2023,houston_2023-08-31,2023-08-31,2023-09-02,3
Houston,2023,houston_2023-09-11,2023-09-11,2023-09-13,3
Houston,2024,houston_2024-06-06,2024-06-06,2024-06-07,2
