model,contrast,scheme,attempted,valid,failed,failure_fraction,conditional_lower,conditional_upper,status,target,temporal_year_blocks,note
equal_station_weights,episode_vs_reference,hierarchical_city_independent_year,5000,4984,16,0.0032,2.260792294584278,4.195865668403493,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,episode_vs_reference,synchronized_year_fixed_cities,5000,4984,16,0.0032,2.7949320583583894,3.4668340817613825,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,episode_vs_reference,synchronized_year_resampled_cities,5000,4989,11,0.0022,2.139275894802138,4.250109620082162,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,heat_only_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,-0.2023369372569812,1.3177456623887414,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,heat_only_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,0.2781600478807919,0.7322701459282793,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,heat_only_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,-0.279974589961496,1.3281625205715006,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,wind_only_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,2.146191969090751,3.4547809568658976,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,wind_only_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,2.6283199190198707,3.0336121445343043,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,wind_only_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,2.128959585905251,3.481806499669244,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,other_compound_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,1.7350010237897768,4.031923634421199,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,other_compound_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,2.2744606737559963,3.1938933672456415,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,other_compound_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,1.6367161189256356,4.120132760963232,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,episode_vs_wind_only,hierarchical_city_independent_year,5000,4984,16,0.0032,-0.4459485575744733,1.1879638863687614,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,episode_vs_wind_only,synchronized_year_fixed_cities,5000,4984,16,0.0032,0.027641749735487133,0.6881839681122333,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,episode_vs_wind_only,synchronized_year_resampled_cities,5000,4989,11,0.0022,-0.5493709965769986,1.2535786559215942,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,episode_vs_heat_only,hierarchical_city_independent_year,5000,4984,16,0.0032,1.8407828316363977,3.3697926602805093,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,episode_vs_heat_only,synchronized_year_fixed_cities,5000,4984,16,0.0032,2.426526792662144,2.807164423632218,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
equal_station_weights,episode_vs_heat_only,synchronized_year_resampled_cities,5000,4989,11,0.0022,1.835251607389542,3.404075138123736,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
