model,contrast,scheme,attempted,valid,failed,failure_fraction,conditional_lower,conditional_upper,status,target,temporal_year_blocks,note
exclude_2020,episode_vs_reference,hierarchical_city_independent_year,5000,4953,47,0.0094,2.1111088823561475,4.285067122324362,conditional_on_estimability,resampled_city_distribution,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,episode_vs_reference,synchronized_year_fixed_cities,5000,4937,63,0.0126,2.793884630347686,3.395595378613309,conditional_on_estimability,fixed_11_cities,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,episode_vs_reference,synchronized_year_resampled_cities,5000,4951,49,0.0098,2.044718224581997,4.392651412761313,conditional_on_estimability,resampled_city_distribution,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,heat_only_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,-0.2804549208690843,1.4345665358849766,conditional_on_estimability,resampled_city_distribution,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,heat_only_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,0.26459623843884766,0.7548241640124348,conditional_on_estimability,fixed_11_cities,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,heat_only_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,-0.39221502961016746,1.4342193990981689,conditional_on_estimability,resampled_city_distribution,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,wind_only_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,2.19988080251762,3.5285865065950475,conditional_on_estimability,resampled_city_distribution,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,wind_only_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,2.719791864721307,3.1042150801738044,conditional_on_estimability,fixed_11_cities,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,wind_only_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,2.1909624119696294,3.5813166001728143,conditional_on_estimability,resampled_city_distribution,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,other_compound_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,1.6673854681158111,4.238416868963006,conditional_on_estimability,resampled_city_distribution,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,other_compound_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,2.281585019829684,3.3049448399233494,conditional_on_estimability,fixed_11_cities,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,other_compound_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,1.5726736432890853,4.3293959583537935,conditional_on_estimability,resampled_city_distribution,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,episode_vs_wind_only,hierarchical_city_independent_year,5000,4953,47,0.0094,-0.6311015723958452,1.211286817916892,conditional_on_estimability,resampled_city_distribution,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,episode_vs_wind_only,synchronized_year_fixed_cities,5000,4937,63,0.0126,0.009286415200178023,0.4532549854428753,conditional_on_estimability,fixed_11_cities,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,episode_vs_wind_only,synchronized_year_resampled_cities,5000,4951,49,0.0098,-0.677128498520964,1.2283975183164848,conditional_on_estimability,resampled_city_distribution,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,episode_vs_heat_only,hierarchical_city_independent_year,5000,4953,47,0.0094,1.8138729670174152,3.3179820308889023,conditional_on_estimability,resampled_city_distribution,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,episode_vs_heat_only,synchronized_year_fixed_cities,5000,4937,63,0.0126,2.3439594595651725,2.8112131558883386,conditional_on_estimability,fixed_11_cities,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
exclude_2020,episode_vs_heat_only,synchronized_year_resampled_cities,5000,4951,49,0.0098,1.8090898642480815,3.4058363577341737,conditional_on_estimability,resampled_city_distribution,5,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
