model,city,contrast,estimate_ppb,estimable,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_valid,bootstrap_failed,bootstrap_attempted,bootstrap_status,jackknife_se,jackknife_lower,jackknife_upper,jackknife_status,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
exclude_2020,Atlanta,episode_vs_reference,2.434248414217599,True,1.5219952832464756,3.0416787974161394,5000,0,5000,conditional_diagnostic,0.4227858841794211,1.2604066155409241,3.608090212894274,delete_year_jackknife_diagnostic_t_df_4,3063,1070,3,721,231,80,23,112,5,5,15,15,251.0207585003219,2.976523604650321,1070.0,231,80,1822,636,340,124,577,198,93,32
exclude_2020,Atlanta,heat_only_vs_reference,-0.10685789284376417,True,-0.6667188952501795,0.44413377513083796,5000,0,5000,conditional_diagnostic,0.24951526689856734,-0.7996233342964124,0.5859075486088842,delete_year_jackknife_diagnostic_t_df_4,3063,1070,3,721,231,80,23,112,5,5,15,15,251.0207585003219,2.976523604650321,1070.0,231,80,1822,636,340,124,577,198,93,32
exclude_2020,Atlanta,wind_only_vs_reference,1.8218699109726075,True,1.240007059049994,2.244964766992361,5000,0,5000,conditional_diagnostic,0.2856556463507271,1.0287626898900193,2.6149771320551958,delete_year_jackknife_diagnostic_t_df_4,3063,1070,3,721,231,80,23,112,5,5,15,15,251.0207585003219,2.976523604650321,1070.0,231,80,1822,636,340,124,577,198,93,32
exclude_2020,Atlanta,other_compound_vs_reference,1.0660384547721449,True,-0.3261426674979465,2.510403971531184,5000,0,5000,conditional_diagnostic,0.6984944059211848,-0.8732929195557693,3.005369829100059,delete_year_jackknife_diagnostic_t_df_4,3063,1070,3,721,231,80,23,112,5,5,15,15,251.0207585003219,2.976523604650321,1070.0,231,80,1822,636,340,124,577,198,93,32
exclude_2020,Atlanta,episode_vs_wind_only,0.6123785032449915,True,0.06544283884463598,1.0597770455184397,5000,0,5000,conditional_diagnostic,0.25750516627613224,-0.10257045522551966,1.3273274617155026,delete_year_jackknife_diagnostic_t_df_4,3063,1070,3,721,231,80,23,112,5,5,15,15,251.0207585003219,2.976523604650321,1070.0,231,80,1822,636,340,124,577,198,93,32
exclude_2020,Atlanta,episode_vs_heat_only,2.541106307061363,True,2.059512202916995,2.989407067263184,5000,0,5000,conditional_diagnostic,0.24624348722396824,1.857424782271541,3.2247878318511853,delete_year_jackknife_diagnostic_t_df_4,3063,1070,3,721,231,80,23,112,5,5,15,15,251.0207585003219,2.976523604650321,1070.0,231,80,1822,636,340,124,577,198,93,32
exclude_2020,Chicago,episode_vs_reference,4.914269832110824,True,3.7667798250740976,6.858927432376564,5000,0,5000,conditional_diagnostic,0.7893416448028064,2.7227060860692966,7.105833578152351,delete_year_jackknife_diagnostic_t_df_4,3833,1070,4,919,94,29,12,79,5,5,15,15,161.7558557279087,3.8911344769408633,1070.0,94,29,2208,605,458,132,895,254,178,50
exclude_2020,Chicago,heat_only_vs_reference,0.6456690754961127,True,-0.050476364298291276,1.357531037020156,5000,0,5000,conditional_diagnostic,0.4976469703671061,-0.7360204194961504,2.027358570488376,delete_year_jackknife_diagnostic_t_df_4,3833,1070,4,919,94,29,12,79,5,5,15,15,161.7558557279087,3.8911344769408633,1070.0,94,29,2208,605,458,132,895,254,178,50
exclude_2020,Chicago,wind_only_vs_reference,4.500761106995228,True,3.637394875321414,5.1995653897988685,5000,0,5000,conditional_diagnostic,0.44176159409798094,3.274234291397514,5.727287922592941,delete_year_jackknife_diagnostic_t_df_4,3833,1070,4,919,94,29,12,79,5,5,15,15,161.7558557279087,3.8911344769408633,1070.0,94,29,2208,605,458,132,895,254,178,50
exclude_2020,Chicago,other_compound_vs_reference,4.657076473972059,True,4.252161727797522,5.034181795500123,5000,0,5000,conditional_diagnostic,0.29808554067665455,3.829458333630124,5.4846946143139945,delete_year_jackknife_diagnostic_t_df_4,3833,1070,4,919,94,29,12,79,5,5,15,15,161.7558557279087,3.8911344769408633,1070.0,94,29,2208,605,458,132,895,254,178,50
exclude_2020,Chicago,episode_vs_wind_only,0.4135087251155962,True,-0.8287872605483044,2.394610336212671,5000,0,5000,conditional_diagnostic,0.7871611995838997,-1.7720011344707456,2.599018584701938,delete_year_jackknife_diagnostic_t_df_4,3833,1070,4,919,94,29,12,79,5,5,15,15,161.7558557279087,3.8911344769408633,1070.0,94,29,2208,605,458,132,895,254,178,50
exclude_2020,Chicago,episode_vs_heat_only,4.2686007566147115,True,2.518903494127587,6.7378286352009065,5000,0,5000,conditional_diagnostic,1.174160655416524,1.0086081521676702,7.528593361061753,delete_year_jackknife_diagnostic_t_df_4,3833,1070,4,919,94,29,12,79,5,5,15,15,161.7558557279087,3.8911344769408633,1070.0,94,29,2208,605,458,132,895,254,178,50
exclude_2020,Dallas,episode_vs_reference,2.227111467543619,True,0.9586563065615877,3.6026893503618385,5000,0,5000,conditional_diagnostic,0.6744150734765492,0.35463503791804407,4.099587897169195,delete_year_jackknife_diagnostic_t_df_4,3681,1070,4,913,156,46,14,79,5,5,15,15,186.53302727438466,2.5347888281376276,1070.0,156,46,1982,557,598,190,835,244,110,33
exclude_2020,Dallas,heat_only_vs_reference,-1.366021064891641,True,-2.195481086661026,-0.04205844106205103,5000,0,5000,conditional_diagnostic,0.5904685152552566,-3.005424483845507,0.27338235406222466,delete_year_jackknife_diagnostic_t_df_4,3681,1070,4,913,156,46,14,79,5,5,15,15,186.53302727438466,2.5347888281376276,1070.0,156,46,1982,557,598,190,835,244,110,33
exclude_2020,Dallas,wind_only_vs_reference,3.123514758660048,True,2.6902272629487394,3.6172196704965165,5000,0,5000,conditional_diagnostic,0.24218209706999924,2.4511094606835115,3.795920056636584,delete_year_jackknife_diagnostic_t_df_4,3681,1070,4,913,156,46,14,79,5,5,15,15,186.53302727438466,2.5347888281376276,1070.0,156,46,1982,557,598,190,835,244,110,33
exclude_2020,Dallas,other_compound_vs_reference,1.180002030595714,True,0.016748834387234846,2.0598919905047697,5000,0,5000,conditional_diagnostic,0.6240321531290566,-0.5525889864454951,2.912593047636923,delete_year_jackknife_diagnostic_t_df_4,3681,1070,4,913,156,46,14,79,5,5,15,15,186.53302727438466,2.5347888281376276,1070.0,156,46,1982,557,598,190,835,244,110,33
exclude_2020,Dallas,episode_vs_wind_only,-0.8964032911164286,True,-2.170647655386826,0.10727234687716614,5000,0,5000,conditional_diagnostic,0.5839977015161331,-2.517840850937658,0.725034268704801,delete_year_jackknife_diagnostic_t_df_4,3681,1070,4,913,156,46,14,79,5,5,15,15,186.53302727438466,2.5347888281376276,1070.0,156,46,1982,557,598,190,835,244,110,33
exclude_2020,Dallas,episode_vs_heat_only,3.59313253243526,True,2.953171128422608,3.8772311814738436,5000,0,5000,conditional_diagnostic,0.17420804979970683,3.109453445282811,4.076811619587709,delete_year_jackknife_diagnostic_t_df_4,3681,1070,4,913,156,46,14,79,5,5,15,15,186.53302727438466,2.5347888281376276,1070.0,156,46,1982,557,598,190,835,244,110,33
exclude_2020,Denver,episode_vs_reference,1.4423849837183922,True,-0.3123563731294257,4.314833769754704,4997,3,5000,conditional_diagnostic,1.3893742970621936,-2.41513648264756,5.299906450084345,delete_year_jackknife_diagnostic_t_df_4,5004,1070,5,1216,37,8,4,33,5,5,15,15,220.06003973344693,3.3321943005672328,1070.0,37,8,2632,562,820,179,1400,296,115,25
exclude_2020,Denver,heat_only_vs_reference,0.20050485754797454,True,-0.5555336989165042,1.15697482077154,5000,0,5000,conditional_diagnostic,0.5001431973650573,-1.1881152746742125,1.5891249897701618,delete_year_jackknife_diagnostic_t_df_4,5004,1070,5,1216,37,8,4,33,5,5,15,15,220.06003973344693,3.3321943005672328,1070.0,37,8,2632,562,820,179,1400,296,115,25
exclude_2020,Denver,wind_only_vs_reference,1.3606677626356263,True,0.8386265432788862,1.867260662814652,5000,0,5000,conditional_diagnostic,0.27620846024285906,0.5937901351801209,2.1275453900911314,delete_year_jackknife_diagnostic_t_df_4,5004,1070,5,1216,37,8,4,33,5,5,15,15,220.06003973344693,3.3321943005672328,1070.0,37,8,2632,562,820,179,1400,296,115,25
exclude_2020,Denver,other_compound_vs_reference,0.8588715196581964,True,-0.1571456914626701,1.9448962882937892,5000,0,5000,conditional_diagnostic,0.5751047700457602,-0.7378753041112571,2.45561834342765,delete_year_jackknife_diagnostic_t_df_4,5004,1070,5,1216,37,8,4,33,5,5,15,15,220.06003973344693,3.3321943005672328,1070.0,37,8,2632,562,820,179,1400,296,115,25
exclude_2020,Denver,episode_vs_wind_only,0.08171722108276591,True,-2.027438495493885,3.296941297520008,4997,3,5000,conditional_diagnostic,1.4872250143200514,-4.047481390253859,4.21091583241939,delete_year_jackknife_diagnostic_t_df_4,5004,1070,5,1216,37,8,4,33,5,5,15,15,220.06003973344693,3.3321943005672328,1070.0,37,8,2632,562,820,179,1400,296,115,25
exclude_2020,Denver,episode_vs_heat_only,1.2418801261704178,True,-0.47477195370238,4.562530835775347,4997,3,5000,conditional_diagnostic,1.6120663104085344,-3.2339334906176247,5.71769374295846,delete_year_jackknife_diagnostic_t_df_4,5004,1070,5,1216,37,8,4,33,5,5,15,15,220.06003973344693,3.3321943005672328,1070.0,37,8,2632,562,820,179,1400,296,115,25
exclude_2020,Houston,episode_vs_reference,1.7442080024227318,True,1.3068135550635875,1.9186488724788782,5000,0,5000,conditional_diagnostic,0.17894319977487644,1.2473820312993453,2.241033973546118,delete_year_jackknife_diagnostic_t_df_4,9186,1070,10,2259,609,71,20,108,5,5,15,15,436.01113422008217,3.197673872131949,1070.0,609,71,4609,529,1427,172,2230,261,311,37
exclude_2020,Houston,heat_only_vs_reference,-1.323544671304883,True,-2.598570769605051,-0.0834971553908384,5000,0,5000,conditional_diagnostic,0.8111684181136277,-3.575709255267502,0.9286199126577357,delete_year_jackknife_diagnostic_t_df_4,9186,1070,10,2259,609,71,20,108,5,5,15,15,436.01113422008217,3.197673872131949,1070.0,609,71,4609,529,1427,172,2230,261,311,37
exclude_2020,Houston,wind_only_vs_reference,3.672885409938334,True,3.0314395905792186,4.093049627640441,5000,0,5000,conditional_diagnostic,0.302008226785873,2.8343761469492317,4.511394672927437,delete_year_jackknife_diagnostic_t_df_4,9186,1070,10,2259,609,71,20,108,5,5,15,15,436.01113422008217,3.197673872131949,1070.0,609,71,4609,529,1427,172,2230,261,311,37
exclude_2020,Houston,other_compound_vs_reference,1.2805243610292372,True,-0.042820097469663976,2.3919858501220608,5000,0,5000,conditional_diagnostic,0.629124161541153,-0.4662043378433631,3.0272530599018372,delete_year_jackknife_diagnostic_t_df_4,9186,1070,10,2259,609,71,20,108,5,5,15,15,436.01113422008217,3.197673872131949,1070.0,609,71,4609,529,1427,172,2230,261,311,37
exclude_2020,Houston,episode_vs_wind_only,-1.9286774075156021,True,-2.655602276264385,-1.5754662175780103,5000,0,5000,conditional_diagnostic,0.26480753445290084,-2.6639009903668547,-1.1934538246643496,delete_year_jackknife_diagnostic_t_df_4,9186,1070,10,2259,609,71,20,108,5,5,15,15,436.01113422008217,3.197673872131949,1070.0,609,71,4609,529,1427,172,2230,261,311,37
exclude_2020,Houston,episode_vs_heat_only,3.0677526737276146,True,1.4056655825918223,4.247806492114648,5000,0,5000,conditional_diagnostic,0.9786806770246094,0.3504994984509753,5.7850058490042535,delete_year_jackknife_diagnostic_t_df_4,9186,1070,10,2259,609,71,20,108,5,5,15,15,436.01113422008217,3.197673872131949,1070.0,609,71,4609,529,1427,172,2230,261,311,37
exclude_2020,Los Angeles,episode_vs_reference,3.1748930893805842,True,2.256268216205414,4.084560487472709,5000,0,5000,conditional_diagnostic,0.5154558560423067,1.7437582009263832,4.606027977834785,delete_year_jackknife_diagnostic_t_df_4,7562,1070,8,1756,366,52,17,93,5,5,15,15,912.6930932018607,3.181760068022929,1069.9999999999998,366,52,4519,634,634,90,1762,253,281,41
exclude_2020,Los Angeles,heat_only_vs_reference,1.0967895432238466,True,0.4355987143182207,1.7467932395614976,5000,0,5000,conditional_diagnostic,0.3289882288366064,0.18337178560275924,2.010207300844934,delete_year_jackknife_diagnostic_t_df_4,7562,1070,8,1756,366,52,17,93,5,5,15,15,912.6930932018607,3.181760068022929,1069.9999999999998,366,52,4519,634,634,90,1762,253,281,41
exclude_2020,Los Angeles,wind_only_vs_reference,2.633425741301719,True,1.9985529060493261,3.823656816395211,5000,0,5000,conditional_diagnostic,0.5107720374221704,1.21529521812903,4.051556264474408,delete_year_jackknife_diagnostic_t_df_4,7562,1070,8,1756,366,52,17,93,5,5,15,15,912.6930932018607,3.181760068022929,1069.9999999999998,366,52,4519,634,634,90,1762,253,281,41
exclude_2020,Los Angeles,other_compound_vs_reference,3.4717640839904105,True,2.2630244131653257,4.537994388665426,5000,0,5000,conditional_diagnostic,0.6148691913517832,1.7646135273248267,5.178914640655995,delete_year_jackknife_diagnostic_t_df_4,7562,1070,8,1756,366,52,17,93,5,5,15,15,912.6930932018607,3.181760068022929,1069.9999999999998,366,52,4519,634,634,90,1762,253,281,41
exclude_2020,Los Angeles,episode_vs_wind_only,0.5414673480788652,True,-1.0444584293068595,1.9665219012180666,5000,0,5000,conditional_diagnostic,0.8740702757482443,-1.8853407906212332,2.9682754867789636,delete_year_jackknife_diagnostic_t_df_4,7562,1070,8,1756,366,52,17,93,5,5,15,15,912.6930932018607,3.181760068022929,1069.9999999999998,366,52,4519,634,634,90,1762,253,281,41
exclude_2020,Los Angeles,episode_vs_heat_only,2.0781035461567376,True,0.9624402491196096,3.1722754348010858,5000,0,5000,conditional_diagnostic,0.635474294895791,0.31374405061429966,3.8424630416991756,delete_year_jackknife_diagnostic_t_df_4,7562,1070,8,1756,366,52,17,93,5,5,15,15,912.6930932018607,3.181760068022929,1069.9999999999998,366,52,4519,634,634,90,1762,253,281,41
exclude_2020,New York,episode_vs_reference,4.321870394135799,True,2.7978513439065607,5.561159156669088,5000,0,5000,conditional_diagnostic,0.7236588593731533,2.3126712961961893,6.331069492075409,delete_year_jackknife_diagnostic_t_df_4,8852,1070,9,2086,412,50,18,84,5,5,15,15,207.23640878902305,3.848640115635487,1070.0,412,50,5164,625,943,112,2051,249,282,34
exclude_2020,New York,heat_only_vs_reference,1.1613648550974123,True,0.8279818487231171,1.6042901298185068,5000,0,5000,conditional_diagnostic,0.24291406433717716,0.4869272901847549,1.8358024200100695,delete_year_jackknife_diagnostic_t_df_4,8852,1070,9,2086,412,50,18,84,5,5,15,15,207.23640878902305,3.848640115635487,1070.0,412,50,5164,625,943,112,2051,249,282,34
exclude_2020,New York,wind_only_vs_reference,4.409339127586456,True,3.8756897020052223,4.9855535801417865,5000,0,5000,conditional_diagnostic,0.2981236568876144,3.581615159677173,5.237063095495739,delete_year_jackknife_diagnostic_t_df_4,8852,1070,9,2086,412,50,18,84,5,5,15,15,207.23640878902305,3.848640115635487,1070.0,412,50,5164,625,943,112,2051,249,282,34
exclude_2020,New York,other_compound_vs_reference,3.8198282909200425,True,2.7242744068878753,4.731919674818356,5000,0,5000,conditional_diagnostic,0.6173512254055229,2.105786502955019,5.533870078885066,delete_year_jackknife_diagnostic_t_df_4,8852,1070,9,2086,412,50,18,84,5,5,15,15,207.23640878902305,3.848640115635487,1070.0,412,50,5164,625,943,112,2051,249,282,34
exclude_2020,New York,episode_vs_wind_only,-0.08746873345065698,True,-2.1768921259134477,1.2328323070488763,5000,0,5000,conditional_diagnostic,0.8433203645399981,-2.4289014316913535,2.2539639647900396,delete_year_jackknife_diagnostic_t_df_4,8852,1070,9,2086,412,50,18,84,5,5,15,15,207.23640878902305,3.848640115635487,1070.0,412,50,5164,625,943,112,2051,249,282,34
exclude_2020,New York,episode_vs_heat_only,3.160505539038387,True,1.0974726458665707,4.664637844526139,5000,0,5000,conditional_diagnostic,0.910683518190399,0.632042742574348,5.688968335502426,delete_year_jackknife_diagnostic_t_df_4,8852,1070,9,2086,412,50,18,84,5,5,15,15,207.23640878902305,3.848640115635487,1070.0,412,50,5164,625,943,112,2051,249,282,34
exclude_2020,Philadelphia,episode_vs_reference,2.0193115967222557,True,0.7472265326858544,2.8415098265954697,5000,0,5000,conditional_diagnostic,0.7613386211063635,-0.09450329124654466,4.133126484691056,delete_year_jackknife_diagnostic_t_df_4,4946,1070,6,1190,137,31,12,65,5,5,15,15,166.3286239505783,3.4212042188676706,1070.0,137,31,2817,608,606,134,1226,263,160,34
exclude_2020,Philadelphia,heat_only_vs_reference,0.7115138285782207,True,0.3534653255045871,1.1628824776011828,5000,0,5000,conditional_diagnostic,0.2673230555636774,-0.030693960548069277,1.4537216177045105,delete_year_jackknife_diagnostic_t_df_4,4946,1070,6,1190,137,31,12,65,5,5,15,15,166.3286239505783,3.4212042188676706,1070.0,137,31,2817,608,606,134,1226,263,160,34
exclude_2020,Philadelphia,wind_only_vs_reference,2.0180670627728197,True,1.736894266570081,2.4211910880011085,5000,0,5000,conditional_diagnostic,0.18406554867001032,1.5070191711324235,2.529114954413216,delete_year_jackknife_diagnostic_t_df_4,4946,1070,6,1190,137,31,12,65,5,5,15,15,166.3286239505783,3.4212042188676706,1070.0,137,31,2817,608,606,134,1226,263,160,34
exclude_2020,Philadelphia,other_compound_vs_reference,1.877093475805692,True,1.4310605167338462,2.306798274937311,5000,0,5000,conditional_diagnostic,0.27334742032434506,1.1181593686277203,2.636027582983664,delete_year_jackknife_diagnostic_t_df_4,4946,1070,6,1190,137,31,12,65,5,5,15,15,166.3286239505783,3.4212042188676706,1070.0,137,31,2817,608,606,134,1226,263,160,34
exclude_2020,Philadelphia,episode_vs_wind_only,0.001244533949436022,True,-1.4191568690239056,0.7643305132498361,5000,0,5000,conditional_diagnostic,0.7805058788576138,-2.165787192982888,2.16827626088176,delete_year_jackknife_diagnostic_t_df_4,4946,1070,6,1190,137,31,12,65,5,5,15,15,166.3286239505783,3.4212042188676706,1070.0,137,31,2817,608,606,134,1226,263,160,34
exclude_2020,Philadelphia,episode_vs_heat_only,1.307797768144035,True,-0.04673775085406784,2.2431988845546753,5000,0,5000,conditional_diagnostic,0.9026882039115346,-1.1984664771259328,3.8140620134140026,delete_year_jackknife_diagnostic_t_df_4,4946,1070,6,1190,137,31,12,65,5,5,15,15,166.3286239505783,3.4212042188676706,1070.0,137,31,2817,608,606,134,1226,263,160,34
exclude_2020,Phoenix,episode_vs_reference,2.751110256721532,True,1.471070135336535,3.459206409014928,4957,43,5000,conditional_diagnostic,0.6146719580000161,1.044507307630044,4.45771320581302,delete_year_jackknife_diagnostic_t_df_4,5146,1070,6,1218,64,14,7,40,5,5,15,15,386.13779767268034,2.9132093939679686,1070.0,64,14,2664,557,856,179,1437,294,125,26
exclude_2020,Phoenix,heat_only_vs_reference,-0.04057845598534618,True,-0.8847547627864918,0.8238263131499801,5000,0,5000,conditional_diagnostic,0.5189864676457688,-1.481515893744334,1.4003589817736417,delete_year_jackknife_diagnostic_t_df_4,5146,1070,6,1218,64,14,7,40,5,5,15,15,386.13779767268034,2.9132093939679686,1070.0,64,14,2664,557,856,179,1437,294,125,26
exclude_2020,Phoenix,wind_only_vs_reference,3.110793613867262,True,2.8263789731517246,3.341743802861763,5000,0,5000,conditional_diagnostic,0.1747418881505147,2.6256323538387454,3.5959548738957787,delete_year_jackknife_diagnostic_t_df_4,5146,1070,6,1218,64,14,7,40,5,5,15,15,386.13779767268034,2.9132093939679686,1070.0,64,14,2664,557,856,179,1437,294,125,26
exclude_2020,Phoenix,other_compound_vs_reference,2.4653165703405544,True,1.4569443051569881,4.182423348831996,5000,0,5000,conditional_diagnostic,0.863854922790205,0.06687079835867182,4.8637623423224365,delete_year_jackknife_diagnostic_t_df_4,5146,1070,6,1218,64,14,7,40,5,5,15,15,386.13779767268034,2.9132093939679686,1070.0,64,14,2664,557,856,179,1437,294,125,26
exclude_2020,Phoenix,episode_vs_wind_only,-0.35968335714572985,True,-1.6413106017695478,0.41798888576754845,4957,43,5000,conditional_diagnostic,0.5936519483633875,-2.0079254033703906,1.2885586890789307,delete_year_jackknife_diagnostic_t_df_4,5146,1070,6,1218,64,14,7,40,5,5,15,15,386.13779767268034,2.9132093939679686,1070.0,64,14,2664,557,856,179,1437,294,125,26
exclude_2020,Phoenix,episode_vs_heat_only,2.7916887127068786,True,1.7541952975566633,3.6605636128915267,4957,43,5000,conditional_diagnostic,0.578783614459694,1.1847277793715745,4.398649646042182,delete_year_jackknife_diagnostic_t_df_4,5146,1070,6,1218,64,14,7,40,5,5,15,15,386.13779767268034,2.9132093939679686,1070.0,64,14,2664,557,856,179,1437,294,125,26
