model,contrast,omitted_city,estimate_ppb,n_target_cities,n_estimable_cities,target
exclude_2020,episode_vs_reference,Atlanta,3.1496380246566447,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_reference,Chicago,2.901635882867322,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_reference,Dallas,3.170351719324043,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_reference,Denver,3.2488243677065656,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_reference,Houston,3.218642065836131,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_reference,Los Angeles,3.075573557140346,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_reference,New York,2.9608758266648243,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_reference,Philadelphia,3.1911317064061793,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_reference,Phoenix,3.1179518404062514,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_reference,San Diego,3.2029752664143283,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_reference,Seattle,2.6930284033614105,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,heat_only_vs_reference,Atlanta,0.5763183653311628,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,heat_only_vs_reference,Chicago,0.501065668497175,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,heat_only_vs_reference,Dallas,0.7022346825359504,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,heat_only_vs_reference,Denver,0.5455820902919889,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,heat_only_vs_reference,Houston,0.6979870431772747,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,heat_only_vs_reference,Los Angeles,0.4559536217244017,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,heat_only_vs_reference,New York,0.44949609053704515,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,heat_only_vs_reference,Philadelphia,0.49448119318896433,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,heat_only_vs_reference,Phoenix,0.569690421645321,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,heat_only_vs_reference,San Diego,0.503849222273346,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,heat_only_vs_reference,Seattle,0.1596673612652335,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,wind_only_vs_reference,Atlanta,2.987240094937302,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,wind_only_vs_reference,Chicago,2.71935097533504,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,wind_only_vs_reference,Dallas,2.8570756101685584,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,wind_only_vs_reference,Denver,3.0333603097710005,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,wind_only_vs_reference,Houston,2.8021385450407292,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,wind_only_vs_reference,Los Angeles,2.906084511904391,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,wind_only_vs_reference,New York,2.728493173275917,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,wind_only_vs_reference,Philadelphia,2.967620379757281,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,wind_only_vs_reference,Phoenix,2.8583477246478366,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,wind_only_vs_reference,San Diego,3.0458080400711767,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,wind_only_vs_reference,Seattle,2.7887514954363963,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,other_compound_vs_reference,Atlanta,2.981317193887577,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,other_compound_vs_reference,Chicago,2.6222133919675854,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,other_compound_vs_reference,Dallas,2.96992083630522,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,other_compound_vs_reference,Denver,3.002033887398972,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,other_compound_vs_reference,Houston,2.959868603261868,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,other_compound_vs_reference,Los Angeles,2.740744630965751,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,other_compound_vs_reference,New York,2.7059382102727874,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,other_compound_vs_reference,Philadelphia,2.900211691784223,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,other_compound_vs_reference,Phoenix,2.8413893823307363,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,other_compound_vs_reference,San Diego,2.8873561645279557,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,other_compound_vs_reference,Seattle,2.2682164009452412,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_wind_only,Atlanta,0.16239792971934272,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_wind_only,Chicago,0.18228490753228221,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_wind_only,Dallas,0.3132761091554847,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_wind_only,Denver,0.21546405793556528,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_wind_only,Houston,0.4165035207954021,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_wind_only,Los Angeles,0.16948904523595532,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_wind_only,New York,0.23238265338890757,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_wind_only,Philadelphia,0.22351132664889825,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_wind_only,Phoenix,0.25960411575841486,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_wind_only,San Diego,0.15716722634315133,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_wind_only,Seattle,-0.09572309207498572,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_heat_only,Atlanta,2.573319659325482,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_heat_only,Chicago,2.4005702143701475,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_heat_only,Dallas,2.468117036788093,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_heat_only,Denver,2.703242277414577,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_heat_only,Houston,2.520655022658857,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_heat_only,Los Angeles,2.619619935415945,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_heat_only,New York,2.51137973612778,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_heat_only,Philadelphia,2.696650513217215,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
exclude_2020,episode_vs_heat_only,Phoenix,2.548261418760931,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
