model,omitted_year,contrast,estimate_ppb,n_cities,n_estimable_cities,missing_cities
exclude_2020,2019,episode_vs_reference,3.0178067263857002,11,11,
exclude_2020,2019,heat_only_vs_reference,0.37577562801733255,11,11,
exclude_2020,2019,wind_only_vs_reference,2.8945078233637402,11,11,
exclude_2020,2019,other_compound_vs_reference,2.608802107450015,11,11,
exclude_2020,2019,episode_vs_wind_only,0.12329890302196024,11,11,
exclude_2020,2019,episode_vs_heat_only,2.642031098368368,11,11,
exclude_2020,2021,episode_vs_reference,3.046200053358679,11,11,
exclude_2020,2021,heat_only_vs_reference,0.5119669957869838,11,11,
exclude_2020,2021,wind_only_vs_reference,2.885785226148084,11,11,
exclude_2020,2021,other_compound_vs_reference,2.6457706606152334,11,11,
exclude_2020,2021,episode_vs_wind_only,0.16041482721059566,11,11,
exclude_2020,2021,episode_vs_heat_only,2.5342330575716954,11,11,
exclude_2020,2022,episode_vs_reference,3.009533357253625,11,11,
exclude_2020,2022,heat_only_vs_reference,0.5017763941129183,11,11,
exclude_2020,2022,wind_only_vs_reference,2.790083791923913,11,11,
exclude_2020,2022,other_compound_vs_reference,2.887517903398873,11,11,
exclude_2020,2022,episode_vs_wind_only,0.2194495653297116,11,11,
exclude_2020,2022,episode_vs_heat_only,2.507756963140707,11,11,
exclude_2020,2023,episode_vs_reference,3.189857806852501,11,11,
exclude_2020,2023,heat_only_vs_reference,0.6285514817992317,11,11,
exclude_2020,2023,wind_only_vs_reference,2.9516207999595947,11,11,
exclude_2020,2023,other_compound_vs_reference,3.038133871256983,11,11,
exclude_2020,2023,episode_vs_wind_only,0.23823700689290706,11,11,
exclude_2020,2023,episode_vs_heat_only,2.5613063250532697,11,11,
exclude_2020,2024,episode_vs_reference,3.138634722308122,11,11,
exclude_2020,2024,heat_only_vs_reference,0.5579943322875238,11,11,
exclude_2020,2024,wind_only_vs_reference,2.873487706700152,11,11,
exclude_2020,2024,other_compound_vs_reference,2.88102695813227,11,11,
exclude_2020,2024,episode_vs_wind_only,0.26514701560796966,11,11,
exclude_2020,2024,episode_vs_heat_only,2.5806403900205983,11,11,
