model,contrast,city,estimate_ppb,estimable,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
exclude_2020,episode_vs_reference,Atlanta,2.434248414217599,True,3063,1070,3,721,231,80,23,112,5,5,15,15,251.0207585003219,2.976523604650321,1070.0,231,80,1822,636,340,124,577,198,93,32
exclude_2020,episode_vs_reference,Chicago,4.914269832110824,True,3833,1070,4,919,94,29,12,79,5,5,15,15,161.7558557279087,3.8911344769408633,1070.0,94,29,2208,605,458,132,895,254,178,50
exclude_2020,episode_vs_reference,Dallas,2.227111467543619,True,3681,1070,4,913,156,46,14,79,5,5,15,15,186.53302727438466,2.5347888281376276,1070.0,156,46,1982,557,598,190,835,244,110,33
exclude_2020,episode_vs_reference,Denver,1.4423849837183922,True,5004,1070,5,1216,37,8,4,33,5,5,15,15,220.06003973344693,3.3321943005672328,1070.0,37,8,2632,562,820,179,1400,296,115,25
exclude_2020,episode_vs_reference,Houston,1.7442080024227318,True,9186,1070,10,2259,609,71,20,108,5,5,15,15,436.01113422008217,3.197673872131949,1070.0,609,71,4609,529,1427,172,2230,261,311,37
exclude_2020,episode_vs_reference,Los Angeles,3.1748930893805842,True,7562,1070,8,1756,366,52,17,93,5,5,15,15,912.6930932018607,3.181760068022929,1069.9999999999998,366,52,4519,634,634,90,1762,253,281,41
exclude_2020,episode_vs_reference,New York,4.321870394135799,True,8852,1070,9,2086,412,50,18,84,5,5,15,15,207.23640878902305,3.848640115635487,1070.0,412,50,5164,625,943,112,2051,249,282,34
exclude_2020,episode_vs_reference,Philadelphia,2.0193115967222557,True,4946,1070,6,1190,137,31,12,65,5,5,15,15,166.3286239505783,3.4212042188676706,1070.0,137,31,2817,608,606,134,1226,263,160,34
exclude_2020,episode_vs_reference,Phoenix,2.751110256721532,True,5146,1070,6,1218,64,14,7,40,5,5,15,15,386.13779767268034,2.9132093939679686,1070.0,64,14,2664,557,856,179,1437,294,125,26
exclude_2020,episode_vs_reference,San Diego,1.9008759966407673,True,4230,1070,5,1003,202,49,19,82,5,5,15,15,853.35786296309,1.6259437323271897,1070.0,202,49,2431,622,442,110,1025,256,130,33
exclude_2020,episode_vs_reference,Seattle,7.000344627169943,True,2020,1068,2,489,74,38,15,92,5,5,15,15,778.1608905482625,3.366856761648205,1068.0,74,38,1178,620,271,149,397,207,100,54
exclude_2020,heat_only_vs_reference,Atlanta,-0.10685789284376417,True,3063,1070,3,721,231,80,23,112,5,5,15,15,251.0207585003219,2.976523604650321,1070.0,231,80,1822,636,340,124,577,198,93,32
exclude_2020,heat_only_vs_reference,Chicago,0.6456690754961127,True,3833,1070,4,919,94,29,12,79,5,5,15,15,161.7558557279087,3.8911344769408633,1070.0,94,29,2208,605,458,132,895,254,178,50
exclude_2020,heat_only_vs_reference,Dallas,-1.366021064891641,True,3681,1070,4,913,156,46,14,79,5,5,15,15,186.53302727438466,2.5347888281376276,1070.0,156,46,1982,557,598,190,835,244,110,33
exclude_2020,heat_only_vs_reference,Denver,0.20050485754797454,True,5004,1070,5,1216,37,8,4,33,5,5,15,15,220.06003973344693,3.3321943005672328,1070.0,37,8,2632,562,820,179,1400,296,115,25
exclude_2020,heat_only_vs_reference,Houston,-1.323544671304883,True,9186,1070,10,2259,609,71,20,108,5,5,15,15,436.01113422008217,3.197673872131949,1070.0,609,71,4609,529,1427,172,2230,261,311,37
exclude_2020,heat_only_vs_reference,Los Angeles,1.0967895432238466,True,7562,1070,8,1756,366,52,17,93,5,5,15,15,912.6930932018607,3.181760068022929,1069.9999999999998,366,52,4519,634,634,90,1762,253,281,41
exclude_2020,heat_only_vs_reference,New York,1.1613648550974123,True,8852,1070,9,2086,412,50,18,84,5,5,15,15,207.23640878902305,3.848640115635487,1070.0,412,50,5164,625,943,112,2051,249,282,34
exclude_2020,heat_only_vs_reference,Philadelphia,0.7115138285782207,True,4946,1070,6,1190,137,31,12,65,5,5,15,15,166.3286239505783,3.4212042188676706,1070.0,137,31,2817,608,606,134,1226,263,160,34
exclude_2020,heat_only_vs_reference,Phoenix,-0.04057845598534618,True,5146,1070,6,1218,64,14,7,40,5,5,15,15,386.13779767268034,2.9132093939679686,1070.0,64,14,2664,557,856,179,1437,294,125,26
exclude_2020,heat_only_vs_reference,San Diego,0.6178335377344026,True,4230,1070,5,1003,202,49,19,82,5,5,15,15,853.35786296309,1.6259437323271897,1070.0,202,49,2431,622,442,110,1025,256,130,33
exclude_2020,heat_only_vs_reference,Seattle,4.0596521478155285,True,2020,1068,2,489,74,38,15,92,5,5,15,15,778.1608905482625,3.366856761648205,1068.0,74,38,1178,620,271,149,397,207,100,54
exclude_2020,wind_only_vs_reference,Atlanta,1.8218699109726075,True,3063,1070,3,721,231,80,23,112,5,5,15,15,251.0207585003219,2.976523604650321,1070.0,231,80,1822,636,340,124,577,198,93,32
exclude_2020,wind_only_vs_reference,Chicago,4.500761106995228,True,3833,1070,4,919,94,29,12,79,5,5,15,15,161.7558557279087,3.8911344769408633,1070.0,94,29,2208,605,458,132,895,254,178,50
exclude_2020,wind_only_vs_reference,Dallas,3.123514758660048,True,3681,1070,4,913,156,46,14,79,5,5,15,15,186.53302727438466,2.5347888281376276,1070.0,156,46,1982,557,598,190,835,244,110,33
exclude_2020,wind_only_vs_reference,Denver,1.3606677626356263,True,5004,1070,5,1216,37,8,4,33,5,5,15,15,220.06003973344693,3.3321943005672328,1070.0,37,8,2632,562,820,179,1400,296,115,25
exclude_2020,wind_only_vs_reference,Houston,3.672885409938334,True,9186,1070,10,2259,609,71,20,108,5,5,15,15,436.01113422008217,3.197673872131949,1070.0,609,71,4609,529,1427,172,2230,261,311,37
exclude_2020,wind_only_vs_reference,Los Angeles,2.633425741301719,True,7562,1070,8,1756,366,52,17,93,5,5,15,15,912.6930932018607,3.181760068022929,1069.9999999999998,366,52,4519,634,634,90,1762,253,281,41
exclude_2020,wind_only_vs_reference,New York,4.409339127586456,True,8852,1070,9,2086,412,50,18,84,5,5,15,15,207.23640878902305,3.848640115635487,1070.0,412,50,5164,625,943,112,2051,249,282,34
exclude_2020,wind_only_vs_reference,Philadelphia,2.0180670627728197,True,4946,1070,6,1190,137,31,12,65,5,5,15,15,166.3286239505783,3.4212042188676706,1070.0,137,31,2817,608,606,134,1226,263,160,34
exclude_2020,wind_only_vs_reference,Phoenix,3.110793613867262,True,5146,1070,6,1218,64,14,7,40,5,5,15,15,386.13779767268034,2.9132093939679686,1070.0,64,14,2664,557,856,179,1437,294,125,26
exclude_2020,wind_only_vs_reference,San Diego,1.236190459633862,True,4230,1070,5,1003,202,49,19,82,5,5,15,15,853.35786296309,1.6259437323271897,1070.0,202,49,2431,622,442,110,1025,256,130,33
exclude_2020,wind_only_vs_reference,Seattle,3.806755905981667,True,2020,1068,2,489,74,38,15,92,5,5,15,15,778.1608905482625,3.366856761648205,1068.0,74,38,1178,620,271,149,397,207,100,54
exclude_2020,other_compound_vs_reference,Atlanta,1.0660384547721449,True,3063,1070,3,721,231,80,23,112,5,5,15,15,251.0207585003219,2.976523604650321,1070.0,231,80,1822,636,340,124,577,198,93,32
exclude_2020,other_compound_vs_reference,Chicago,4.657076473972059,True,3833,1070,4,919,94,29,12,79,5,5,15,15,161.7558557279087,3.8911344769408633,1070.0,94,29,2208,605,458,132,895,254,178,50
exclude_2020,other_compound_vs_reference,Dallas,1.180002030595714,True,3681,1070,4,913,156,46,14,79,5,5,15,15,186.53302727438466,2.5347888281376276,1070.0,156,46,1982,557,598,190,835,244,110,33
exclude_2020,other_compound_vs_reference,Denver,0.8588715196581964,True,5004,1070,5,1216,37,8,4,33,5,5,15,15,220.06003973344693,3.3321943005672328,1070.0,37,8,2632,562,820,179,1400,296,115,25
