model,city,contrast,estimate_ppb,ci_lower,ci_upper,ci_status,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,valid_bootstrap,n_station_days,n_city_days,n_stations,n_strata,n_episode_days,n_episodes,n_years,rank,parameters,condition_number,weighted_rmse,days_episode,days_heat_only,days_wind_only,days_other_compound
extension_2025,Atlanta,episode_vs_reference,1.4167434000615062,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,558,210,3,146,14,4,1,15,15,556.5133206302907,2.3972137977285697,14,19,41,4
extension_2025,Atlanta,heat_only_vs_reference,-0.23478343100331772,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,558,210,3,146,14,4,1,15,15,556.5133206302907,2.3972137977285697,14,19,41,4
extension_2025,Atlanta,wind_only_vs_reference,1.89162991305436,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,558,210,3,146,14,4,1,15,15,556.5133206302907,2.3972137977285697,14,19,41,4
extension_2025,Atlanta,other_compound_vs_reference,1.8825055772956087,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,558,210,3,146,14,4,1,15,15,556.5133206302907,2.3972137977285697,14,19,41,4
extension_2025,Atlanta,episode_vs_heat_only,1.651526831064824,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,558,210,3,146,14,4,1,15,15,556.5133206302907,2.3972137977285697,14,19,41,4
extension_2025,Atlanta,episode_vs_wind_only,-0.47488651299285367,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,558,210,3,146,14,4,1,15,15,556.5133206302907,2.3972137977285697,14,19,41,4
extension_2025,Chicago,episode_vs_reference,4.618000695981454,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,760,214,4,191,14,4,1,15,15,182.23660098282502,3.4912612093570585,14,24,61,10
extension_2025,Chicago,heat_only_vs_reference,-1.4260289128721633,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,760,214,4,191,14,4,1,15,15,182.23660098282502,3.4912612093570585,14,24,61,10
extension_2025,Chicago,wind_only_vs_reference,3.146185352405443,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,760,214,4,191,14,4,1,15,15,182.23660098282502,3.4912612093570585,14,24,61,10
extension_2025,Chicago,other_compound_vs_reference,5.361675039559953,,,unavailable: fewer than three years or nonidentifiable deletion,,,unavailable_single_year,5000,760,214,4,191,14,4,1,15,15,182.23660098282502,3.4912612093570585,14,24,61,10
