model,contrast,omitted_city,estimate_ppb,n_target_cities,n_estimable_cities,target
extension_2025,episode_vs_reference,Atlanta,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_reference,Chicago,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_reference,Dallas,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_reference,Denver,2.8044659769588387,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_reference,Houston,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_reference,Los Angeles,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_reference,New York,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_reference,Philadelphia,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_reference,Phoenix,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_reference,San Diego,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_reference,Seattle,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,heat_only_vs_reference,Atlanta,0.28453544319325724,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,heat_only_vs_reference,Chicago,0.40985564572447897,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,heat_only_vs_reference,Dallas,0.36436888473242435,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,heat_only_vs_reference,Denver,0.25293286478141636,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,heat_only_vs_reference,Houston,0.2369829693128303,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,heat_only_vs_reference,Los Angeles,0.2170420073406846,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,heat_only_vs_reference,New York,0.25464701427381015,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,heat_only_vs_reference,Philadelphia,0.17351481914342246,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,heat_only_vs_reference,Phoenix,0.23187243762395632,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,heat_only_vs_reference,San Diego,0.2240949843972186,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,heat_only_vs_reference,Seattle,0.24164391515819172,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,wind_only_vs_reference,Atlanta,2.6496119235019133,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,wind_only_vs_reference,Chicago,2.527420427682425,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,wind_only_vs_reference,Dallas,2.548860183981885,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,wind_only_vs_reference,Denver,2.6993208420131025,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,wind_only_vs_reference,Houston,2.5147154555460824,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,wind_only_vs_reference,Los Angeles,2.58160783521232,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,wind_only_vs_reference,New York,2.5004162913015877,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,wind_only_vs_reference,Philadelphia,2.7485846905457874,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,wind_only_vs_reference,Phoenix,2.482427485489894,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,wind_only_vs_reference,San Diego,2.7363921347998525,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,wind_only_vs_reference,Seattle,2.700252266711891,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,other_compound_vs_reference,Atlanta,2.6684676370717364,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,other_compound_vs_reference,Chicago,2.310412462252327,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,other_compound_vs_reference,Dallas,2.73689454772303,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,other_compound_vs_reference,Denver,2.5702115563402597,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,other_compound_vs_reference,Houston,2.546283231836733,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,other_compound_vs_reference,Los Angeles,2.72200086986165,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,other_compound_vs_reference,New York,2.67281761069469,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,other_compound_vs_reference,Philadelphia,2.7687346969021105,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,other_compound_vs_reference,Phoenix,2.624310838836446,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,other_compound_vs_reference,San Diego,2.7840370622139847,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,other_compound_vs_reference,Seattle,2.246314232481298,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_wind_only,Atlanta,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_wind_only,Chicago,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_wind_only,Dallas,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_wind_only,Denver,0.105145134945736,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_wind_only,Houston,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_wind_only,Los Angeles,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_wind_only,New York,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_wind_only,Philadelphia,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_wind_only,Phoenix,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_wind_only,San Diego,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_wind_only,Seattle,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_heat_only,Atlanta,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_heat_only,Chicago,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_heat_only,Dallas,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_heat_only,Denver,2.551533112177423,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_heat_only,Houston,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_heat_only,Los Angeles,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_heat_only,New York,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_heat_only,Philadelphia,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_heat_only,Phoenix,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_heat_only,San Diego,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
extension_2025,episode_vs_heat_only,Seattle,,10,9,equal_mean_remaining_10_cities_not_the_primary_11_city_target
