city,year,run_type,isolated_runs,persistent_runs,weather_days,n,mean,median,q25,q75,minimum,maximum,sd
Atlanta,2019,low_wind,15,14,64,29,2.206896551724138,1.0,1.0,2.0,1.0,7.0,1.7192047651837583
Atlanta,2019,pure_wind,13,4,25,17,1.4705882352941178,1.0,1.0,1.0,1.0,4.0,1.007326105267277
Atlanta,2020,low_wind,10,12,58,22,2.6363636363636362,2.0,1.0,2.75,1.0,15.0,3.18546482435235
Atlanta,2020,pure_wind,12,11,37,23,1.608695652173913,1.0,1.0,2.0,1.0,4.0,0.7827184815397383
Atlanta,2021,low_wind,14,17,79,31,2.5483870967741935,2.0,1.0,3.0,1.0,10.0,2.2925780201543025
Atlanta,2021,pure_wind,17,15,66,32,2.0625,1.0,1.0,3.0,1.0,6.0,1.50134348437142
Atlanta,2022,low_wind,16,11,56,27,2.074074074074074,1.0,1.0,2.5,1.0,9.0,1.8999175270749544
Atlanta,2022,pure_wind,13,10,40,23,1.7391304347826086,1.0,1.0,2.0,1.0,6.0,1.1761799222424119
Atlanta,2023,low_wind,22,10,54,32,1.6875,1.0,1.0,2.0,1.0,7.0,1.3781123134153823
Atlanta,2023,pure_wind,18,6,33,24,1.375,1.0,1.0,1.25,1.0,3.0,0.7109393663377318
Atlanta,2024,low_wind,18,12,57,30,1.9,1.0,1.0,2.0,1.0,8.0,1.6049492418657723
Atlanta,2024,pure_wind,17,7,34,24,1.4166666666666667,1.0,1.0,2.0,1.0,5.0,0.8805466023105079
Atlanta,2025,low_wind,15,11,58,26,2.230769230769231,1.0,1.0,2.75,1.0,8.0,2.045633247827035
Atlanta,2025,pure_wind,17,7,39,24,1.625,1.0,1.0,2.0,1.0,4.0,1.0959411282189109
Chicago,2019,low_wind,17,19,70,36,1.9444444444444444,2.0,1.0,2.0,1.0,7.0,1.4917763992625788
Chicago,2019,pure_wind,20,17,58,37,1.5675675675675675,1.0,1.0,2.0,1.0,5.0,0.8007128955756495
Chicago,2020,low_wind,15,13,55,28,1.9642857142857142,1.0,1.0,2.25,1.0,7.0,1.4525110532413719
Chicago,2020,pure_wind,19,7,36,26,1.3846153846153846,1.0,1.0,1.75,1.0,3.0,0.6972473349922867
Chicago,2021,low_wind,21,17,73,38,1.9210526315789473,1.0,1.0,2.75,1.0,6.0,1.3432831692650382
Chicago,2021,pure_wind,21,13,55,34,1.6176470588235294,1.0,1.0,2.0,1.0,4.0,0.9216160339761871
Chicago,2022,low_wind,17,14,59,31,1.903225806451613,1.0,1.0,3.0,1.0,5.0,1.2207876886032072
Chicago,2022,pure_wind,16,11,45,27,1.6666666666666667,1.0,1.0,2.0,1.0,4.0,0.9607689228305227
Chicago,2023,low_wind,19,18,69,37,1.864864864864865,1.0,1.0,2.0,1.0,7.0,1.2508255532105845
Chicago,2023,pure_wind,22,13,56,35,1.6,1.0,1.0,2.0,1.0,4.0,0.9139442639718566
Chicago,2024,low_wind,20,13,62,33,1.878787878787879,1.0,1.0,2.0,1.0,8.0,1.6347319305771466
Chicago,2024,pure_wind,20,8,40,28,1.4285714285714286,1.0,1.0,2.0,1.0,4.0,0.7901510136288027
Chicago,2025,low_wind,17,19,84,36,2.3333333333333335,2.0,1.0,3.0,1.0,8.0,1.820517979665599
Chicago,2025,pure_wind,20,15,60,35,1.7142857142857142,1.0,1.0,2.0,1.0,5.0,1.0451970985368817
Dallas,2019,low_wind,16,15,63,31,2.032258064516129,1.0,1.0,3.0,1.0,7.0,1.4487666241264656
Dallas,2019,pure_wind,19,9,44,28,1.5714285714285714,1.0,1.0,2.0,1.0,5.0,1.0338196500275416
Dallas,2020,low_wind,20,12,57,32,1.78125,1.0,1.0,2.0,1.0,5.0,1.2632363710059404
Dallas,2020,pure_wind,16,12,51,28,1.8214285714285714,1.0,1.0,2.25,1.0,5.0,1.1564175661505611
Dallas,2021,low_wind,12,17,81,29,2.793103448275862,2.0,1.0,4.0,1.0,11.0,2.396117549358718
Dallas,2021,pure_wind,14,16,66,30,2.2,2.0,1.0,3.0,1.0,6.0,1.471569652235092
Dallas,2022,low_wind,15,10,56,25,2.24,1.0,1.0,2.0,1.0,12.0,2.5703436864876
Dallas,2022,pure_wind,11,5,40,16,2.5,1.0,1.0,2.0,1.0,12.0,3.141125063837266
