definition,city,year,run_type,run_id,start_date,end_date,duration_days
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-04-09,2019-04-09,2019-04-09,1
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-04-22,2019-04-22,2019-04-22,1
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-05-03,2019-05-03,2019-05-03,1
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-05-07,2019-05-07,2019-05-07,1
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-05-10,2019-05-10,2019-05-10,1
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-05-15,2019-05-15,2019-05-18,4
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-05-24,2019-05-24,2019-05-24,1
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-06-05,2019-06-05,2019-06-06,2
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-06-10,2019-06-10,2019-06-10,1
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-06-14,2019-06-14,2019-06-14,1
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-06-27,2019-06-27,2019-06-27,1
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-06-29,2019-06-29,2019-06-30,2
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-07-05,2019-07-05,2019-07-06,2
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-07-14,2019-07-14,2019-07-15,2
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-07-26,2019-07-26,2019-08-01,7
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-08-03,2019-08-03,2019-08-06,4
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-08-10,2019-08-10,2019-08-14,5
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-08-17,2019-08-17,2019-08-21,5
p80_p30_min2_sep7,Atlanta,2019,low_wind,atlanta_2019-08-23,2019-08-23,2019-08-24,2
