model,contrast,omitted_city,estimate_ppb,n_target_cities,n_estimable_cities,target
p80_p20_min2_sep7,episode_vs_reference,Atlanta,3.4376060707997143,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,episode_vs_reference,Chicago,3.3108367596178625,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,episode_vs_reference,Dallas,3.48341494001876,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,episode_vs_reference,Denver,3.7431414982942464,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,episode_vs_reference,Houston,3.5346978899079913,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,episode_vs_reference,Los Angeles,3.2918561108818323,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,episode_vs_reference,New York,3.2218404289444225,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,episode_vs_reference,Philadelphia,3.5223405734821114,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,episode_vs_reference,Phoenix,3.2506790319744794,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,episode_vs_reference,San Diego,3.4288718363641406,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,episode_vs_reference,Seattle,2.7157241923142976,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,heat_only_vs_reference,Atlanta,0.58814778502725,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,heat_only_vs_reference,Chicago,0.5150929610746902,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,heat_only_vs_reference,Dallas,0.6796195587432482,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,heat_only_vs_reference,Denver,0.5373807814216264,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,heat_only_vs_reference,Houston,0.7170309845542445,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,heat_only_vs_reference,Los Angeles,0.4851719983600825,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,heat_only_vs_reference,New York,0.44955364374020784,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,heat_only_vs_reference,Philadelphia,0.4948967572306017,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,heat_only_vs_reference,Phoenix,0.5989008587277859,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,heat_only_vs_reference,San Diego,0.4893464408130326,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,heat_only_vs_reference,Seattle,0.18632164927167089,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,wind_only_vs_reference,Atlanta,2.9095675834871786,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,wind_only_vs_reference,Chicago,2.6562030923094535,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,wind_only_vs_reference,Dallas,2.76820701885404,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,wind_only_vs_reference,Denver,2.9840008708364327,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,wind_only_vs_reference,Houston,2.7343794886449597,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,wind_only_vs_reference,Los Angeles,2.8398357709301707,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,wind_only_vs_reference,New York,2.6215004590064135,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,wind_only_vs_reference,Philadelphia,2.8810436544125633,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,wind_only_vs_reference,Phoenix,2.8186921554565356,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p20_min2_sep7,wind_only_vs_reference,San Diego,2.9752995713823807,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
