model,omitted_year,contrast,estimate_ppb,n_cities,n_estimable_cities,missing_cities
p80_p20_min2_sep7,2019,episode_vs_reference,3.2606707298268223,11,11,
p80_p20_min2_sep7,2019,heat_only_vs_reference,0.41250869466194723,11,11,
p80_p20_min2_sep7,2019,wind_only_vs_reference,2.771286962886238,11,11,
p80_p20_min2_sep7,2019,other_compound_vs_reference,2.606321295146271,11,11,
p80_p20_min2_sep7,2019,episode_vs_wind_only,0.4893837669405844,11,11,
p80_p20_min2_sep7,2019,episode_vs_heat_only,2.848162035164876,11,11,
p80_p20_min2_sep7,2020,episode_vs_reference,3.384919236002061,11,11,
p80_p20_min2_sep7,2020,heat_only_vs_reference,0.5028848351179371,11,11,
p80_p20_min2_sep7,2020,wind_only_vs_reference,2.8857288379128394,11,11,
p80_p20_min2_sep7,2020,other_compound_vs_reference,2.9196332223330264,11,11,
p80_p20_min2_sep7,2020,episode_vs_wind_only,0.49919039808922167,11,11,
p80_p20_min2_sep7,2020,episode_vs_heat_only,2.882034400884124,11,11,
p80_p20_min2_sep7,2021,episode_vs_reference,,11,10,Phoenix
p80_p20_min2_sep7,2021,heat_only_vs_reference,0.5335836489742253,11,11,
p80_p20_min2_sep7,2021,wind_only_vs_reference,2.858575701701063,11,11,
p80_p20_min2_sep7,2021,other_compound_vs_reference,2.686900941286636,11,11,
p80_p20_min2_sep7,2021,episode_vs_wind_only,,11,10,Phoenix
p80_p20_min2_sep7,2021,episode_vs_heat_only,,11,10,Phoenix
p80_p20_min2_sep7,2022,episode_vs_reference,,11,10,Denver
p80_p20_min2_sep7,2022,heat_only_vs_reference,0.5210667921942399,11,11,
p80_p20_min2_sep7,2022,wind_only_vs_reference,2.73794131733692,11,11,
p80_p20_min2_sep7,2022,other_compound_vs_reference,2.724547042932936,11,11,
p80_p20_min2_sep7,2022,episode_vs_wind_only,,11,10,Denver
p80_p20_min2_sep7,2022,episode_vs_heat_only,,11,10,Denver
p80_p20_min2_sep7,2023,episode_vs_reference,3.522050881113145,11,11,
p80_p20_min2_sep7,2023,heat_only_vs_reference,0.617166527102733,11,11,
p80_p20_min2_sep7,2023,wind_only_vs_reference,2.828095594404626,11,11,
p80_p20_min2_sep7,2023,other_compound_vs_reference,2.8822137957793013,11,11,
p80_p20_min2_sep7,2023,episode_vs_wind_only,0.6939552867085182,11,11,
p80_p20_min2_sep7,2023,episode_vs_heat_only,2.9048843540104117,11,11,
p80_p20_min2_sep7,2024,episode_vs_reference,3.451641359342275,11,11,
p80_p20_min2_sep7,2024,heat_only_vs_reference,0.5460325663766659,11,11,
p80_p20_min2_sep7,2024,wind_only_vs_reference,2.755157695408076,11,11,
p80_p20_min2_sep7,2024,other_compound_vs_reference,2.7629346613710295,11,11,
p80_p20_min2_sep7,2024,episode_vs_wind_only,0.6964836639341982,11,11,
p80_p20_min2_sep7,2024,episode_vs_heat_only,2.9056087929656087,11,11,
