definition,comparator,city,year,supported_station_days,supported_strata,supported_city_days,supported_episode_station_days,supported_episode_city_days,supported_events
p80_p30_min2_allruns,neither,Atlanta,2019,133,44,47,56,20,8
p80_p30_min2_allruns,neither,Atlanta,2020,99,30,33,48,16,4
p80_p30_min2_allruns,neither,Atlanta,2021,91,29,31,35,12,4
p80_p30_min2_allruns,neither,Atlanta,2022,43,14,15,20,7,2
p80_p30_min2_allruns,neither,Atlanta,2023,53,18,18,18,6,4
p80_p30_min2_allruns,neither,Atlanta,2024,130,42,44,53,18,6
p80_p30_min2_allruns,neither,Atlanta,2025,115,36,39,39,13,4
p80_p30_min2_allruns,neither,Chicago,2019,30,12,10,12,4,2
p80_p30_min2_allruns,neither,Chicago,2020,80,29,22,32,9,5
p80_p30_min2_allruns,neither,Chicago,2021,36,18,10,18,5,2
p80_p30_min2_allruns,neither,Chicago,2022,12,3,4,3,1,1
p80_p30_min2_allruns,neither,Chicago,2023,11,5,7,6,4,3
p80_p30_min2_allruns,neither,Chicago,2024,104,37,29,41,11,5
p80_p30_min2_allruns,neither,Chicago,2025,47,18,16,21,7,4
p80_p30_min2_allruns,neither,Dallas,2019,122,38,33,44,12,4
p80_p30_min2_allruns,neither,Dallas,2020,0,0,0,0,0,0
p80_p30_min2_allruns,neither,Dallas,2021,147,51,42,51,15,5
p80_p30_min2_allruns,neither,Dallas,2022,37,15,13,15,5,2
p80_p30_min2_allruns,neither,Dallas,2023,18,6,6,6,2,1
p80_p30_min2_allruns,neither,Dallas,2024,20,9,7,11,4,3
p80_p30_min2_allruns,neither,Dallas,2025,39,15,13,15,5,2
p80_p30_min2_allruns,neither,Denver,2019,14,5,3,5,1,1
p80_p30_min2_allruns,neither,Denver,2020,0,0,0,0,0,0
p80_p30_min2_allruns,neither,Denver,2021,10,5,2,5,1,1
p80_p30_min2_allruns,neither,Denver,2022,8,4,2,4,1,1
p80_p30_min2_allruns,neither,Denver,2023,0,0,0,0,0,0
p80_p30_min2_allruns,neither,Denver,2024,18,9,4,9,2,1
p80_p30_min2_allruns,neither,Denver,2025,0,0,0,0,0,0
p80_p30_min2_allruns,neither,Houston,2019,139,50,17,50,6,4
p80_p30_min2_allruns,neither,Houston,2020,8,4,2,4,1,1
p80_p30_min2_allruns,neither,Houston,2021,261,100,33,105,13,5
p80_p30_min2_allruns,neither,Houston,2022,104,38,11,58,6,3
p80_p30_min2_allruns,neither,Houston,2023,86,43,12,43,6,3
p80_p30_min2_allruns,neither,Houston,2024,250,80,29,126,14,4
p80_p30_min2_allruns,neither,Houston,2025,60,30,6,30,3,2
p80_p30_min2_allruns,neither,Los Angeles,2019,253,83,37,90,13,4
p80_p30_min2_allruns,neither,Los Angeles,2020,269,93,35,138,18,7
p80_p30_min2_allruns,neither,Los Angeles,2021,188,60,25,60,8,2
p80_p30_min2_allruns,neither,Los Angeles,2022,258,84,37,105,15,4
p80_p30_min2_allruns,neither,Los Angeles,2023,187,69,27,69,10,4
p80_p30_min2_allruns,neither,Los Angeles,2024,87,31,14,31,5,3
p80_p30_min2_allruns,neither,Los Angeles,2025,138,49,20,61,9,4
p80_p30_min2_allruns,neither,New York,2019,249,78,29,95,11,7
p80_p30_min2_allruns,neither,New York,2020,90,36,10,54,6,3
p80_p30_min2_allruns,neither,New York,2021,207,72,26,72,9,4
p80_p30_min2_allruns,neither,New York,2022,70,27,8,27,3,2
p80_p30_min2_allruns,neither,New York,2023,224,70,30,84,11,4
p80_p30_min2_allruns,neither,New York,2024,166,56,21,72,9,3
p80_p30_min2_allruns,neither,New York,2025,122,31,16,62,8,4
p80_p30_min2_allruns,neither,Philadelphia,2019,55,16,17,23,7,3
p80_p30_min2_allruns,neither,Philadelphia,2020,16,8,4,8,2,1
p80_p30_min2_allruns,neither,Philadelphia,2021,88,33,19,33,7,4
p80_p30_min2_allruns,neither,Philadelphia,2022,8,4,2,4,1,1
p80_p30_min2_allruns,neither,Philadelphia,2023,82,23,18,23,5,3
p80_p30_min2_allruns,neither,Philadelphia,2024,12,4,3,4,1,1
p80_p30_min2_allruns,neither,Philadelphia,2025,126,39,29,48,11,5
p80_p30_min2_allruns,neither,Phoenix,2019,0,0,0,0,0,0
p80_p30_min2_allruns,neither,Phoenix,2020,28,8,7,8,2,1
p80_p30_min2_allruns,neither,Phoenix,2021,55,20,11,25,5,4
p80_p30_min2_allruns,neither,Phoenix,2022,0,0,0,0,0,0
p80_p30_min2_allruns,neither,Phoenix,2023,0,0,0,0,0,0
p80_p30_min2_allruns,neither,Phoenix,2024,48,16,12,16,4,2
p80_p30_min2_allruns,neither,Phoenix,2025,22,9,5,9,2,1
p80_p30_min2_allruns,neither,San Diego,2019,117,44,30,44,11,5
p80_p30_min2_allruns,neither,San Diego,2020,173,65,47,68,18,7
p80_p30_min2_allruns,neither,San Diego,2021,36,12,9,12,3,2
p80_p30_min2_allruns,neither,San Diego,2022,100,35,29,43,12,6
p80_p30_min2_allruns,neither,San Diego,2023,111,44,28,44,11,4
p80_p30_min2_allruns,neither,San Diego,2024,150,44,31,44,9,5
p80_p30_min2_allruns,neither,San Diego,2025,36,12,9,16,4,2
p80_p30_min2_allruns,neither,Seattle,2019,34,10,17,12,6,3
p80_p30_min2_allruns,neither,Seattle,2020,10,4,5,4,2,1
p80_p30_min2_allruns,neither,Seattle,2021,14,6,7,8,4,2
p80_p30_min2_allruns,neither,Seattle,2022,20,8,10,8,4,2
p80_p30_min2_allruns,neither,Seattle,2023,71,25,40,27,15,6
p80_p30_min2_allruns,neither,Seattle,2024,11,5,7,5,3,2
p80_p30_min2_allruns,neither,Seattle,2025,40,16,18,16,7,3
p80_p30_min2_allruns,wind_only,Atlanta,2019,41,13,15,25,9,4
p80_p30_min2_allruns,wind_only,Atlanta,2020,66,21,22,33,11,3
p80_p30_min2_allruns,wind_only,Atlanta,2021,63,24,21,27,9,4
p80_p30_min2_allruns,wind_only,Atlanta,2022,35,13,13,16,6,2
p80_p30_min2_allruns,wind_only,Atlanta,2023,39,18,13,18,6,4
p80_p30_min2_allruns,wind_only,Atlanta,2024,56,21,19,30,10,5
p80_p30_min2_allruns,wind_only,Atlanta,2025,37,17,13,17,6,2
p80_p30_min2_allruns,wind_only,Chicago,2019,12,6,4,6,2,1
p80_p30_min2_allruns,wind_only,Chicago,2020,40,16,13,21,7,4
p80_p30_min2_allruns,wind_only,Chicago,2021,35,16,11,19,6,3
p80_p30_min2_allruns,wind_only,Chicago,2022,6,3,2,3,1,1
p80_p30_min2_allruns,wind_only,Chicago,2023,25,10,14,11,6,3
p80_p30_min2_allruns,wind_only,Chicago,2024,52,24,13,24,6,4
p80_p30_min2_allruns,wind_only,Chicago,2025,64,25,21,25,8,3
p80_p30_min2_allruns,wind_only,Dallas,2019,6,3,2,3,1,1
p80_p30_min2_allruns,wind_only,Dallas,2020,0,0,0,0,0,0
p80_p30_min2_allruns,wind_only,Dallas,2021,109,43,33,43,13,5
p80_p30_min2_allruns,wind_only,Dallas,2022,55,23,21,23,8,4
p80_p30_min2_allruns,wind_only,Dallas,2023,6,3,2,3,1,1
p80_p30_min2_allruns,wind_only,Dallas,2024,41,16,13,16,5,2
p80_p30_min2_allruns,wind_only,Dallas,2025,54,22,20,25,9,3
p80_p30_min2_allruns,wind_only,Denver,2019,8,4,2,4,1,1
p80_p30_min2_allruns,wind_only,Denver,2020,0,0,0,0,0,0
p80_p30_min2_allruns,wind_only,Denver,2021,10,5,2,5,1,1
p80_p30_min2_allruns,wind_only,Denver,2022,24,8,6,8,2,1
p80_p30_min2_allruns,wind_only,Denver,2023,0,0,0,0,0,0
p80_p30_min2_allruns,wind_only,Denver,2024,22,9,5,9,2,1
p80_p30_min2_allruns,wind_only,Denver,2025,0,0,0,0,0,0
p80_p30_min2_allruns,wind_only,Houston,2019,129,50,16,56,7,4
p80_p30_min2_allruns,wind_only,Houston,2020,28,14,4,14,2,2
p80_p30_min2_allruns,wind_only,Houston,2021,270,92,34,99,12,5
p80_p30_min2_allruns,wind_only,Houston,2022,121,46,14,46,5,3
p80_p30_min2_allruns,wind_only,Houston,2023,74,37,10,37,5,3
p80_p30_min2_allruns,wind_only,Houston,2024,295,97,38,177,22,5
p80_p30_min2_allruns,wind_only,Houston,2025,198,60,20,70,7,3
p80_p30_min2_allruns,wind_only,Los Angeles,2019,122,54,18,54,8,3
p80_p30_min2_allruns,wind_only,Los Angeles,2020,405,119,51,175,22,6
p80_p30_min2_allruns,wind_only,Los Angeles,2021,84,35,12,35,5,1
p80_p30_min2_allruns,wind_only,Los Angeles,2022,70,28,10,42,6,2
p80_p30_min2_allruns,wind_only,Los Angeles,2023,213,76,31,76,11,4
p80_p30_min2_allruns,wind_only,Los Angeles,2024,162,52,25,52,8,4
p80_p30_min2_allruns,wind_only,Los Angeles,2025,84,28,12,35,5,4
p80_p30_min2_allruns,wind_only,New York,2019,179,73,22,90,11,8
p80_p30_min2_allruns,wind_only,New York,2020,72,18,8,27,3,3
p80_p30_min2_allruns,wind_only,New York,2021,147,66,18,66,8,4
p80_p30_min2_allruns,wind_only,New York,2022,32,16,4,16,2,1
p80_p30_min2_allruns,wind_only,New York,2023,112,46,15,53,7,3
p80_p30_min2_allruns,wind_only,New York,2024,128,48,16,64,8,3
p80_p30_min2_allruns,wind_only,New York,2025,0,0,0,0,0,0
p80_p30_min2_allruns,wind_only,Philadelphia,2019,74,28,19,31,8,4
p80_p30_min2_allruns,wind_only,Philadelphia,2020,20,8,5,8,2,1
p80_p30_min2_allruns,wind_only,Philadelphia,2021,111,44,23,44,9,3
p80_p30_min2_allruns,wind_only,Philadelphia,2022,20,10,4,10,2,1
p80_p30_min2_allruns,wind_only,Philadelphia,2023,74,33,16,37,8,4
p80_p30_min2_allruns,wind_only,Philadelphia,2024,32,12,8,16,4,2
p80_p30_min2_allruns,wind_only,Philadelphia,2025,39,17,9,17,4,3
p80_p30_min2_allruns,wind_only,Phoenix,2019,0,0,0,0,0,0
p80_p30_min2_allruns,wind_only,Phoenix,2020,8,4,2,4,1,1
p80_p30_min2_allruns,wind_only,Phoenix,2021,94,30,19,40,8,4
p80_p30_min2_allruns,wind_only,Phoenix,2022,0,0,0,0,0,0
p80_p30_min2_allruns,wind_only,Phoenix,2023,8,4,2,4,1,1
p80_p30_min2_allruns,wind_only,Phoenix,2024,8,4,2,4,1,1
p80_p30_min2_allruns,wind_only,Phoenix,2025,10,5,2,5,1,1
p80_p30_min2_allruns,wind_only,San Diego,2019,107,44,29,44,12,5
p80_p30_min2_allruns,wind_only,San Diego,2020,121,43,31,51,13,4
p80_p30_min2_allruns,wind_only,San Diego,2021,32,12,8,12,3,2
p80_p30_min2_allruns,wind_only,San Diego,2022,48,22,13,22,6,3
p80_p30_min2_allruns,wind_only,San Diego,2023,75,32,19,32,8,3
p80_p30_min2_allruns,wind_only,San Diego,2024,115,39,24,39,8,5
p80_p30_min2_allruns,wind_only,San Diego,2025,50,19,13,23,6,2
p80_p30_min2_allruns,wind_only,Seattle,2019,8,4,4,4,2,2
p80_p30_min2_allruns,wind_only,Seattle,2020,4,2,2,2,1,1
p80_p30_min2_allruns,wind_only,Seattle,2021,8,4,4,4,2,2
p80_p30_min2_allruns,wind_only,Seattle,2022,18,6,9,6,3,1
p80_p30_min2_allruns,wind_only,Seattle,2023,18,8,9,8,4,3
p80_p30_min2_allruns,wind_only,Seattle,2024,0,0,0,0,0,0
p80_p30_min2_allruns,wind_only,Seattle,2025,28,10,11,10,4,3
p80_p30_min2_allruns,persistent_wind_only,Atlanta,2019,36,12,12,24,8,3
p80_p30_min2_allruns,persistent_wind_only,Atlanta,2020,45,15,15,24,8,3
p80_p30_min2_allruns,persistent_wind_only,Atlanta,2021,48,21,16,21,7,3
p80_p30_min2_allruns,persistent_wind_only,Atlanta,2022,20,10,8,10,4,1
p80_p30_min2_allruns,persistent_wind_only,Atlanta,2023,21,9,7,9,3,1
p80_p30_min2_allruns,persistent_wind_only,Atlanta,2024,32,12,11,18,6,2
p80_p30_min2_allruns,persistent_wind_only,Atlanta,2025,27,12,9,12,4,2
p80_p30_min2_allruns,persistent_wind_only,Chicago,2019,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Chicago,2020,24,8,9,13,5,2
p80_p30_min2_allruns,persistent_wind_only,Chicago,2021,23,10,7,13,4,3
p80_p30_min2_allruns,persistent_wind_only,Chicago,2022,0,0,0,0,0,0
p80_p30_min2_allruns,persistent_wind_only,Chicago,2023,21,9,12,10,6,3
p80_p30_min2_allruns,persistent_wind_only,Chicago,2024,40,20,10,20,5,4
p80_p30_min2_allruns,persistent_wind_only,Chicago,2025,42,18,14,18,6,2
