model,contrast,scheme,attempted,valid,failed,failure_fraction,conditional_lower,conditional_upper,status,target,temporal_year_blocks,note
p80_p30_min2_allruns,episode_vs_reference,hierarchical_city_independent_year,5000,4984,16,0.0032,2.2309813550149085,4.042247125195279,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,episode_vs_reference,synchronized_year_fixed_cities,5000,4984,16,0.0032,2.6519728338119495,3.4796018148276087,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,episode_vs_reference,synchronized_year_resampled_cities,5000,4989,11,0.0022,2.127764491606897,4.1380281646936705,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,heat_only_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,-0.20216976375730594,1.3494704294499487,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,heat_only_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,0.289467163973642,0.7287976025095588,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,heat_only_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,-0.28739162295643006,1.3664002344248294,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,wind_only_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,2.1562843481103244,3.466426885144198,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,wind_only_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,2.64848552862498,3.022845731305527,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,wind_only_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,2.1448685478906673,3.486450089588376,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,other_compound_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,1.668220718412802,4.226897043110848,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,other_compound_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,2.4029500800952186,3.1934634424209096,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,other_compound_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,1.5588817268515602,4.289420000710215,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,episode_vs_wind_only,hierarchical_city_independent_year,5000,4984,16,0.0032,-0.46802125834868147,1.0567662253380876,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,episode_vs_wind_only,synchronized_year_fixed_cities,5000,4984,16,0.0032,-0.11904280419139153,0.6839101579848577,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,episode_vs_wind_only,synchronized_year_resampled_cities,5000,4989,11,0.0022,-0.5709288622207589,1.1485230565359128,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,episode_vs_heat_only,hierarchical_city_independent_year,5000,4984,16,0.0032,1.7336297467352249,3.29337716859925,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,episode_vs_heat_only,synchronized_year_fixed_cities,5000,4984,16,0.0032,2.291360619452543,2.826523642906201,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
p80_p30_min2_allruns,episode_vs_heat_only,synchronized_year_resampled_cities,5000,4989,11,0.0022,1.7088897477256781,3.3380964424732418,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
