model,city,contrast,estimate_ppb,estimable,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_valid,bootstrap_failed,bootstrap_attempted,bootstrap_status,jackknife_se,jackknife_lower,jackknife_upper,jackknife_status,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
p80_p30_min2_allruns,Atlanta,episode_vs_reference,2.3820669353220922,True,1.6391598510410192,2.9083166523947312,5000,0,5000,conditional_diagnostic,0.3546325821824132,1.4704548612391783,3.293679009405006,delete_year_jackknife_diagnostic_t_df_5,3701,1284,3,868,303,104,29,133,6,6,15,15,231.78623494471367,2.965930010251388,1283.9999999999998,303,104,2250,780,376,136,688,235,84,29
p80_p30_min2_allruns,Atlanta,heat_only_vs_reference,0.004981613902421994,True,-0.48520823304381855,0.5443399593748137,5000,0,5000,conditional_diagnostic,0.2586074929106373,-0.6597901099331092,0.6697533377379532,delete_year_jackknife_diagnostic_t_df_5,3701,1284,3,868,303,104,29,133,6,6,15,15,231.78623494471367,2.965930010251388,1283.9999999999998,303,104,2250,780,376,136,688,235,84,29
p80_p30_min2_allruns,Atlanta,wind_only_vs_reference,1.8594452166256519,True,1.3588285802380136,2.239948720343309,5000,0,5000,conditional_diagnostic,0.2379766103904339,1.2477068646497023,2.4711835686016013,delete_year_jackknife_diagnostic_t_df_5,3701,1284,3,868,303,104,29,133,6,6,15,15,231.78623494471367,2.965930010251388,1283.9999999999998,303,104,2250,780,376,136,688,235,84,29
p80_p30_min2_allruns,Atlanta,other_compound_vs_reference,1.2292663533155979,True,-0.0992997596810223,2.9481051729088286,5000,0,5000,conditional_diagnostic,0.7500339269586029,-0.6987572354351612,3.157289942066357,delete_year_jackknife_diagnostic_t_df_5,3701,1284,3,868,303,104,29,133,6,6,15,15,231.78623494471367,2.965930010251388,1283.9999999999998,303,104,2250,780,376,136,688,235,84,29
p80_p30_min2_allruns,Atlanta,episode_vs_wind_only,0.5226217186964404,True,0.06802430939878334,0.9160878256003735,5000,0,5000,conditional_diagnostic,0.2108919997223654,-0.019493425070890802,1.0647368624637714,delete_year_jackknife_diagnostic_t_df_5,3701,1284,3,868,303,104,29,133,6,6,15,15,231.78623494471367,2.965930010251388,1283.9999999999998,303,104,2250,780,376,136,688,235,84,29
p80_p30_min2_allruns,Atlanta,episode_vs_heat_only,2.37708532141967,True,1.9807967139686575,2.8111880609552786,5000,0,5000,conditional_diagnostic,0.2193762049817886,1.8131608337226557,2.9410098091166845,delete_year_jackknife_diagnostic_t_df_5,3701,1284,3,868,303,104,29,133,6,6,15,15,231.78623494471367,2.965930010251388,1283.9999999999998,303,104,2250,780,376,136,688,235,84,29
p80_p30_min2_allruns,Chicago,episode_vs_reference,4.499362543033339,True,3.444108082221547,5.466784858907642,5000,0,5000,conditional_diagnostic,0.4008570243264682,3.468926757612495,5.5297983284541825,delete_year_jackknife_diagnostic_t_df_5,4644,1284,4,1108,160,48,20,98,6,6,15,15,152.7528075593555,3.836632444118535,1284.0,160,48,2723,738,554,158,1025,290,182,50
p80_p30_min2_allruns,Chicago,heat_only_vs_reference,0.4883342129088013,True,-0.17187428371448332,1.182692350530576,5000,0,5000,conditional_diagnostic,0.4528510503498492,-0.6757564713693471,1.6524248971869497,delete_year_jackknife_diagnostic_t_df_5,4644,1284,4,1108,160,48,20,98,6,6,15,15,152.7528075593555,3.836632444118535,1284.0,160,48,2723,738,554,158,1025,290,182,50
p80_p30_min2_allruns,Chicago,wind_only_vs_reference,4.395551494065163,True,3.6820800606860047,5.021025512245981,5000,0,5000,conditional_diagnostic,0.3968626967178121,3.375383454640712,5.415719533489614,delete_year_jackknife_diagnostic_t_df_5,4644,1284,4,1108,160,48,20,98,6,6,15,15,152.7528075593555,3.836632444118535,1284.0,160,48,2723,738,554,158,1025,290,182,50
p80_p30_min2_allruns,Chicago,other_compound_vs_reference,4.702608829470033,True,3.7958121800545506,5.471487573592944,5000,0,5000,conditional_diagnostic,0.5372032595108149,3.321683888526911,6.083533770413155,delete_year_jackknife_diagnostic_t_df_5,4644,1284,4,1108,160,48,20,98,6,6,15,15,152.7528075593555,3.836632444118535,1284.0,160,48,2723,738,554,158,1025,290,182,50
