model,contrast,omitted_city,estimate_ppb,n_target_cities,n_estimable_cities,target
p80_p30_min2_allruns,episode_vs_reference,Atlanta,3.106623249162073,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,episode_vs_reference,Chicago,2.8948936883909484,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,episode_vs_reference,Dallas,3.100222994781961,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,episode_vs_reference,Denver,3.1878307997226534,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,episode_vs_reference,Houston,3.152998854759846,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,episode_vs_reference,Los Angeles,3.0395894116487723,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,episode_vs_reference,New York,2.8839429612083975,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,episode_vs_reference,Philadelphia,3.1419815525199737,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,episode_vs_reference,Phoenix,3.0221965005430804,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,episode_vs_reference,San Diego,3.1252938167231563,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,episode_vs_reference,Seattle,2.7927255974819603,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,heat_only_vs_reference,Atlanta,0.5820601575612858,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,heat_only_vs_reference,Chicago,0.5337248976606479,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,heat_only_vs_reference,Dallas,0.690645330332144,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,heat_only_vs_reference,Denver,0.5378507479258493,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,heat_only_vs_reference,Houston,0.7100625247265709,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,heat_only_vs_reference,Los Angeles,0.4942087063562105,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,heat_only_vs_reference,New York,0.46562618006688244,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,heat_only_vs_reference,Philadelphia,0.49437886704147826,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,heat_only_vs_reference,Phoenix,0.5924680775224047,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,heat_only_vs_reference,San Diego,0.5120771708391578,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
p80_p30_min2_allruns,heat_only_vs_reference,Seattle,0.21248052948264892,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
