model,omitted_year,contrast,estimate_ppb,n_cities,n_estimable_cities,missing_cities
p80_p30_min2_allruns,2019,episode_vs_reference,2.971450050800358,11,11,
p80_p30_min2_allruns,2019,heat_only_vs_reference,0.42709032023173454,11,11,
p80_p30_min2_allruns,2019,wind_only_vs_reference,2.8207927264492936,11,11,
p80_p30_min2_allruns,2019,other_compound_vs_reference,2.5617428124586614,11,11,
p80_p30_min2_allruns,2019,episode_vs_wind_only,0.15065732435106446,11,11,
p80_p30_min2_allruns,2019,episode_vs_heat_only,2.544359730568624,11,11,
p80_p30_min2_allruns,2020,episode_vs_reference,2.9214841576927735,11,11,
p80_p30_min2_allruns,2020,heat_only_vs_reference,0.5014565704361693,11,11,
p80_p30_min2_allruns,2020,wind_only_vs_reference,2.8822766636261785,11,11,
p80_p30_min2_allruns,2020,other_compound_vs_reference,2.8709909639293048,11,11,
p80_p30_min2_allruns,2020,episode_vs_wind_only,0.03920749406659484,11,11,
p80_p30_min2_allruns,2020,episode_vs_heat_only,2.4200275872566044,11,11,
p80_p30_min2_allruns,2021,episode_vs_reference,2.978983517813084,11,11,
p80_p30_min2_allruns,2021,heat_only_vs_reference,0.5360155750211383,11,11,
p80_p30_min2_allruns,2021,wind_only_vs_reference,2.816715774217578,11,11,
p80_p30_min2_allruns,2021,other_compound_vs_reference,2.7193288157565747,11,11,
p80_p30_min2_allruns,2021,episode_vs_wind_only,0.16226774359550677,11,11,
p80_p30_min2_allruns,2021,episode_vs_heat_only,2.4429679427919466,11,11,
p80_p30_min2_allruns,2022,episode_vs_reference,2.988853920685239,11,11,
p80_p30_min2_allruns,2022,heat_only_vs_reference,0.5155791784332068,11,11,
p80_p30_min2_allruns,2022,wind_only_vs_reference,2.7391068251733586,11,11,
p80_p30_min2_allruns,2022,other_compound_vs_reference,2.8339319589192518,11,11,
p80_p30_min2_allruns,2022,episode_vs_wind_only,0.2497470955118797,11,11,
p80_p30_min2_allruns,2022,episode_vs_heat_only,2.4732747422520323,11,11,
p80_p30_min2_allruns,2023,episode_vs_reference,3.2757614601576317,11,11,
p80_p30_min2_allruns,2023,heat_only_vs_reference,0.6317810470473979,11,11,
p80_p30_min2_allruns,2023,wind_only_vs_reference,2.855661319121151,11,11,
p80_p30_min2_allruns,2023,other_compound_vs_reference,2.8665676521189916,11,11,
p80_p30_min2_allruns,2023,episode_vs_wind_only,0.4201001410364808,11,11,
p80_p30_min2_allruns,2023,episode_vs_heat_only,2.6439804131102336,11,11,
p80_p30_min2_allruns,2024,episode_vs_reference,3.124729663359032,11,11,
p80_p30_min2_allruns,2024,heat_only_vs_reference,0.5665098689993049,11,11,
p80_p30_min2_allruns,2024,wind_only_vs_reference,2.7970150322569562,11,11,
p80_p30_min2_allruns,2024,other_compound_vs_reference,2.8008701393096,11,11,
p80_p30_min2_allruns,2024,episode_vs_wind_only,0.3277146311020751,11,11,
p80_p30_min2_allruns,2024,episode_vs_heat_only,2.5582197943597267,11,11,
