model,city,input_station_days,input_city_days,input_episode_station_days,input_episode_city_days,input_observed_events,comparator,persistent_only,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
p80_p30_min2_allruns,Atlanta,3704,1284,304,104,29,multicategory,False,3701,1284,3,868,303,104,29,133,6,6,15,15,231.78623494471367,2.965930010251388,1283.9999999999998,303,104,2250,780,376,136,688,235,84,29
p80_p30_min2_allruns,Chicago,4663,1284,165,48,20,multicategory,False,4644,1284,4,1108,160,48,20,98,6,6,15,15,152.7528075593555,3.836632444118535,1284.0,160,48,2723,738,554,158,1025,290,182,50
p80_p30_min2_allruns,Dallas,4551,1284,190,55,18,multicategory,False,4519,1284,4,1109,189,55,18,85,6,6,15,15,169.52109786275997,2.5153780609736907,1284.0,189,55,2490,686,704,218,1035,295,101,30
p80_p30_min2_allruns,Denver,6049,1284,37,8,4,multicategory,False,6040,1284,5,1461,37,8,4,41,6,6,15,15,222.62629838889688,3.3572815703111476,1284.0,37,8,3185,676,1033,223,1632,344,153,33
p80_p30_min2_allruns,Houston,11010,1284,741,87,26,multicategory,False,10963,1284,10,2687,737,87,26,118,6,6,15,15,478.06725427310255,3.191365435380634,1284.0,737,87,5754,664,1706,207,2506,295,260,31
p80_p30_min2_allruns,Los Angeles,9254,1284,637,87,26,multicategory,False,9253,1284,8,2148,637,87,26,127,6,6,15,15,810.9184317305562,3.2358669578004786,1283.9999999999998,637,87,5374,743,808,112,2154,302,280,40
p80_p30_min2_allruns,New York,10749,1284,532,64,25,multicategory,False,10742,1284,9,2527,530,64,25,98,6,6,15,15,218.6361501365924,3.7811514738408007,1284.0,530,64,6280,751,1205,142,2440,293,287,34
p80_p30_min2_allruns,Philadelphia,5982,1284,179,40,16,multicategory,False,5975,1284,6,1435,178,40,16,76,6,6,15,15,166.9170106326451,3.4020978595474967,1284.0,178,40,3414,730,743,164,1474,314,166,36
p80_p30_min2_allruns,Phoenix,5991,1284,72,16,8,multicategory,False,5991,1284,6,1414,72,16,8,49,6,6,15,15,414.2205410963679,2.866895193709976,1284.0,72,16,3096,666,1104,241,1566,328,153,33
p80_p30_min2_allruns,San Diego,5057,1284,317,78,29,multicategory,False,5051,1284,5,1198,317,78,29,110,6,6,15,15,656.0379388179396,1.6658639556972923,1284.0,317,78,2858,735,559,140,1193,299,124,32
p80_p30_min2_allruns,Seattle,2448,1282,88,45,17,multicategory,False,2447,1282,2,587,87,45,17,104,6,6,15,15,515.5741831097345,3.3550622979936073,1282.0,87,45,1407,735,331,179,511,264,111,59
