definition,comparator,city,year,supported_station_days,supported_strata,supported_city_days,supported_episode_station_days,supported_episode_city_days,supported_events
p80_p30_min3_sep7,neither,Atlanta,2019,121,41,42,50,17,5
p80_p30_min3_sep7,neither,Atlanta,2020,90,30,30,39,13,2
p80_p30_min3_sep7,neither,Atlanta,2021,85,29,29,29,10,3
p80_p30_min3_sep7,neither,Atlanta,2022,37,14,13,14,5,1
p80_p30_min3_sep7,neither,Atlanta,2023,12,6,4,6,2,1
p80_p30_min3_sep7,neither,Atlanta,2024,87,30,29,36,12,3
p80_p30_min3_sep7,neither,Atlanta,2025,106,33,36,33,11,3
p80_p30_min3_sep7,neither,Chicago,2019,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Chicago,2020,30,15,8,15,4,2
p80_p30_min3_sep7,neither,Chicago,2021,20,10,6,10,3,1
p80_p30_min3_sep7,neither,Chicago,2022,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Chicago,2023,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Chicago,2024,53,18,15,18,5,2
p80_p30_min3_sep7,neither,Chicago,2025,35,14,13,14,5,2
p80_p30_min3_sep7,neither,Dallas,2019,91,26,25,32,9,2
p80_p30_min3_sep7,neither,Dallas,2020,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Dallas,2021,83,29,25,29,9,2
p80_p30_min3_sep7,neither,Dallas,2022,18,8,7,8,3,1
p80_p30_min3_sep7,neither,Dallas,2023,18,6,6,6,2,1
p80_p30_min3_sep7,neither,Dallas,2024,12,6,4,6,2,1
p80_p30_min3_sep7,neither,Dallas,2025,33,12,11,12,4,1
p80_p30_min3_sep7,neither,Denver,2019,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Denver,2020,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Denver,2021,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Denver,2022,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Denver,2023,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Denver,2024,0,0,0,0,0,0
p80_p30_min3_sep7,neither,Denver,2025,0,0,0,0,0,0
