definition,city,heat_c,wind_kmh,threshold_days,heat_quantile,wind_quantile,min_days,start_separation
p80_p30_min3_sep7,Atlanta,31.5,6.772916666666667,856,0.8,0.3,3,7
p80_p30_min3_sep7,Chicago,26.9,10.735416666666666,856,0.8,0.3,3,7
p80_p30_min3_sep7,Dallas,35.1,9.189583333333333,856,0.8,0.3,3,7
p80_p30_min3_sep7,Denver,32.2,7.066666666666666,856,0.8,0.3,3,7
p80_p30_min3_sep7,Houston,33.5,8.204166666666667,856,0.8,0.3,3,7
p80_p30_min3_sep7,Los Angeles,32.4,6.406249999999999,856,0.8,0.3,3,7
p80_p30_min3_sep7,New York,28.8,8.154166666666667,856,0.8,0.3,3,7
p80_p30_min3_sep7,Philadelphia,30.9,7.8500000000000005,856,0.8,0.3,3,7
p80_p30_min3_sep7,Phoenix,41.9,6.729166666666667,856,0.8,0.3,3,7
p80_p30_min3_sep7,San Diego,29.7,6.660416666666667,856,0.8,0.3,3,7
p80_p30_min3_sep7,Seattle,24.0,5.8500000000000005,856,0.8,0.3,3,7
