definition,comparator,city,year,episode_id,weather_days,observed_city_days,observed_station_days,supported_city_days,supported_station_days,all_weather_days_have_observation,all_weather_days_have_supported_site,all_observed_station_days_supported
p85_p30_min2_sep7,neither,Atlanta,2019,atlanta_2019-07-05,2,2,2,2,2,True,True,True
p85_p30_min2_sep7,neither,Atlanta,2019,atlanta_2019-07-14,2,2,4,1,2,True,False,False
p85_p30_min2_sep7,neither,Atlanta,2019,atlanta_2019-07-29,2,2,6,1,3,True,False,False
p85_p30_min2_sep7,neither,Atlanta,2019,atlanta_2019-08-10,5,5,15,5,15,True,True,True
p85_p30_min2_sep7,neither,Atlanta,2019,atlanta_2019-08-17,3,3,9,3,9,True,True,True
p85_p30_min2_sep7,neither,Atlanta,2019,atlanta_2019-09-08,5,5,15,3,9,True,False,False
p85_p30_min2_sep7,neither,Atlanta,2019,atlanta_2019-09-16,2,2,6,0,0,True,False,False
p85_p30_min2_sep7,neither,Atlanta,2019,atlanta_2019-09-29,5,5,15,4,12,True,False,False
p85_p30_min2_sep7,neither,Atlanta,2020,atlanta_2020-07-17,5,5,15,4,12,True,False,False
p85_p30_min2_sep7,neither,Atlanta,2020,atlanta_2020-08-08,2,2,6,2,6,True,True,True
p85_p30_min2_sep7,neither,Atlanta,2021,atlanta_2021-07-28,2,2,6,2,6,True,True,True
p85_p30_min2_sep7,neither,Atlanta,2021,atlanta_2021-08-12,3,3,9,3,9,True,True,True
p85_p30_min2_sep7,neither,Atlanta,2022,atlanta_2022-07-04,5,5,14,3,8,True,False,False
p85_p30_min2_sep7,neither,Atlanta,2023,atlanta_2023-06-29,2,2,6,2,6,True,True,True
p85_p30_min2_sep7,neither,Atlanta,2023,atlanta_2023-07-25,5,5,15,3,9,True,False,False
p85_p30_min2_sep7,neither,Atlanta,2023,atlanta_2023-08-12,2,2,6,1,3,True,False,False
p85_p30_min2_sep7,neither,Atlanta,2023,atlanta_2023-08-21,2,2,6,1,3,True,False,False
p85_p30_min2_sep7,neither,Atlanta,2024,atlanta_2024-06-14,2,2,5,2,5,True,True,True
p85_p30_min2_sep7,neither,Atlanta,2024,atlanta_2024-06-21,2,2,6,2,6,True,True,True
p85_p30_min2_sep7,neither,Atlanta,2024,atlanta_2024-07-04,2,2,6,1,3,True,False,False
p85_p30_min2_sep7,neither,Atlanta,2024,atlanta_2024-07-12,4,4,12,2,6,True,False,False
p85_p30_min2_sep7,neither,Atlanta,2024,atlanta_2024-08-27,6,6,18,6,18,True,True,True
p85_p30_min2_sep7,neither,Atlanta,2024,atlanta_2024-09-20,2,2,6,2,6,True,True,True
