model,city,year,episode_id,observed_station_days,selected_station_days,observed_city_days,selected_city_days,any_selected_site_day,every_observed_site_day_selected,every_observed_city_day_has_a_selected_site
p85_p30_min2_sep7,Atlanta,2019,atlanta_2019-07-05,2,2,2,2,True,True,True
p85_p30_min2_sep7,Atlanta,2019,atlanta_2019-07-14,4,4,2,2,True,True,True
p85_p30_min2_sep7,Atlanta,2019,atlanta_2019-07-29,6,6,2,2,True,True,True
p85_p30_min2_sep7,Atlanta,2019,atlanta_2019-08-10,15,15,5,5,True,True,True
p85_p30_min2_sep7,Atlanta,2019,atlanta_2019-08-17,9,9,3,3,True,True,True
p85_p30_min2_sep7,Atlanta,2019,atlanta_2019-09-08,15,15,5,5,True,True,True
p85_p30_min2_sep7,Atlanta,2019,atlanta_2019-09-16,6,6,2,2,True,True,True
p85_p30_min2_sep7,Atlanta,2019,atlanta_2019-09-29,15,15,5,5,True,True,True
p85_p30_min2_sep7,Atlanta,2020,atlanta_2020-07-17,15,15,5,5,True,True,True
p85_p30_min2_sep7,Atlanta,2020,atlanta_2020-08-08,6,6,2,2,True,True,True
p85_p30_min2_sep7,Atlanta,2021,atlanta_2021-07-28,6,6,2,2,True,True,True
p85_p30_min2_sep7,Atlanta,2021,atlanta_2021-08-12,9,9,3,3,True,True,True
p85_p30_min2_sep7,Atlanta,2022,atlanta_2022-07-04,14,14,5,5,True,True,True
p85_p30_min2_sep7,Atlanta,2023,atlanta_2023-06-29,6,6,2,2,True,True,True
p85_p30_min2_sep7,Atlanta,2023,atlanta_2023-07-25,15,15,5,5,True,True,True
p85_p30_min2_sep7,Atlanta,2023,atlanta_2023-08-12,6,6,2,2,True,True,True
p85_p30_min2_sep7,Atlanta,2023,atlanta_2023-08-21,6,6,2,2,True,True,True
p85_p30_min2_sep7,Atlanta,2024,atlanta_2024-06-14,5,5,2,2,True,True,True
p85_p30_min2_sep7,Atlanta,2024,atlanta_2024-06-21,6,6,2,2,True,True,True
p85_p30_min2_sep7,Atlanta,2024,atlanta_2024-07-04,6,6,2,2,True,True,True
p85_p30_min2_sep7,Atlanta,2024,atlanta_2024-07-12,12,12,4,4,True,True,True
p85_p30_min2_sep7,Atlanta,2024,atlanta_2024-08-27,18,18,6,6,True,True,True
p85_p30_min2_sep7,Atlanta,2024,atlanta_2024-09-20,6,6,2,2,True,True,True
p85_p30_min2_sep7,Chicago,2019,chicago_2019-07-04,6,6,2,2,True,True,True
p85_p30_min2_sep7,Chicago,2020,chicago_2020-07-02,8,8,2,2,True,True,True
p85_p30_min2_sep7,Chicago,2021,chicago_2021-07-25,13,13,4,4,True,True,True
p85_p30_min2_sep7,Chicago,2021,chicago_2021-08-25,6,6,2,2,True,True,True
p85_p30_min2_sep7,Chicago,2023,chicago_2023-07-04,2,2,2,2,True,True,True
p85_p30_min2_sep7,Chicago,2023,chicago_2023-07-27,8,5,2,2,True,False,True
p85_p30_min2_sep7,Chicago,2024,chicago_2024-07-30,12,12,3,3,True,True,True
p85_p30_min2_sep7,Chicago,2024,chicago_2024-09-19,10,10,3,3,True,True,True
p85_p30_min2_sep7,Dallas,2019,dallas_2019-09-04,12,12,3,3,True,True,True
p85_p30_min2_sep7,Dallas,2019,dallas_2019-09-14,8,8,2,2,True,True,True
p85_p30_min2_sep7,Dallas,2021,dallas_2021-07-26,5,5,2,2,True,True,True
p85_p30_min2_sep7,Dallas,2022,dallas_2022-06-17,8,8,2,2,True,True,True
p85_p30_min2_sep7,Dallas,2022,dallas_2022-08-10,4,4,2,2,True,True,True
p85_p30_min2_sep7,Dallas,2023,dallas_2023-07-29,9,9,3,3,True,True,True
p85_p30_min2_sep7,Dallas,2023,dallas_2023-08-23,16,16,4,4,True,True,True
p85_p30_min2_sep7,Dallas,2024,dallas_2024-08-02,6,6,2,2,True,True,True
p85_p30_min2_sep7,Denver,2019,denver_2019-08-18,10,10,2,2,True,True,True
p85_p30_min2_sep7,Denver,2021,denver_2021-08-23,10,10,2,2,True,True,True
p85_p30_min2_sep7,Denver,2024,denver_2024-07-28,9,9,2,2,True,True,True
p85_p30_min2_sep7,Houston,2019,houston_2019-07-10,18,18,2,2,True,True,True
p85_p30_min2_sep7,Houston,2019,houston_2019-08-14,22,22,3,3,True,True,True
p85_p30_min2_sep7,Houston,2019,houston_2019-09-01,16,16,2,2,True,True,True
p85_p30_min2_sep7,Houston,2020,houston_2020-08-03,23,22,3,3,True,False,True
p85_p30_min2_sep7,Houston,2020,houston_2020-08-20,18,18,2,2,True,True,True
p85_p30_min2_sep7,Houston,2021,houston_2021-06-13,38,38,4,4,True,True,True
p85_p30_min2_sep7,Houston,2022,houston_2022-06-18,30,30,3,3,True,True,True
