model,contrast,scheme,attempted,valid,failed,failure_fraction,conditional_lower,conditional_upper,status,target,temporal_year_blocks,note
period_2019_2022,episode_vs_reference,hierarchical_city_independent_year,5000,4660,340,0.068,2.39353748129235,4.650624930645503,conditional_on_estimability,resampled_city_distribution,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,episode_vs_reference,synchronized_year_fixed_cities,5000,4653,347,0.0694,3.06669771516721,3.6270885058064155,conditional_on_estimability,fixed_11_cities,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,episode_vs_reference,synchronized_year_resampled_cities,5000,4781,219,0.0438,2.348525029745794,4.661232865061677,conditional_on_estimability,resampled_city_distribution,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,heat_only_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,0.10382986550758048,1.3545007599549805,conditional_on_estimability,resampled_city_distribution,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,heat_only_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,0.5785811679175072,0.8292608708646526,conditional_on_estimability,fixed_11_cities,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,heat_only_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,0.05055032507174028,1.3421074964191506,conditional_on_estimability,resampled_city_distribution,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,wind_only_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,2.1428641522678906,3.5054320953127385,conditional_on_estimability,resampled_city_distribution,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,wind_only_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,2.6000425623589254,3.163323270134943,conditional_on_estimability,fixed_11_cities,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,wind_only_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,2.105045583707547,3.5912889647588173,conditional_on_estimability,resampled_city_distribution,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,other_compound_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,1.9445527035193413,4.339490657635168,conditional_on_estimability,resampled_city_distribution,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,other_compound_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,2.5470737800544914,3.4882344553438105,conditional_on_estimability,fixed_11_cities,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,other_compound_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,1.8537998781352236,4.44580767688592,conditional_on_estimability,resampled_city_distribution,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,episode_vs_wind_only,hierarchical_city_independent_year,5000,4660,340,0.068,-0.34847766780425793,1.6327376686033017,conditional_on_estimability,resampled_city_distribution,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,episode_vs_wind_only,synchronized_year_fixed_cities,5000,4653,347,0.0694,0.2771832573018761,1.0226568558711213,conditional_on_estimability,fixed_11_cities,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,episode_vs_wind_only,synchronized_year_resampled_cities,5000,4781,219,0.0438,-0.4572027218782201,1.6550346630683879,conditional_on_estimability,resampled_city_distribution,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,episode_vs_heat_only,hierarchical_city_independent_year,5000,4660,340,0.068,1.8046324846164885,3.589198082170194,conditional_on_estimability,resampled_city_distribution,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,episode_vs_heat_only,synchronized_year_fixed_cities,5000,4653,347,0.0694,2.3283958908286353,2.9216474197167823,conditional_on_estimability,fixed_11_cities,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
period_2019_2022,episode_vs_heat_only,synchronized_year_resampled_cities,5000,4781,219,0.0438,1.7731649767567663,3.698408552198755,conditional_on_estimability,resampled_city_distribution,4,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
