model,city,contrast,estimate_ppb,estimable,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_valid,bootstrap_failed,bootstrap_attempted,bootstrap_status,jackknife_se,jackknife_lower,jackknife_upper,jackknife_status,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
period_2019_2022,Atlanta,episode_vs_reference,2.6152319094681578,True,1.9464723950133676,3.115391361594978,5000,0,5000,conditional_diagnostic,0.41055374333392025,1.3086666658747277,3.921797153061588,delete_year_jackknife_diagnostic_t_df_3,2451,856,3,574,193,67,17,89,4,4,15,15,231.57580192752548,2.9393457357819255,856.0,193,67,1472,514,232,85,490,168,64,22
period_2019_2022,Atlanta,heat_only_vs_reference,0.22674897038757852,True,-0.6384943757694851,0.9451800076186836,5000,0,5000,conditional_diagnostic,0.3948844588838615,-1.0299496168013227,1.4834475575764796,delete_year_jackknife_diagnostic_t_df_3,2451,856,3,574,193,67,17,89,4,4,15,15,231.57580192752548,2.9393457357819255,856.0,193,67,1472,514,232,85,490,168,64,22
period_2019_2022,Atlanta,wind_only_vs_reference,2.1388249532888897,True,1.85097477196481,2.4071060097035364,5000,0,5000,conditional_diagnostic,0.14935741491422408,1.6635030000283915,2.614146906549388,delete_year_jackknife_diagnostic_t_df_3,2451,856,3,574,193,67,17,89,4,4,15,15,231.57580192752548,2.9393457357819255,856.0,193,67,1472,514,232,85,490,168,64,22
period_2019_2022,Atlanta,other_compound_vs_reference,1.6326430358926336,True,0.012591617493020318,3.1992101201571987,5000,0,5000,conditional_diagnostic,0.633380842391921,-0.383057485815018,3.648343557600285,delete_year_jackknife_diagnostic_t_df_3,2451,856,3,574,193,67,17,89,4,4,15,15,231.57580192752548,2.9393457357819255,856.0,193,67,1472,514,232,85,490,168,64,22
period_2019_2022,Atlanta,episode_vs_wind_only,0.4764069561792681,True,0.08363901058895618,0.8711797191554331,5000,0,5000,conditional_diagnostic,0.265687062377691,-0.36912785384629665,1.3219417662048327,delete_year_jackknife_diagnostic_t_df_3,2451,856,3,574,193,67,17,89,4,4,15,15,231.57580192752548,2.9393457357819255,856.0,193,67,1472,514,232,85,490,168,64,22
period_2019_2022,Atlanta,episode_vs_heat_only,2.3884829390805793,True,1.9622207655902826,2.7990609280957335,5000,0,5000,conditional_diagnostic,0.2012880140250751,1.747894642548584,3.029071235612575,delete_year_jackknife_diagnostic_t_df_3,2451,856,3,574,193,67,17,89,4,4,15,15,231.57580192752548,2.9393457357819255,856.0,193,67,1472,514,232,85,490,168,64,22
period_2019_2022,Chicago,episode_vs_reference,3.732192072387474,True,2.7638852005541956,5.387162200530522,5000,0,5000,conditional_diagnostic,0.27656535896728557,2.852037667572574,4.612346477202374,delete_year_jackknife_diagnostic_t_df_3,3149,856,4,742,62,19,8,63,4,4,15,15,147.80683359735556,3.8230215134864096,856.0,62,19,1814,486,405,113,706,194,162,44
period_2019_2022,Chicago,heat_only_vs_reference,0.7274137440031745,True,-0.11559414937687817,1.6246019333747608,5000,0,5000,conditional_diagnostic,0.6754028282342721,-1.4220194912891513,2.8768469792955003,delete_year_jackknife_diagnostic_t_df_3,3149,856,4,742,62,19,8,63,4,4,15,15,147.80683359735556,3.8230215134864096,856.0,62,19,1814,486,405,113,706,194,162,44
period_2019_2022,Chicago,wind_only_vs_reference,4.601424662710649,True,3.7075915897281773,5.395075570739779,5000,0,5000,conditional_diagnostic,0.5036838473344979,2.998477863729893,6.204371461691405,delete_year_jackknife_diagnostic_t_df_3,3149,856,4,742,62,19,8,63,4,4,15,15,147.80683359735556,3.8230215134864096,856.0,62,19,1814,486,405,113,706,194,162,44
period_2019_2022,Chicago,other_compound_vs_reference,4.666027449095301,True,4.130062216936761,4.837597802021725,5000,0,5000,conditional_diagnostic,0.2409497809361704,3.899217708996067,5.432837189194535,delete_year_jackknife_diagnostic_t_df_3,3149,856,4,742,62,19,8,63,4,4,15,15,147.80683359735556,3.8230215134864096,856.0,62,19,1814,486,405,113,706,194,162,44
period_2019_2022,Chicago,episode_vs_wind_only,-0.8692325903231746,True,-2.0314985386838877,0.16945100085432951,5000,0,5000,conditional_diagnostic,0.5361057700972751,-2.5753604176105247,0.8368952369641756,delete_year_jackknife_diagnostic_t_df_3,3149,856,4,742,62,19,8,63,4,4,15,15,147.80683359735556,3.8230215134864096,856.0,62,19,1814,486,405,113,706,194,162,44
period_2019_2022,Chicago,episode_vs_heat_only,3.0047783283842997,True,1.4357813966526742,4.851163378077273,5000,0,5000,conditional_diagnostic,0.7942519863007452,0.4771140291172471,5.532442627651353,delete_year_jackknife_diagnostic_t_df_3,3149,856,4,742,62,19,8,63,4,4,15,15,147.80683359735556,3.8230215134864096,856.0,62,19,1814,486,405,113,706,194,162,44
period_2019_2022,Dallas,episode_vs_reference,3.1913907843558897,True,1.9613733483610096,4.351504358200746,4981,19,5000,conditional_diagnostic,0.7460603089712425,0.8170939105515376,5.5656876581602415,delete_year_jackknife_diagnostic_t_df_3,2997,856,4,735,97,28,9,56,4,4,15,15,168.13724224635283,2.436793587945694,856.0,97,28,1756,479,358,120,691,201,95,28
period_2019_2022,Dallas,heat_only_vs_reference,-0.4853430343467471,True,-1.6744825547515307,0.8473501941597665,5000,0,5000,conditional_diagnostic,0.7061828336236351,-2.732731984067064,1.76204591537357,delete_year_jackknife_diagnostic_t_df_3,2997,856,4,735,97,28,9,56,4,4,15,15,168.13724224635283,2.436793587945694,856.0,97,28,1756,479,358,120,691,201,95,28
period_2019_2022,Dallas,wind_only_vs_reference,3.163151616949288,True,2.8972089614781655,3.721389880370687,5000,0,5000,conditional_diagnostic,0.20836894017657123,2.500028653148477,3.8262745807500993,delete_year_jackknife_diagnostic_t_df_3,2997,856,4,735,97,28,9,56,4,4,15,15,168.13724224635283,2.436793587945694,856.0,97,28,1756,479,358,120,691,201,95,28
period_2019_2022,Dallas,other_compound_vs_reference,2.090804026657922,True,1.8232801504639573,2.691317428284587,5000,0,5000,conditional_diagnostic,0.1662412670847939,1.5617501204382376,2.6198579328776064,delete_year_jackknife_diagnostic_t_df_3,2997,856,4,735,97,28,9,56,4,4,15,15,168.13724224635283,2.436793587945694,856.0,97,28,1756,479,358,120,691,201,95,28
period_2019_2022,Dallas,episode_vs_wind_only,0.028239167406601595,True,-1.114116821551363,0.9614777875302267,4981,19,5000,conditional_diagnostic,0.7333903512358014,-2.3057362462144955,2.3622145810276987,delete_year_jackknife_diagnostic_t_df_3,2997,856,4,735,97,28,9,56,4,4,15,15,168.13724224635283,2.436793587945694,856.0,97,28,1756,479,358,120,691,201,95,28
period_2019_2022,Dallas,episode_vs_heat_only,3.676733818702637,True,3.0276280396917787,4.104559966359453,4981,19,5000,conditional_diagnostic,0.31665132443023564,2.6690079812064407,4.6844596561988325,delete_year_jackknife_diagnostic_t_df_3,2997,856,4,735,97,28,9,56,4,4,15,15,168.13724224635283,2.436793587945694,856.0,97,28,1756,479,358,120,691,201,95,28
period_2019_2022,Denver,episode_vs_reference,1.9295950346568826,True,-0.31064513714381004,6.418662409878067,4979,21,5000,conditional_diagnostic,2.104788729610133,-4.768782081293674,8.62797215060744,delete_year_jackknife_diagnostic_t_df_3,3989,856,5,973,28,6,3,30,4,4,15,15,223.2070556578042,3.484445435052148,856.0000000000001,28,6,2118,452,664,146,1069,228,110,24
period_2019_2022,Denver,heat_only_vs_reference,0.37802169923494505,True,-0.3311761435061147,1.382019369432357,5000,0,5000,conditional_diagnostic,0.5048055869368391,-1.228494975798772,1.984538374268662,delete_year_jackknife_diagnostic_t_df_3,3989,856,5,973,28,6,3,30,4,4,15,15,223.2070556578042,3.484445435052148,856.0000000000001,28,6,2118,452,664,146,1069,228,110,24
