model,city,year,episode_id,observed_station_days,selected_station_days,observed_city_days,selected_city_days,any_selected_site_day,every_observed_site_day_selected,every_observed_city_day_has_a_selected_site
period_2019_2022,Atlanta,2019,atlanta_2019-07-05,2,2,2,2,True,True,True
period_2019_2022,Atlanta,2019,atlanta_2019-07-14,4,4,2,2,True,True,True
period_2019_2022,Atlanta,2019,atlanta_2019-07-27,18,17,6,6,True,False,True
period_2019_2022,Atlanta,2019,atlanta_2019-08-10,15,15,5,5,True,True,True
period_2019_2022,Atlanta,2019,atlanta_2019-08-17,9,9,3,3,True,True,True
period_2019_2022,Atlanta,2019,atlanta_2019-09-08,15,15,5,5,True,True,True
period_2019_2022,Atlanta,2019,atlanta_2019-09-16,6,6,2,2,True,True,True
period_2019_2022,Atlanta,2019,atlanta_2019-09-29,15,15,5,5,True,True,True
period_2019_2022,Atlanta,2020,atlanta_2020-07-14,30,30,10,10,True,True,True
period_2019_2022,Atlanta,2020,atlanta_2020-07-26,6,6,2,2,True,True,True
period_2019_2022,Atlanta,2020,atlanta_2020-08-05,15,15,5,5,True,True,True
period_2019_2022,Atlanta,2020,atlanta_2020-08-12,6,6,2,2,True,True,True
period_2019_2022,Atlanta,2021,atlanta_2021-07-26,12,12,4,4,True,True,True
period_2019_2022,Atlanta,2021,atlanta_2021-08-09,6,6,2,2,True,True,True
period_2019_2022,Atlanta,2021,atlanta_2021-08-23,9,9,3,3,True,True,True
period_2019_2022,Atlanta,2022,atlanta_2022-07-02,20,20,7,7,True,True,True
period_2019_2022,Atlanta,2022,atlanta_2022-07-23,6,6,2,2,True,True,True
period_2019_2022,Chicago,2019,chicago_2019-07-01,6,6,2,2,True,True,True
period_2019_2022,Chicago,2020,chicago_2020-06-29,8,8,2,2,True,True,True
period_2019_2022,Chicago,2020,chicago_2020-08-14,6,6,2,2,True,True,True
period_2019_2022,Chicago,2021,chicago_2021-06-11,8,8,2,2,True,True,True
period_2019_2022,Chicago,2021,chicago_2021-07-25,13,13,4,4,True,True,True
period_2019_2022,Chicago,2021,chicago_2021-08-18,9,9,3,3,True,True,True
period_2019_2022,Chicago,2021,chicago_2021-08-25,6,6,2,2,True,True,True
period_2019_2022,Chicago,2022,chicago_2022-08-23,6,6,2,2,True,True,True
period_2019_2022,Dallas,2019,dallas_2019-07-31,8,8,2,2,True,True,True
period_2019_2022,Dallas,2019,dallas_2019-09-02,18,18,5,5,True,True,True
period_2019_2022,Dallas,2019,dallas_2019-09-13,16,16,4,4,True,True,True
period_2019_2022,Dallas,2021,dallas_2021-06-13,8,8,2,2,True,True,True
period_2019_2022,Dallas,2021,dallas_2021-07-26,20,20,6,6,True,True,True
period_2019_2022,Dallas,2021,dallas_2021-08-25,7,6,2,2,True,False,True
period_2019_2022,Dallas,2022,dallas_2022-06-17,8,8,2,2,True,True,True
period_2019_2022,Dallas,2022,dallas_2022-08-10,4,4,2,2,True,True,True
period_2019_2022,Dallas,2022,dallas_2022-09-20,9,9,3,3,True,True,True
period_2019_2022,Denver,2019,denver_2019-08-18,10,10,2,2,True,True,True
period_2019_2022,Denver,2021,denver_2021-08-23,10,10,2,2,True,True,True
period_2019_2022,Denver,2022,denver_2022-08-08,8,8,2,2,True,True,True
period_2019_2022,Houston,2019,houston_2019-07-06,18,18,2,2,True,True,True
period_2019_2022,Houston,2019,houston_2019-08-02,18,18,2,2,True,True,True
period_2019_2022,Houston,2019,houston_2019-08-14,22,22,3,3,True,True,True
period_2019_2022,Houston,2019,houston_2019-09-01,16,16,2,2,True,True,True
period_2019_2022,Houston,2020,houston_2020-08-03,23,22,3,3,True,False,True
period_2019_2022,Houston,2020,houston_2020-08-20,18,18,2,2,True,True,True
period_2019_2022,Houston,2021,houston_2021-06-12,48,48,5,5,True,True,True
period_2019_2022,Houston,2021,houston_2021-07-25,17,17,2,2,True,True,True
period_2019_2022,Houston,2021,houston_2021-08-23,17,17,2,2,True,True,True
period_2019_2022,Houston,2022,houston_2022-06-18,30,30,3,3,True,True,True
period_2019_2022,Houston,2022,houston_2022-06-26,20,20,2,2,True,True,True
period_2019_2022,Houston,2022,houston_2022-08-10,18,18,2,2,True,True,True
period_2019_2022,Houston,2022,houston_2022-09-22,18,18,2,2,True,True,True
period_2019_2022,Los Angeles,2019,los_angeles_2019-06-09,14,14,2,2,True,True,True
period_2019_2022,Los Angeles,2019,los_angeles_2019-08-25,14,14,2,2,True,True,True
period_2019_2022,Los Angeles,2019,los_angeles_2019-09-12,21,21,3,3,True,True,True
period_2019_2022,Los Angeles,2020,los_angeles_2020-07-30,24,24,3,3,True,True,True
period_2019_2022,Los Angeles,2020,los_angeles_2020-08-12,23,23,3,3,True,True,True
period_2019_2022,Los Angeles,2020,los_angeles_2020-08-26,24,24,3,3,True,True,True
period_2019_2022,Los Angeles,2020,los_angeles_2020-09-04,16,16,2,2,True,True,True
period_2019_2022,Los Angeles,2020,los_angeles_2020-09-14,47,47,6,6,True,True,True
period_2019_2022,Los Angeles,2020,los_angeles_2020-09-28,16,16,2,2,True,True,True
period_2019_2022,Los Angeles,2020,los_angeles_2020-10-12,40,40,5,5,True,True,True
period_2019_2022,Los Angeles,2021,los_angeles_2021-08-26,31,31,4,4,True,True,True
period_2019_2022,Los Angeles,2021,los_angeles_2021-09-09,39,39,5,5,True,True,True
period_2019_2022,Los Angeles,2022,los_angeles_2022-05-13,14,14,2,2,True,True,True
period_2019_2022,Los Angeles,2022,los_angeles_2022-08-13,28,28,4,4,True,True,True
period_2019_2022,Los Angeles,2022,los_angeles_2022-09-05,21,21,3,3,True,True,True
period_2019_2022,Los Angeles,2022,los_angeles_2022-09-23,42,42,6,6,True,True,True
period_2019_2022,New York,2019,new_york_2019-06-26,26,26,3,3,True,True,True
period_2019_2022,New York,2019,new_york_2019-07-03,17,17,2,2,True,True,True
period_2019_2022,New York,2019,new_york_2019-07-15,18,18,2,2,True,True,True
period_2019_2022,New York,2019,new_york_2019-07-26,18,18,2,2,True,True,True
period_2019_2022,New York,2019,new_york_2019-08-03,18,18,2,2,True,True,True
period_2019_2022,New York,2019,new_york_2019-08-18,26,26,3,3,True,True,True
