model,city,contrast,estimate_ppb,ci_lower,ci_upper,ci_status,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,valid_bootstrap,n_station_days,n_city_days,n_stations,n_strata,n_episode_days,n_episodes,n_years,rank,parameters,condition_number,weighted_rmse,days_episode,days_heat_only,days_wind_only,days_other_compound
period_2023_2024,Atlanta,episode_vs_reference,2.2006426561425565,,,unavailable: fewer than three years or nonidentifiable deletion,1.2639923792255812,2.91311928209352,conditional_on_estimability,5000,1250,428,3,294,32,10,2,15,15,272.03024144647134,2.948564662041472,32,51,70,12
period_2023_2024,Atlanta,heat_only_vs_reference,-0.3203026054084829,,,unavailable: fewer than three years or nonidentifiable deletion,-0.6204870658521645,-0.3203026054084829,conditional_on_estimability,5000,1250,428,3,294,32,10,2,15,15,272.03024144647134,2.948564662041472,32,51,70,12
period_2023_2024,Atlanta,wind_only_vs_reference,1.333760609359735,,,unavailable: fewer than three years or nonidentifiable deletion,0.8530323201674164,1.5141158511053576,conditional_on_estimability,5000,1250,428,3,294,32,10,2,15,15,272.03024144647134,2.948564662041472,32,51,70,12
period_2023_2024,Atlanta,other_compound_vs_reference,0.4992080626743981,,,unavailable: fewer than three years or nonidentifiable deletion,-1.1694499851196323,4.944497718633459,conditional_on_estimability,5000,1250,428,3,294,32,10,2,15,15,272.03024144647134,2.948564662041472,32,51,70,12
period_2023_2024,Atlanta,episode_vs_heat_only,2.5209452615510393,,,unavailable: fewer than three years or nonidentifiable deletion,1.8844794450777456,3.3162435779127653,conditional_on_estimability,5000,1250,428,3,294,32,10,2,15,15,272.03024144647134,2.948564662041472,32,51,70,12
period_2023_2024,Atlanta,episode_vs_wind_only,0.8668820467828215,,,unavailable: fewer than three years or nonidentifiable deletion,0.4109600590581648,1.3990034309881625,conditional_on_estimability,5000,1250,428,3,294,32,10,2,15,15,272.03024144647134,2.948564662041472,32,51,70,12
period_2023_2024,Chicago,episode_vs_reference,6.1558274737236065,,,unavailable: fewer than three years or nonidentifiable deletion,5.534099287066001,8.099305783098526,conditional_on_estimability,5000,1495,428,4,366,14,6,2,15,15,216.50032454247614,3.783696395824294,14,45,99,21
period_2023_2024,Chicago,heat_only_vs_reference,-0.10479901637816713,,,unavailable: fewer than three years or nonidentifiable deletion,-0.7088695863088001,0.23602811561513803,conditional_on_estimability,5000,1495,428,4,366,14,6,2,15,15,216.50032454247614,3.783696395824294,14,45,99,21
period_2023_2024,Chicago,wind_only_vs_reference,4.118019432368855,,,unavailable: fewer than three years or nonidentifiable deletion,3.969183396963386,4.118019432368855,conditional_on_estimability,5000,1495,428,4,366,14,6,2,15,15,216.50032454247614,3.783696395824294,14,45,99,21
period_2023_2024,Chicago,other_compound_vs_reference,4.501637904042093,,,unavailable: fewer than three years or nonidentifiable deletion,4.3355557972080865,4.9023514176443515,conditional_on_estimability,5000,1495,428,4,366,14,6,2,15,15,216.50032454247614,3.783696395824294,14,45,99,21
period_2023_2024,Chicago,episode_vs_heat_only,6.260626490101774,,,unavailable: fewer than three years or nonidentifiable deletion,5.298071171450863,8.808175369407326,conditional_on_estimability,5000,1495,428,4,366,14,6,2,15,15,216.50032454247614,3.783696395824294,14,45,99,21
period_2023_2024,Chicago,episode_vs_wind_only,2.0378080413547517,,,unavailable: fewer than three years or nonidentifiable deletion,1.5649158901026148,4.081996425797682,conditional_on_estimability,5000,1495,428,4,366,14,6,2,15,15,216.50032454247614,3.783696395824294,14,45,99,21
period_2023_2024,Dallas,episode_vs_reference,0.3910632433277277,,,unavailable: fewer than three years or nonidentifiable deletion,-0.9977596540516879,0.3938148225059913,conditional_on_estimability,5000,1522,428,4,374,16,4,2,15,15,177.72750639676485,2.618457521485319,16,99,96,12
period_2023_2024,Dallas,heat_only_vs_reference,-2.2336807368621763,,,unavailable: fewer than three years or nonidentifiable deletion,-2.4146613526122085,-1.9956211383985907,conditional_on_estimability,5000,1522,428,4,374,16,4,2,15,15,177.72750639676485,2.618457521485319,16,99,96,12
period_2023_2024,Dallas,wind_only_vs_reference,2.730681568902626,,,unavailable: fewer than three years or nonidentifiable deletion,2.11323970902987,3.338331075237422,conditional_on_estimability,5000,1522,428,4,374,16,4,2,15,15,177.72750639676485,2.618457521485319,16,99,96,12
period_2023_2024,Dallas,other_compound_vs_reference,-0.6067051661104582,,,unavailable: fewer than three years or nonidentifiable deletion,-0.6067051661104582,-0.3294006015103699,conditional_on_estimability,5000,1522,428,4,374,16,4,2,15,15,177.72750639676485,2.618457521485319,16,99,96,12
period_2023_2024,Dallas,episode_vs_heat_only,2.624743980189904,,,unavailable: fewer than three years or nonidentifiable deletion,1.4169016985605207,2.624743980189904,conditional_on_estimability,5000,1522,428,4,374,16,4,2,15,15,177.72750639676485,2.618457521485319,16,99,96,12
period_2023_2024,Dallas,episode_vs_wind_only,-2.3396183255748983,,,unavailable: fewer than three years or nonidentifiable deletion,-4.3360907292891095,-1.7194248865238788,conditional_on_estimability,5000,1522,428,4,374,16,4,2,15,15,177.72750639676485,2.618457521485319,16,99,96,12
period_2023_2024,Denver,episode_vs_reference,4.349754890538566,,,unavailable: fewer than three years or nonidentifiable deletion,4.349754890538566,4.358132898400874,conditional_on_estimability,3773,2051,428,5,488,2,1,2,15,15,304.45922537201886,2.9831167222889863,2,74,124,12
period_2023_2024,Denver,heat_only_vs_reference,0.7034491133688947,,,unavailable: fewer than three years or nonidentifiable deletion,-0.38691641766602497,1.7637260362125948,conditional_on_estimability,5000,2051,428,5,488,2,1,2,15,15,304.45922537201886,2.9831167222889863,2,74,124,12
period_2023_2024,Denver,wind_only_vs_reference,1.8106416501133942,,,unavailable: fewer than three years or nonidentifiable deletion,1.055776653424231,2.317350447437969,conditional_on_estimability,5000,2051,428,5,488,2,1,2,15,15,304.45922537201886,2.9831167222889863,2,74,124,12
period_2023_2024,Denver,other_compound_vs_reference,1.8275381581844887,,,unavailable: fewer than three years or nonidentifiable deletion,1.640532753844543,3.565288981007999,conditional_on_estimability,5000,2051,428,5,488,2,1,2,15,15,304.45922537201886,2.9831167222889863,2,74,124,12
period_2023_2024,Denver,episode_vs_heat_only,3.6463057771696716,,,unavailable: fewer than three years or nonidentifiable deletion,2.594406862188279,3.6463057771696716,conditional_on_estimability,3773,2051,428,5,488,2,1,2,15,15,304.45922537201886,2.9831167222889863,2,74,124,12
