model,contrast,omitted_city,estimate_ppb,n_target_cities,n_estimable_cities,target
period_2023_2024,episode_vs_reference,Atlanta,2.791910570983976,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,episode_vs_reference,Chicago,2.433790608565514,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,episode_vs_reference,Dallas,2.9478602426166125,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,episode_vs_reference,Denver,2.9365081434071447,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,episode_vs_reference,Houston,2.868355297243616,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,episode_vs_reference,Los Angeles,2.6646741462687067,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,episode_vs_reference,New York,2.506684511892471,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,episode_vs_reference,Philadelphia,2.823013512148191,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,episode_vs_reference,Phoenix,2.8350615516660063,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,episode_vs_reference,San Diego,2.8484693427440044,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,episode_vs_reference,Seattle,2.4699564516442485,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,heat_only_vs_reference,Atlanta,0.2602160818664115,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,heat_only_vs_reference,Chicago,0.23354796243961032,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,heat_only_vs_reference,Dallas,0.4576021291691192,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,heat_only_vs_reference,Denver,0.16093033838213383,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,heat_only_vs_reference,Houston,0.5284965758437796,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,heat_only_vs_reference,Los Angeles,0.20771192884760864,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,heat_only_vs_reference,New York,0.1491398548585221,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,heat_only_vs_reference,Philadelphia,0.14371042353553687,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,heat_only_vs_reference,Phoenix,0.2586902243859183,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,heat_only_vs_reference,San Diego,0.20958682220208683,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,heat_only_vs_reference,Seattle,-0.3223459949630708,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,wind_only_vs_reference,Atlanta,2.853969422512268,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,wind_only_vs_reference,Chicago,2.5953028036423462,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,wind_only_vs_reference,Dallas,2.6919369636435464,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,wind_only_vs_reference,Denver,2.8272768575473424,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,wind_only_vs_reference,Houston,2.5594254248497608,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,wind_only_vs_reference,Los Angeles,2.7553441385883475,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,wind_only_vs_reference,New York,2.5452515766707675,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,wind_only_vs_reference,Philadelphia,2.7559189839317026,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,wind_only_vs_reference,Phoenix,2.682536429293285,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,wind_only_vs_reference,San Diego,2.848558353911317,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,wind_only_vs_reference,Seattle,2.6409041405375677,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,other_compound_vs_reference,Atlanta,2.393321393334886,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,other_compound_vs_reference,Chicago,1.9749669345538827,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,other_compound_vs_reference,Dallas,2.484257431678828,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
period_2023_2024,other_compound_vs_reference,Denver,2.2487348246633814,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
