model,omitted_year,contrast,estimate_ppb,n_cities,n_estimable_cities,missing_cities
period_2023_2024,2023,episode_vs_reference,2.9073378652658515,11,11,
period_2023_2024,2023,heat_only_vs_reference,0.3641950553150641,11,11,
period_2023_2024,2023,wind_only_vs_reference,2.7686154775850045,11,11,
period_2023_2024,2023,other_compound_vs_reference,2.8177314293512596,11,11,
period_2023_2024,2023,episode_vs_wind_only,0.13872238768084708,11,11,
period_2023_2024,2023,episode_vs_heat_only,2.5431428099507873,11,11,
period_2023_2024,2024,episode_vs_reference,,11,10,Denver
period_2023_2024,2024,heat_only_vs_reference,0.22537931053076027,11,11,
period_2023_2024,2024,wind_only_vs_reference,2.6255507525228143,11,11,
period_2023_2024,2024,other_compound_vs_reference,2.108736214984298,11,11,
period_2023_2024,2024,episode_vs_wind_only,,11,10,Denver
period_2023_2024,2024,episode_vs_heat_only,,11,10,Denver
