model,city,contrast,estimate_ppb,estimable,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_valid,bootstrap_failed,bootstrap_attempted,bootstrap_status,jackknife_se,jackknife_lower,jackknife_upper,jackknife_status,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound,both_present_strata
persistent_wind_comparator,Atlanta,episode_vs_persistent_wind_only,1.1130815084840568,True,-2.2127859641942393,3.541108436955936,4949,51,5000,conditional_diagnostic,1.4834059247562374,-2.7001348165696166,4.92629783353773,delete_year_jackknife_diagnostic_t_df_5,181,62,3,70,94,32,11,32,6,6,12,12,4723.381356593765,1.8196559945086415,62.00000000000001,94,32,0,0,0,0,87,30,0,0,70
persistent_wind_comparator,Chicago,episode_vs_persistent_wind_only,3.1043800125408865,True,-3.022634842908019,32.93399417018736,1847,3153,5000,conditional_diagnostic,,,,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,90,29,4,42,46,15,10,15,4,6,12,12,8939.798501444597,2.8827661663110633,29.0,46,15,0,0,0,0,44,14,0,0,42
persistent_wind_comparator,Dallas,episode_vs_persistent_wind_only,-0.9955054800646854,True,-2.5849557437442705,1.5583245823152367,4127,873,5000,conditional_diagnostic,1.597922923585526,-5.103097122180513,3.112086162051142,delete_year_jackknife_diagnostic_t_df_5,137,48,4,55,55,19,8,19,4,6,12,12,2050.4697306493076,1.855792767700275,48.0,55,19,0,0,0,0,82,29,0,0,55
persistent_wind_comparator,Denver,episode_vs_persistent_wind_only,,False,,,0,5000,5000,conditional_diagnostic,,,,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,52,12,5,22,22,5,3,5,3,6,7,12,2.0664372723474253e+17,1.1049577666355486,12.0,22,5,0,0,0,0,30,7,0,0,22
persistent_wind_comparator,Houston,episode_vs_persistent_wind_only,-1.1920032897483372,True,-3.5687433762038143,0.3356026627856128,4874,126,5000,conditional_diagnostic,1.7872162195743309,-5.786188840140715,3.4021822606440413,delete_year_jackknife_diagnostic_t_df_5,656,82,10,240,326,40,14,40,5,6,12,12,4868.036389508772,2.2928269450666763,82.0,326,40,0,0,0,0,330,42,0,0,240
persistent_wind_comparator,Los Angeles,episode_vs_persistent_wind_only,-1.859409506870275,True,-3.3606903420342107,2.023678495704303,4984,16,5000,conditional_diagnostic,2.812351923017671,-9.08879027559636,5.369971261855809,delete_year_jackknife_diagnostic_t_df_5,775,109,8,276,322,45,16,45,6,6,12,12,13459651.544445105,3.6508832904401465,108.99999999999997,322,45,0,0,0,0,453,64,0,0,276
persistent_wind_comparator,New York,episode_vs_persistent_wind_only,1.7111416490899298,True,-4.603318941969206,100.66333089466207,3926,1074,5000,conditional_diagnostic,5.551915545307831,-12.560511604665265,15.982794902845125,delete_year_jackknife_diagnostic_t_df_5,333,41,9,155,164,20,10,20,6,6,12,12,24033.986844391187,2.4191643418605246,41.0,164,20,0,0,0,0,169,21,0,0,155
persistent_wind_comparator,Philadelphia,episode_vs_persistent_wind_only,-1.3646304605069544,True,-8.770185721779171,3.6348246480985758,4009,991,5000,conditional_diagnostic,2.1524181891978684,-6.897597560352203,4.168336639338294,delete_year_jackknife_diagnostic_t_df_5,193,44,5,85,85,19,8,19,6,6,12,12,6029.216429033956,1.6087099932534807,44.0,85,19,0,0,0,0,108,25,0,0,85
persistent_wind_comparator,Phoenix,episode_vs_persistent_wind_only,63.56700048351195,True,57.49756367193186,63.94244124396937,3324,1676,5000,conditional_diagnostic,,,,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,97,20,5,34,44,9,5,9,2,6,12,12,48615455.354937226,1.4683064830055788,20.0,44,9,0,0,0,0,53,11,0,0,34
persistent_wind_comparator,San Diego,episode_vs_persistent_wind_only,0.6857195927827799,True,-0.5916386954686463,2.0510056740270954,4996,4,5000,conditional_diagnostic,0.9999429209210768,-1.88471551641006,3.25615470197562,delete_year_jackknife_diagnostic_t_df_5,377,97,5,146,154,40,17,40,6,6,11,12,3.1929152841012454e+18,1.9155995912045758,97.0,154,40,0,0,0,0,223,57,0,0,146
persistent_wind_comparator,Seattle,episode_vs_persistent_wind_only,,False,,,0,5000,5000,conditional_diagnostic,,,,unavailable_fewer_than_3_blocks_or_nonidentifiable_deletion,32,16,2,14,14,7,5,7,4,6,9,12,1.0597651236654196e+18,0.7651752740163847,16.0,14,7,0,0,0,0,18,9,0,0,14
