model,contrast,city,estimate_ppb,estimable,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound,both_present_strata
persistent_wind_comparator,episode_vs_persistent_wind_only,Atlanta,1.1130815084840568,True,181,62,3,70,94,32,11,32,6,6,12,12,4723.381356593765,1.8196559945086415,62.00000000000001,94,32,0,0,0,0,87,30,0,0,70
persistent_wind_comparator,episode_vs_persistent_wind_only,Chicago,3.1043800125408865,True,90,29,4,42,46,15,10,15,4,6,12,12,8939.798501444597,2.8827661663110633,29.0,46,15,0,0,0,0,44,14,0,0,42
persistent_wind_comparator,episode_vs_persistent_wind_only,Dallas,-0.9955054800646854,True,137,48,4,55,55,19,8,19,4,6,12,12,2050.4697306493076,1.855792767700275,48.0,55,19,0,0,0,0,82,29,0,0,55
persistent_wind_comparator,episode_vs_persistent_wind_only,Denver,,False,52,12,5,22,22,5,3,5,3,6,7,12,2.0664372723474253e+17,1.1049577666355486,12.0,22,5,0,0,0,0,30,7,0,0,22
persistent_wind_comparator,episode_vs_persistent_wind_only,Houston,-1.1920032897483372,True,656,82,10,240,326,40,14,40,5,6,12,12,4868.036389508772,2.2928269450666763,82.0,326,40,0,0,0,0,330,42,0,0,240
persistent_wind_comparator,episode_vs_persistent_wind_only,Los Angeles,-1.859409506870275,True,775,109,8,276,322,45,16,45,6,6,12,12,13459651.544445105,3.6508832904401465,108.99999999999997,322,45,0,0,0,0,453,64,0,0,276
persistent_wind_comparator,episode_vs_persistent_wind_only,New York,1.7111416490899298,True,333,41,9,155,164,20,10,20,6,6,12,12,24033.986844391187,2.4191643418605246,41.0,164,20,0,0,0,0,169,21,0,0,155
persistent_wind_comparator,episode_vs_persistent_wind_only,Philadelphia,-1.3646304605069544,True,193,44,5,85,85,19,8,19,6,6,12,12,6029.216429033956,1.6087099932534807,44.0,85,19,0,0,0,0,108,25,0,0,85
persistent_wind_comparator,episode_vs_persistent_wind_only,Phoenix,63.56700048351195,True,97,20,5,34,44,9,5,9,2,6,12,12,48615455.354937226,1.4683064830055788,20.0,44,9,0,0,0,0,53,11,0,0,34
persistent_wind_comparator,episode_vs_persistent_wind_only,San Diego,0.6857195927827799,True,377,97,5,146,154,40,17,40,6,6,11,12,3.1929152841012454e+18,1.9155995912045758,97.0,154,40,0,0,0,0,223,57,0,0,146
persistent_wind_comparator,episode_vs_persistent_wind_only,Seattle,,False,32,16,2,14,14,7,5,7,4,6,9,12,1.0597651236654196e+18,0.7651752740163847,16.0,14,7,0,0,0,0,18,9,0,0,14
