model,city,input_station_days,input_city_days,input_episode_station_days,input_episode_city_days,input_observed_events,comparator,persistent_only,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound,both_present_strata
persistent_wind_comparator,Atlanta,3704,1284,289,99,27,wind_only,True,181,62,3,70,94,32,11,32,6,6,12,12,4723.381356593765,1.8196559945086415,62.00000000000001,94,32,0,0,0,0,87,30,0,0,70
persistent_wind_comparator,Chicago,4663,1284,110,33,14,wind_only,True,90,29,4,42,46,15,10,15,4,6,12,12,8939.798501444597,2.8827661663110633,29.0,46,15,0,0,0,0,44,14,0,0,42
persistent_wind_comparator,Dallas,4551,1284,157,46,14,wind_only,True,137,48,4,55,55,19,8,19,4,6,12,12,2050.4697306493076,1.855792767700275,48.0,55,19,0,0,0,0,82,29,0,0,55
persistent_wind_comparator,Denver,6049,1284,37,8,4,wind_only,True,52,12,5,22,22,5,3,5,3,6,7,12,2.0664372723474253e+17,1.1049577666355486,12.0,22,5,0,0,0,0,30,7,0,0,22
persistent_wind_comparator,Houston,11010,1284,650,76,22,wind_only,True,656,82,10,240,326,40,14,40,5,6,12,12,4868.036389508772,2.2928269450666763,82.0,326,40,0,0,0,0,330,42,0,0,240
persistent_wind_comparator,Los Angeles,9254,1284,556,76,24,wind_only,True,775,109,8,276,322,45,16,45,6,6,12,12,13459651.544445105,3.6508832904401465,108.99999999999997,322,45,0,0,0,0,453,64,0,0,276
persistent_wind_comparator,New York,10749,1284,468,56,21,wind_only,True,333,41,9,155,164,20,10,20,6,6,12,12,24033.986844391187,2.4191643418605246,41.0,164,20,0,0,0,0,169,21,0,0,155
persistent_wind_comparator,Philadelphia,5982,1284,146,33,13,wind_only,True,193,44,5,85,85,19,8,19,6,6,12,12,6029.216429033956,1.6087099932534807,44.0,85,19,0,0,0,0,108,25,0,0,85
persistent_wind_comparator,Phoenix,5991,1284,72,16,8,wind_only,True,97,20,5,34,44,9,5,9,2,6,12,12,48615455.354937226,1.4683064830055788,20.0,44,9,0,0,0,0,53,11,0,0,34
persistent_wind_comparator,San Diego,5057,1284,291,72,26,wind_only,True,377,97,5,146,154,40,17,40,6,6,11,12,3.1929152841012454e+18,1.9155995912045758,97.0,154,40,0,0,0,0,223,57,0,0,146
persistent_wind_comparator,Seattle,2448,1282,79,40,16,wind_only,True,32,16,2,14,14,7,5,7,4,6,9,12,1.0597651236654196e+18,0.7651752740163847,16.0,14,7,0,0,0,0,18,9,0,0,14
