model,city,contrast,estimate_ppb,ci_lower,ci_upper,ci_status,bootstrap_conditional_lower,bootstrap_conditional_upper,bootstrap_status,valid_bootstrap,n_station_days,n_city_days,n_stations,n_strata,n_episode_days,n_episodes,n_years,rank,parameters,condition_number,weighted_rmse,days_episode,days_pre1_6,days_post1_2,days_post3_6,days_other_compound
phase_adjusted,Atlanta,episode_vs_reference,2.244671471944632,1.3202937169959128,3.1690492268933514,approximate_delete_one_year_jackknife_t,1.5565041880014832,2.8235060638739484,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,16,16,274.2305460546925,3.006876281994001,99,98,50,82,36
phase_adjusted,Atlanta,pre1_6_vs_reference,0.578398085154419,-0.017288630740560085,1.174084801049398,approximate_delete_one_year_jackknife_t,0.16610601125910707,1.2605249828080518,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,16,16,274.2305460546925,3.006876281994001,99,98,50,82,36
phase_adjusted,Atlanta,post1_2_vs_reference,0.21619784549853294,-0.6771378006567481,1.109533491653814,approximate_delete_one_year_jackknife_t,-0.38757177620906463,1.0680502113919415,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,16,16,274.2305460546925,3.006876281994001,99,98,50,82,36
phase_adjusted,Atlanta,post3_6_vs_reference,0.4106923561665563,-0.05298305843216161,0.8743677707652742,approximate_delete_one_year_jackknife_t,-0.04323133966849424,0.9039069753165316,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,16,16,274.2305460546925,3.006876281994001,99,98,50,82,36
phase_adjusted,Atlanta,other_compound_vs_reference,0.9852669573285819,-0.6507421289799677,2.6212760436371316,approximate_delete_one_year_jackknife_t,-0.16275618995316776,2.508745299275243,conditional_on_estimability,5000,3701,1284,3,868,99,27,6,16,16,274.2305460546925,3.006876281994001,99,98,50,82,36
phase_adjusted,Chicago,episode_vs_reference,3.1061055361194567,1.495391796640726,4.716819275598187,approximate_delete_one_year_jackknife_t,1.9648330911839127,4.594038018083337,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,16,16,145.23016637301234,4.104456938994005,36,71,26,48,66
phase_adjusted,Chicago,pre1_6_vs_reference,0.23105637406853963,-1.5308285789595995,1.9929413270966787,approximate_delete_one_year_jackknife_t,-0.8780508357205448,1.4880656830037364,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,16,16,145.23016637301234,4.104456938994005,36,71,26,48,66
phase_adjusted,Chicago,post1_2_vs_reference,0.5498795945229116,-1.215631904125689,2.3153910931715123,approximate_delete_one_year_jackknife_t,-0.5175187356761906,1.7802853310795315,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,16,16,145.23016637301234,4.104456938994005,36,71,26,48,66
phase_adjusted,Chicago,post3_6_vs_reference,-1.30849241195353,-3.371025920128707,0.7540410962216468,approximate_delete_one_year_jackknife_t,-2.8130110273631304,0.2113175510150453,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,16,16,145.23016637301234,4.104456938994005,36,71,26,48,66
phase_adjusted,Chicago,other_compound_vs_reference,2.913138343588823,2.0827804764217572,3.743496210755889,approximate_delete_one_year_jackknife_t,2.2799998611197774,3.45402246022377,conditional_on_estimability,5000,4644,1284,4,1108,36,15,6,16,16,145.23016637301234,4.104456938994005,36,71,26,48,66
phase_adjusted,Dallas,episode_vs_reference,2.179632792848411,0.8345572687107292,3.524708316986093,approximate_delete_one_year_jackknife_t,1.273182588879703,3.1517753096254637,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,16,16,147.92165866303398,2.7398250427859305,44,70,25,41,42
phase_adjusted,Dallas,pre1_6_vs_reference,0.27187981463273436,-1.4441526623907608,1.9879122916562295,approximate_delete_one_year_jackknife_t,-0.9335466593391606,1.5187273373873489,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,16,16,147.92165866303398,2.7398250427859305,44,70,25,41,42
phase_adjusted,Dallas,post1_2_vs_reference,0.990791107748676,-0.2754347680217235,2.257016983519075,approximate_delete_one_year_jackknife_t,0.3005077388025261,1.8637153746976503,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,16,16,147.92165866303398,2.7398250427859305,44,70,25,41,42
phase_adjusted,Dallas,post3_6_vs_reference,0.1427428074561482,-0.2006047117211069,0.4860903266334033,approximate_delete_one_year_jackknife_t,-0.38936949769530904,0.7675965508068756,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,16,16,147.92165866303398,2.7398250427859305,44,70,25,41,42
phase_adjusted,Dallas,other_compound_vs_reference,1.4761052313863057,0.7819258005033837,2.1702846622692276,approximate_delete_one_year_jackknife_t,0.9176047761139617,2.020748867383519,conditional_on_estimability,5000,4519,1284,4,1109,44,13,6,16,16,147.92165866303398,2.7398250427859305,44,70,25,41,42
phase_adjusted,Denver,episode_vs_reference,1.450201305392973,-1.2048526068007317,4.105255217586677,approximate_delete_one_year_jackknife_t,-0.6743472012923313,3.3144671210923278,conditional_on_estimability,4993,6040,1284,5,1461,12,6,6,16,16,242.48412704843724,3.390335565356847,12,32,12,22,37
phase_adjusted,Denver,pre1_6_vs_reference,0.3052196673193661,-1.8665829571706865,2.4770222918094187,approximate_delete_one_year_jackknife_t,-0.8219693106030581,1.71076362012446,conditional_on_estimability,4993,6040,1284,5,1461,12,6,6,16,16,242.48412704843724,3.390335565356847,12,32,12,22,37
phase_adjusted,Denver,post1_2_vs_reference,0.10489962448451706,-1.3785931605879822,1.5883924095570163,approximate_delete_one_year_jackknife_t,-0.5228213643044339,1.0763359327566255,conditional_on_estimability,4993,6040,1284,5,1461,12,6,6,16,16,242.48412704843724,3.390335565356847,12,32,12,22,37
phase_adjusted,Denver,post3_6_vs_reference,0.04133457193643597,-1.4955106575089898,1.5781798013818618,approximate_delete_one_year_jackknife_t,-0.7099704509694899,1.4284190200107374,conditional_on_estimability,4993,6040,1284,5,1461,12,6,6,16,16,242.48412704843724,3.390335565356847,12,32,12,22,37
phase_adjusted,Denver,other_compound_vs_reference,0.4584919733588031,-0.5524599180188239,1.46944386473643,approximate_delete_one_year_jackknife_t,-0.36316716779312797,1.273085111104003,conditional_on_estimability,5000,6040,1284,5,1461,12,6,6,16,16,242.48412704843724,3.390335565356847,12,32,12,22,37
phase_adjusted,Houston,episode_vs_reference,1.4927681529043086,-0.06236392474045416,3.0479002305490717,approximate_delete_one_year_jackknife_t,0.3753772531736228,2.7515219309271908,conditional_on_estimability,5000,10963,1284,10,2687,84,22,6,16,16,452.45686763716964,3.4393860663095275,84,107,38,75,40
phase_adjusted,Houston,pre1_6_vs_reference,-0.244826271482748,-1.3894494356196552,0.8997968926541591,approximate_delete_one_year_jackknife_t,-0.8768238548210778,0.6263304256756295,conditional_on_estimability,5000,10963,1284,10,2687,84,22,6,16,16,452.45686763716964,3.4393860663095275,84,107,38,75,40
