model,omitted_year,contrast,estimate_ppb
phase_adjusted,2019,episode_vs_reference,2.270064909924167
phase_adjusted,2019,pre1_6_vs_reference,0.09092916818906066
phase_adjusted,2019,post1_2_vs_reference,0.06404260938983249
phase_adjusted,2019,post3_6_vs_reference,-0.2639992183134081
phase_adjusted,2019,other_compound_vs_reference,1.7149250559332072
phase_adjusted,2020,episode_vs_reference,2.2383621114006544
phase_adjusted,2020,pre1_6_vs_reference,0.13748173375353742
phase_adjusted,2020,post1_2_vs_reference,-0.11920386519457801
phase_adjusted,2020,post3_6_vs_reference,-0.13255372277361774
phase_adjusted,2020,other_compound_vs_reference,1.9124489583849973
phase_adjusted,2021,episode_vs_reference,2.369389831281678
phase_adjusted,2021,pre1_6_vs_reference,0.24555121324148257
phase_adjusted,2021,post1_2_vs_reference,-0.03810295481440538
phase_adjusted,2021,post3_6_vs_reference,-0.06912891180163433
phase_adjusted,2021,other_compound_vs_reference,1.711129725758486
phase_adjusted,2022,episode_vs_reference,2.304306695068584
phase_adjusted,2022,pre1_6_vs_reference,0.2264548927846094
phase_adjusted,2022,post1_2_vs_reference,0.13610073616525642
phase_adjusted,2022,post3_6_vs_reference,-0.23170932670763458
phase_adjusted,2022,other_compound_vs_reference,1.8681710304564447
phase_adjusted,2023,episode_vs_reference,2.2371815632511485
phase_adjusted,2023,pre1_6_vs_reference,0.15782938255209747
phase_adjusted,2023,post1_2_vs_reference,0.0010772632930601065
phase_adjusted,2023,post3_6_vs_reference,-0.13882867743781255
phase_adjusted,2023,other_compound_vs_reference,1.9598642433337419
phase_adjusted,2024,episode_vs_reference,2.338398190367319
phase_adjusted,2024,pre1_6_vs_reference,0.15608037516314632
phase_adjusted,2024,post1_2_vs_reference,0.06302843748848957
phase_adjusted,2024,post3_6_vs_reference,-0.12393124214220458
phase_adjusted,2024,other_compound_vs_reference,1.877399967763339
