model,contrast,scheme,attempted,valid,failed,failure_fraction,conditional_lower,conditional_upper,status,target,temporal_year_blocks,note
phase_adjusted_secondary,episode_vs_reference,hierarchical_city_independent_year,5000,4984,16,0.0032,1.4459584118232287,2.999869723466116,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_adjusted_secondary,episode_vs_reference,synchronized_year_fixed_cities,5000,4984,16,0.0032,1.9142350581535692,2.621942824304364,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_adjusted_secondary,episode_vs_reference,synchronized_year_resampled_cities,5000,4989,11,0.0022,1.3479794370531226,3.0498759269068287,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_adjusted_secondary,pre1_6_vs_reference,hierarchical_city_independent_year,5000,4984,16,0.0032,-0.2436622949492072,0.649474162244437,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_adjusted_secondary,pre1_6_vs_reference,synchronized_year_fixed_cities,5000,4984,16,0.0032,0.03583118435997822,0.4098725030025421,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_adjusted_secondary,pre1_6_vs_reference,synchronized_year_resampled_cities,5000,4989,11,0.0022,-0.2766469683394374,0.6684352859329626,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_adjusted_secondary,post1_2_vs_reference,hierarchical_city_independent_year,5000,4984,16,0.0032,-0.35401770486797984,0.5447112116137052,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_adjusted_secondary,post1_2_vs_reference,synchronized_year_fixed_cities,5000,4984,16,0.0032,-0.32752836733493623,0.475600831335178,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_adjusted_secondary,post1_2_vs_reference,synchronized_year_resampled_cities,5000,4989,11,0.0022,-0.4913880116975699,0.714593473705403,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_adjusted_secondary,post3_6_vs_reference,hierarchical_city_independent_year,5000,4984,16,0.0032,-0.48847782642378823,0.6128101844052989,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_adjusted_secondary,post3_6_vs_reference,synchronized_year_fixed_cities,5000,4984,16,0.0032,-0.15888457542368328,0.3892343578943334,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_adjusted_secondary,post3_6_vs_reference,synchronized_year_resampled_cities,5000,4989,11,0.0022,-0.5134117105652838,0.670696085137817,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_adjusted_secondary,other_compound_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,1.1224853888088897,2.8412740857958942,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_adjusted_secondary,other_compound_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,1.54472308978894,2.1996953267915065,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_adjusted_secondary,other_compound_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,1.0574958112194959,2.89447998717541,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
