model,contrast,omitted_city,estimate_ppb,n_target_cities,n_estimable_cities,target
phase_adjusted_secondary,episode_vs_reference,Atlanta,2.163271226900865,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,episode_vs_reference,Chicago,2.0839975326142985,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,episode_vs_reference,Dallas,2.1570897796938793,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,episode_vs_reference,Denver,2.289505662130894,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,episode_vs_reference,Houston,2.2358611062490263,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,episode_vs_reference,Los Angeles,2.229827799953483,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,episode_vs_reference,New York,2.0971232426130952,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,episode_vs_reference,Philadelphia,2.2888487979515064,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,episode_vs_reference,Phoenix,2.1269101547456772,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,episode_vs_reference,San Diego,2.2494730877214755,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,episode_vs_reference,Seattle,1.9672352928843704,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,pre1_6_vs_reference,Atlanta,0.11208690690344755,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,pre1_6_vs_reference,Chicago,0.13799365118188864,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,pre1_6_vs_reference,Dallas,0.144432045951558,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,pre1_6_vs_reference,Denver,0.1700251386480112,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,pre1_6_vs_reference,Houston,0.1938365624705654,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,pre1_6_vs_reference,Los Angeles,0.19028715279860886,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,pre1_6_vs_reference,New York,0.16920479177307815,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,pre1_6_vs_reference,Philadelphia,0.24640760871767253,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,pre1_6_vs_reference,Phoenix,0.07418740487600221,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,pre1_6_vs_reference,San Diego,0.17185344840476496,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,pre1_6_vs_reference,Seattle,0.09403170181880438,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,post1_2_vs_reference,Atlanta,0.019443985128854813,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
phase_adjusted_secondary,post1_2_vs_reference,Chicago,-0.007345016618017808,10,10,equal_mean_remaining_10_cities_not_the_primary_11_city_target
