model,contrast,city,estimate_ppb,estimable,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
phase_adjusted_secondary,episode_vs_reference,Atlanta,2.256431414449917,True,3701,1284,3,868,288,99,27,133,6,6,16,16,228.6196283402028,3.0205697837429595,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
phase_adjusted_secondary,episode_vs_reference,Chicago,3.0491683573155877,True,4644,1284,4,1108,108,33,14,98,6,6,16,16,152.37185628662465,4.092395383037424,1284.0,108,33,2723,738,554,158,1025,290,234,65
phase_adjusted_secondary,episode_vs_reference,Dallas,2.3182458865197813,True,4519,1284,4,1109,156,46,14,85,6,6,16,16,162.72401681354827,2.741223028995736,1284.0,156,46,2490,686,704,218,1035,295,134,39
phase_adjusted_secondary,episode_vs_reference,Denver,0.9940870621496306,True,6040,1284,5,1461,37,8,4,41,6,6,16,16,216.1591165776236,3.3863683920851844,1284.0,37,8,3185,676,1033,223,1632,344,153,33
phase_adjusted_secondary,episode_vs_reference,Houston,1.5305326209683083,True,10963,1284,10,2687,649,76,22,118,6,6,16,16,473.3378769878161,3.443543758090206,1284.0,649,76,5754,664,1706,207,2506,295,348,42
phase_adjusted_secondary,episode_vs_reference,Los Angeles,1.5908656839237416,True,9253,1284,8,2148,556,76,24,127,6,6,16,16,802.0233621430314,3.3040802095815645,1283.9999999999998,556,76,5374,743,808,112,2154,302,361,51
phase_adjusted_secondary,episode_vs_reference,New York,2.9179112573276162,True,10742,1284,9,2527,466,56,21,98,6,6,16,16,213.26322937670062,4.035487452321206,1284.0,466,56,6280,751,1205,142,2440,293,351,42
phase_adjusted_secondary,episode_vs_reference,Philadelphia,1.0006557039435058,True,5975,1284,6,1435,145,33,13,76,6,6,16,16,159.33980087698347,3.4616606337860367,1284.0,145,33,3414,730,743,164,1474,314,199,43
phase_adjusted_secondary,episode_vs_reference,Phoenix,2.6200421360018016,True,5991,1284,6,1414,72,16,8,49,6,6,16,16,412.51351015286434,3.0537763170580154,1284.0,72,16,3096,666,1104,241,1566,328,153,33
phase_adjusted_secondary,episode_vs_reference,San Diego,1.3944128062438148,True,5051,1284,5,1198,291,72,26,110,6,6,16,16,654.2012904986062,1.7024510811334048,1284.0,291,72,2858,735,559,140,1193,299,150,38
phase_adjusted_secondary,episode_vs_reference,Seattle,4.216790754614867,True,2447,1282,2,587,78,40,16,104,6,6,16,16,510.77096936167914,3.6218185394278817,1282.0,78,40,1407,735,331,179,511,264,120,64
phase_adjusted_secondary,pre1_6_vs_reference,Atlanta,0.5834773445099262,True,3701,1284,3,868,288,99,27,133,6,6,16,16,228.6196283402028,3.0205697837429595,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
phase_adjusted_secondary,pre1_6_vs_reference,Chicago,0.3244099017255154,True,4644,1284,4,1108,108,33,14,98,6,6,16,16,152.37185628662465,4.092395383037424,1284.0,108,33,2723,738,554,158,1025,290,234,65
phase_adjusted_secondary,pre1_6_vs_reference,Dallas,0.26002595402882167,True,4519,1284,4,1109,156,46,14,85,6,6,16,16,162.72401681354827,2.741223028995736,1284.0,156,46,2490,686,704,218,1035,295,134,39
phase_adjusted_secondary,pre1_6_vs_reference,Denver,0.00409502706428988,True,6040,1284,5,1461,37,8,4,41,6,6,16,16,216.1591165776236,3.3863683920851844,1284.0,37,8,3185,676,1033,223,1632,344,153,33
phase_adjusted_secondary,pre1_6_vs_reference,Houston,-0.23401921116125224,True,10963,1284,10,2687,649,76,22,118,6,6,16,16,473.3378769878161,3.443543758090206,1284.0,649,76,5754,664,1706,207,2506,295,348,42
phase_adjusted_secondary,pre1_6_vs_reference,Los Angeles,-0.1985251144416867,True,9253,1284,8,2148,556,76,24,127,6,6,16,16,802.0233621430314,3.3040802095815645,1283.9999999999998,556,76,5374,743,808,112,2154,302,361,51
phase_adjusted_secondary,pre1_6_vs_reference,New York,0.012298495813620525,True,10742,1284,9,2527,466,56,21,98,6,6,16,16,213.26322937670062,4.035487452321206,1284.0,466,56,6280,751,1205,142,2440,293,351,42
phase_adjusted_secondary,pre1_6_vs_reference,Philadelphia,-0.7597296736323234,True,5975,1284,6,1435,145,33,13,76,6,6,16,16,159.33980087698347,3.4616606337860367,1284.0,145,33,3414,730,743,164,1474,314,199,43
phase_adjusted_secondary,pre1_6_vs_reference,Phoenix,0.9624723647843798,True,5991,1284,6,1414,72,16,8,49,6,6,16,16,412.51351015286434,3.0537763170580154,1284.0,72,16,3096,666,1104,241,1566,328,153,33
phase_adjusted_secondary,pre1_6_vs_reference,San Diego,-0.014188070503247552,True,5051,1284,5,1198,291,72,26,110,6,6,16,16,654.2012904986062,1.7024510811334048,1284.0,291,72,2858,735,559,140,1193,299,150,38
phase_adjusted_secondary,pre1_6_vs_reference,Seattle,0.7640293953563582,True,2447,1282,2,587,78,40,16,104,6,6,16,16,510.77096936167914,3.6218185394278817,1282.0,78,40,1407,735,331,179,511,264,120,64
phase_adjusted_secondary,post1_2_vs_reference,Atlanta,0.22120836807209143,True,3701,1284,3,868,288,99,27,133,6,6,16,16,228.6196283402028,3.0205697837429595,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
phase_adjusted_secondary,post1_2_vs_reference,Chicago,0.4890983855408175,True,4644,1284,4,1108,108,33,14,98,6,6,16,16,152.37185628662465,4.092395383037424,1284.0,108,33,2723,738,554,158,1025,290,234,65
