model,omitted_year,contrast,estimate_ppb
phase_calendar,2019,episode_vs_reference,3.367245972755737
phase_calendar,2019,pre1_6_vs_reference,0.29857965953578974
phase_calendar,2019,post1_2_vs_reference,0.21896978598203606
phase_calendar,2019,post3_6_vs_reference,-0.4004976368932374
phase_calendar,2019,other_compound_vs_reference,2.6693514461029038
phase_calendar,2020,episode_vs_reference,3.406423923966177
phase_calendar,2020,pre1_6_vs_reference,0.39859992768936775
phase_calendar,2020,post1_2_vs_reference,0.10646899842520753
phase_calendar,2020,post3_6_vs_reference,-0.3057365111378789
phase_calendar,2020,other_compound_vs_reference,2.8043823146175346
phase_calendar,2021,episode_vs_reference,3.548905111259748
phase_calendar,2021,pre1_6_vs_reference,0.4616853905212603
phase_calendar,2021,post1_2_vs_reference,0.23693659110255527
phase_calendar,2021,post3_6_vs_reference,-0.09821108211406661
phase_calendar,2021,other_compound_vs_reference,2.5934521527032346
phase_calendar,2022,episode_vs_reference,3.4911798972012473
phase_calendar,2022,pre1_6_vs_reference,0.4229754035050215
phase_calendar,2022,post1_2_vs_reference,0.33272378726312235
phase_calendar,2022,post3_6_vs_reference,-0.40012008370209506
phase_calendar,2022,other_compound_vs_reference,2.784612497888497
phase_calendar,2023,episode_vs_reference,3.407192521413947
phase_calendar,2023,pre1_6_vs_reference,0.4021987278752473
phase_calendar,2023,post1_2_vs_reference,0.29518707180527887
phase_calendar,2023,post3_6_vs_reference,-0.32073152056294857
phase_calendar,2023,other_compound_vs_reference,2.829434517603541
phase_calendar,2024,episode_vs_reference,3.3411919099499703
phase_calendar,2024,pre1_6_vs_reference,0.33241013297099337
phase_calendar,2024,post1_2_vs_reference,0.09587159088865534
phase_calendar,2024,post3_6_vs_reference,-0.3617794404452192
phase_calendar,2024,other_compound_vs_reference,2.7810311873937015
