model,contrast,scheme,attempted,valid,failed,failure_fraction,conditional_lower,conditional_upper,status,target,temporal_year_blocks,note
phase_calendar_secondary,episode_vs_reference,hierarchical_city_independent_year,5000,4984,16,0.0032,2.271203369555448,4.357760039518182,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_calendar_secondary,episode_vs_reference,synchronized_year_fixed_cities,5000,4984,16,0.0032,2.979297157802574,3.6682935748580956,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_calendar_secondary,episode_vs_reference,synchronized_year_resampled_cities,5000,4989,11,0.0022,2.246764919328168,4.406148686265136,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_calendar_secondary,pre1_6_vs_reference,hierarchical_city_independent_year,5000,4984,16,0.0032,-0.17237924657604126,1.009232713845473,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_calendar_secondary,pre1_6_vs_reference,synchronized_year_fixed_cities,5000,4984,16,0.0032,0.10015367405249526,0.6662438252150481,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_calendar_secondary,pre1_6_vs_reference,synchronized_year_resampled_cities,5000,4989,11,0.0022,-0.2474495568319491,1.0515275353068396,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_calendar_secondary,post1_2_vs_reference,hierarchical_city_independent_year,5000,4984,16,0.0032,-0.3099823870612938,0.8218905123439908,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_calendar_secondary,post1_2_vs_reference,synchronized_year_fixed_cities,5000,4984,16,0.0032,-0.0850135139980046,0.5885128909250376,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_calendar_secondary,post1_2_vs_reference,synchronized_year_resampled_cities,5000,4989,11,0.0022,-0.3958094212082341,0.9181402589871921,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_calendar_secondary,post3_6_vs_reference,hierarchical_city_independent_year,5000,4984,16,0.0032,-0.9757948052591082,0.600689676192383,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_calendar_secondary,post3_6_vs_reference,synchronized_year_fixed_cities,5000,4984,16,0.0032,-0.4541949686333927,0.26732571301552066,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_calendar_secondary,post3_6_vs_reference,synchronized_year_resampled_cities,5000,4989,11,0.0022,-0.9979811248434979,0.6576906144075909,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_calendar_secondary,other_compound_vs_reference,hierarchical_city_independent_year,5000,5000,0,0.0,1.8065503192330934,3.966564041314494,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_calendar_secondary,other_compound_vs_reference,synchronized_year_fixed_cities,5000,5000,0,0.0,2.5423383291146333,3.1627820758267164,conditional_on_estimability,fixed_11_cities,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
phase_calendar_secondary,other_compound_vs_reference,synchronized_year_resampled_cities,5000,5000,0,0.0,1.7802027691996059,4.026597479751472,conditional_on_estimability,resampled_city_distribution,6,"Whole-year exchangeability with very few blocks is an approximation. Percentiles are conditional on estimability, not unconditional confidence limits."
