model,contrast,city,estimate_ppb,estimable,n_station_days,n_city_days,n_stations,n_strata,n_episode_station_days,n_episode_city_days,n_episodes,n_compound_city_days,n_years_observed,n_year_blocks,rank_at_pinv_tolerance,parameters,condition_number,weighted_rmse,total_weight,station_days_episode,city_days_episode,station_days_neither,city_days_neither,station_days_heat_only,city_days_heat_only,station_days_wind_only,city_days_wind_only,station_days_other_compound,city_days_other_compound
phase_calendar_secondary,episode_vs_reference,Atlanta,3.232503633108747,True,3701,1284,3,868,288,99,27,133,6,6,5,5,5.279575814058615,3.394636887363931,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
phase_calendar_secondary,episode_vs_reference,Chicago,3.9521576603437474,True,4644,1284,4,1108,108,33,14,98,6,6,5,5,3.9495929150292746,4.628664516907709,1284.0,108,33,2723,738,554,158,1025,290,234,65
phase_calendar_secondary,episode_vs_reference,Dallas,3.1935279826593583,True,4519,1284,4,1109,156,46,14,85,6,6,5,5,3.740223826341631,3.0521539469355585,1284.0,156,46,2490,686,704,218,1035,295,134,39
phase_calendar_secondary,episode_vs_reference,Denver,1.4291115526281235,True,6040,1284,5,1461,37,8,4,41,6,6,5,5,4.395614544798887,3.834573097865162,1284.0,37,8,3185,676,1033,223,1632,344,153,33
phase_calendar_secondary,episode_vs_reference,Houston,1.4639023863818748,True,10963,1284,10,2687,649,76,22,118,6,6,5,5,4.013504605965249,3.707215515378723,1284.0,649,76,5754,664,1706,207,2506,295,348,42
phase_calendar_secondary,episode_vs_reference,Los Angeles,5.336587129107635,True,9253,1284,8,2148,556,76,24,127,6,6,5,5,3.723658784774359,4.0716263629829434,1283.9999999999998,556,76,5374,743,808,112,2154,302,361,51
phase_calendar_secondary,episode_vs_reference,New York,3.915837743297128,True,10742,1284,9,2527,466,56,21,98,6,6,5,5,3.874988047917227,4.32409164293134,1284.0,466,56,6280,751,1205,142,2440,293,351,42
phase_calendar_secondary,episode_vs_reference,Philadelphia,1.0203288373192048,True,5975,1284,6,1435,145,33,13,76,6,6,5,5,3.3493432905074956,3.5237627669501403,1284.0,145,33,3414,730,743,164,1474,314,199,43
phase_calendar_secondary,episode_vs_reference,Phoenix,5.313701728563678,True,5991,1284,6,1414,72,16,8,49,6,6,5,5,3.649774718068183,3.7948311138523354,1284.0,72,16,3096,666,1104,241,1566,328,153,33
phase_calendar_secondary,episode_vs_reference,San Diego,2.995555084179292,True,5051,1284,5,1198,291,72,26,110,6,6,5,5,3.8778710138057297,2.434613768468748,1284.0,291,72,2858,735,559,140,1193,299,150,38
phase_calendar_secondary,episode_vs_reference,Seattle,4.3998466405683905,True,2447,1282,2,587,78,40,16,104,6,6,5,5,3.2733682144548446,3.943076809479314,1282.0,78,40,1407,735,331,179,511,264,120,64
phase_calendar_secondary,pre1_6_vs_reference,Atlanta,1.2556072665093119,True,3701,1284,3,868,288,99,27,133,6,6,5,5,5.279575814058615,3.394636887363931,1283.9999999999998,288,99,2250,780,376,136,688,235,99,34
phase_calendar_secondary,pre1_6_vs_reference,Chicago,0.7071422461763511,True,4644,1284,4,1108,108,33,14,98,6,6,5,5,3.9495929150292746,4.628664516907709,1284.0,108,33,2723,738,554,158,1025,290,234,65
