city,station_id,year,qualifying_warm_days,high_coverage
Atlanta,13-089-0002,2019,191,True
Atlanta,13-089-0002,2020,212,True
Atlanta,13-089-0002,2021,204,True
Atlanta,13-089-0002,2022,184,True
Atlanta,13-089-0002,2023,209,True
Atlanta,13-089-0002,2024,204,True
Atlanta,13-089-0002,2025,193,True
Atlanta,13-089-0003,2019,204,True
Atlanta,13-089-0003,2020,214,True
Atlanta,13-089-0003,2021,213,True
Atlanta,13-089-0003,2022,213,True
Atlanta,13-089-0003,2023,211,True
Atlanta,13-089-0003,2024,205,True
Atlanta,13-089-0003,2025,194,True
Atlanta,13-121-0056,2019,181,True
Atlanta,13-121-0056,2020,212,True
Atlanta,13-121-0056,2021,213,True
Atlanta,13-121-0056,2022,213,True
Atlanta,13-121-0056,2023,212,True
Atlanta,13-121-0056,2024,209,True
Atlanta,13-121-0056,2025,172,True
Chicago,17-031-0076,2019,214,True
Chicago,17-031-0076,2020,179,True
Chicago,17-031-0076,2021,158,False
Chicago,17-031-0076,2022,213,True
Chicago,17-031-0076,2023,146,False
Chicago,17-031-0076,2024,205,True
Chicago,17-031-0076,2025,196,True
Chicago,17-031-0219,2019,84,False
Chicago,17-031-0219,2020,214,True
Chicago,17-031-0219,2021,207,True
Chicago,17-031-0219,2022,193,True
Chicago,17-031-0219,2023,202,True
Chicago,17-031-0219,2024,202,True
Chicago,17-031-0219,2025,211,True
Chicago,17-031-3103,2019,213,True
Chicago,17-031-3103,2020,213,True
Chicago,17-031-3103,2021,214,True
Chicago,17-031-3103,2022,214,True
Chicago,17-031-3103,2023,212,True
Chicago,17-031-3103,2024,213,True
Chicago,17-031-3103,2025,182,True
Chicago,17-031-4002,2019,214,True
Chicago,17-031-4002,2020,205,True
Chicago,17-031-4002,2021,213,True
Chicago,17-031-4002,2022,207,True
Chicago,17-031-4002,2023,122,False
Chicago,17-031-4002,2024,206,True
Chicago,17-031-4002,2025,176,True
Dallas,48-113-0069,2019,171,False
Dallas,48-113-0069,2020,214,True
Dallas,48-113-0069,2021,208,True
Dallas,48-113-0069,2022,212,True
Dallas,48-113-0069,2023,214,True
Dallas,48-113-0069,2024,213,True
Dallas,48-113-0075,2019,210,True
Dallas,48-113-0075,2020,212,True
Dallas,48-113-0075,2021,203,True
Dallas,48-113-0075,2022,130,False
Dallas,48-113-0075,2023,187,True
Dallas,48-113-0075,2024,185,True
Dallas,48-113-0075,2025,211,True
Dallas,48-113-0087,2019,161,False
Dallas,48-113-0087,2020,211,True
Dallas,48-113-0087,2021,211,True
Dallas,48-113-0087,2022,151,False
Dallas,48-113-0087,2023,213,True
Dallas,48-113-0087,2024,166,False
Dallas,48-113-0087,2025,207,True
Dallas,48-113-1067,2019,204,True
Dallas,48-113-1067,2020,201,True
Dallas,48-113-1067,2021,143,False
Dallas,48-113-1067,2022,176,True
Dallas,48-113-1067,2023,159,False
Dallas,48-113-1067,2024,196,True
Dallas,48-113-1067,2025,208,True
Denver,08-001-3001,2019,195,True
Denver,08-001-3001,2020,205,True
Denver,08-001-3001,2021,172,True
Denver,08-001-3001,2022,167,False
Denver,08-001-3001,2023,203,True
Denver,08-001-3001,2024,213,True
Denver,08-001-3001,2025,208,True
Denver,08-031-0002,2019,213,True
Denver,08-031-0002,2020,211,True
Denver,08-031-0002,2021,212,True
Denver,08-031-0002,2022,212,True
Denver,08-031-0002,2023,190,True
Denver,08-031-0002,2024,198,True
Denver,08-031-0002,2025,212,True
Denver,08-031-0026,2019,170,False
Denver,08-031-0026,2020,204,True
Denver,08-031-0026,2021,197,True
Denver,08-031-0026,2022,211,True
Denver,08-031-0026,2023,212,True
Denver,08-031-0026,2024,197,True
Denver,08-031-0026,2025,212,True
Denver,08-031-0027,2019,206,True
Denver,08-031-0027,2020,210,True
Denver,08-031-0027,2021,190,True
Denver,08-031-0027,2022,202,True
Denver,08-031-0027,2023,212,True
Denver,08-031-0027,2024,208,True
Denver,08-031-0027,2025,207,True
Denver,08-031-0028,2019,195,True
Denver,08-031-0028,2020,206,True
Denver,08-031-0028,2021,211,True
Denver,08-031-0028,2022,207,True
Denver,08-031-0028,2023,211,True
Denver,08-031-0028,2024,209,True
Denver,08-031-0028,2025,172,True
Houston,48-201-0024,2019,211,True
Houston,48-201-0024,2020,210,True
Houston,48-201-0024,2021,179,True
Houston,48-201-0024,2022,209,True
Houston,48-201-0024,2023,141,False
Houston,48-201-0024,2024,169,False
Houston,48-201-0024,2025,201,True
Houston,48-201-0026,2019,211,True
Houston,48-201-0026,2020,204,True
Houston,48-201-0026,2021,167,False
Houston,48-201-0026,2022,213,True
Houston,48-201-0026,2023,212,True
Houston,48-201-0026,2024,205,True
Houston,48-201-0026,2025,211,True
Houston,48-201-0047,2019,210,True
Houston,48-201-0047,2020,210,True
Houston,48-201-0047,2021,185,True
Houston,48-201-0047,2022,199,True
Houston,48-201-0047,2023,129,False
Houston,48-201-0047,2024,175,True
Houston,48-201-0047,2025,214,True
Houston,48-201-0055,2019,209,True
Houston,48-201-0055,2020,142,False
Houston,48-201-0055,2021,162,False
Houston,48-201-0055,2022,206,True
Houston,48-201-0055,2023,181,True
Houston,48-201-0055,2024,194,True
Houston,48-201-0055,2025,213,True
Houston,48-201-0416,2019,205,True
Houston,48-201-0416,2020,192,True
Houston,48-201-0416,2021,212,True
Houston,48-201-0416,2022,205,True
Houston,48-201-0416,2023,194,True
Houston,48-201-0416,2024,205,True
Houston,48-201-0416,2025,162,False
Houston,48-201-0417,2021,212,True
Houston,48-201-0417,2022,204,True
Houston,48-201-0417,2023,207,True
Houston,48-201-0417,2024,195,True
Houston,48-201-0417,2025,203,True
Houston,48-201-1034,2019,204,True
Houston,48-201-1034,2020,202,True
Houston,48-201-1034,2021,214,True
Houston,48-201-1034,2022,214,True
Houston,48-201-1034,2023,206,True
Houston,48-201-1034,2024,195,True
Houston,48-201-1034,2025,214,True
Houston,48-201-1035,2019,207,True
Houston,48-201-1035,2020,198,True
Houston,48-201-1035,2021,198,True
Houston,48-201-1035,2022,167,False
Houston,48-201-1035,2023,73,False
Houston,48-201-1035,2024,159,False
Houston,48-201-1035,2025,213,True
Houston,48-201-1052,2019,208,True
Houston,48-201-1052,2020,213,True
Houston,48-201-1052,2021,39,False
Houston,48-201-1052,2022,207,True
Houston,48-201-1052,2023,207,True
Houston,48-201-1052,2024,201,True
Houston,48-201-1052,2025,206,True
Houston,48-201-1066,2019,185,True
Houston,48-201-1066,2020,212,True
Houston,48-201-1066,2021,168,False
Houston,48-201-1066,2022,174,True
Houston,48-201-1066,2023,192,True
Houston,48-201-1066,2024,203,True
Houston,48-201-1066,2025,209,True
Los Angeles,06-037-0113,2019,214,True
Los Angeles,06-037-0113,2020,213,True
Los Angeles,06-037-0113,2021,210,True
Los Angeles,06-037-0113,2022,213,True
Los Angeles,06-037-0113,2023,214,True
Los Angeles,06-037-0113,2024,213,True
Los Angeles,06-037-0113,2025,213,True
Los Angeles,06-037-1103,2019,212,True
Los Angeles,06-037-1103,2020,213,True
Los Angeles,06-037-1103,2021,213,True
Los Angeles,06-037-1103,2022,213,True
Los Angeles,06-037-1103,2023,212,True
Los Angeles,06-037-1103,2024,213,True
Los Angeles,06-037-1103,2025,209,True
Los Angeles,06-037-1302,2019,210,True
Los Angeles,06-037-1302,2020,214,True
Los Angeles,06-037-1302,2021,214,True
Los Angeles,06-037-1302,2022,214,True
Los Angeles,06-037-1302,2023,209,True
Los Angeles,06-037-1302,2024,196,True
Los Angeles,06-037-1302,2025,212,True
Los Angeles,06-037-1602,2019,209,True
Los Angeles,06-037-1602,2020,213,True
Los Angeles,06-037-1602,2021,210,True
Los Angeles,06-037-1602,2022,211,True
Los Angeles,06-037-1602,2023,211,True
Los Angeles,06-037-1602,2024,211,True
Los Angeles,06-037-1602,2025,214,True
Los Angeles,06-037-2005,2019,207,True
Los Angeles,06-037-2005,2020,205,True
Los Angeles,06-037-2005,2021,213,True
Los Angeles,06-037-2005,2022,213,True
Los Angeles,06-037-2005,2023,214,True
Los Angeles,06-037-2005,2024,214,True
Los Angeles,06-037-2005,2025,213,True
Los Angeles,06-037-4008,2019,212,True
Los Angeles,06-037-4008,2020,210,True
Los Angeles,06-037-4008,2021,210,True
Los Angeles,06-037-4008,2022,214,True
Los Angeles,06-037-4008,2023,214,True
Los Angeles,06-037-4008,2024,211,True
Los Angeles,06-037-4008,2025,214,True
Los Angeles,06-037-4010,2020,210,True
Los Angeles,06-037-4010,2021,214,True
Los Angeles,06-037-4010,2022,212,True
Los Angeles,06-037-4010,2023,214,True
Los Angeles,06-037-4010,2024,208,True
Los Angeles,06-037-4010,2025,213,True
Los Angeles,06-037-5005,2019,205,True
Los Angeles,06-037-5005,2020,213,True
Los Angeles,06-037-5005,2021,166,False
New York,34-003-0010,2019,214,True
New York,34-003-0010,2020,202,True
New York,34-003-0010,2021,212,True
New York,34-003-0010,2022,204,True
New York,34-003-0010,2023,213,True
New York,34-003-0010,2024,214,True
New York,34-003-0010,2025,195,True
New York,34-013-0003,2019,214,True
New York,34-013-0003,2020,214,True
New York,34-013-0003,2021,213,True
New York,34-013-0003,2022,173,True
New York,34-017-0006,2019,214,True
New York,34-017-0006,2020,214,True
New York,34-017-0006,2021,213,True
New York,34-017-0006,2022,209,True
New York,34-017-0006,2023,214,True
New York,34-017-0006,2024,203,True
New York,34-017-0006,2025,214,True
New York,34-017-1002,2019,213,True
New York,34-017-1002,2020,211,True
New York,34-017-1002,2021,176,True
New York,34-017-1002,2022,213,True
New York,34-017-1002,2023,200,True
New York,34-017-1002,2024,208,True
New York,34-017-1002,2025,214,True
New York,34-039-0004,2019,209,True
New York,34-039-0004,2020,210,True
New York,34-039-0004,2021,213,True
New York,34-039-0004,2022,210,True
New York,34-039-0004,2023,205,True
New York,34-039-0004,2024,210,True
New York,34-039-0004,2025,213,True
New York,36-005-0110,2019,199,True
New York,36-005-0110,2020,212,True
New York,36-005-0110,2021,188,True
New York,36-005-0110,2022,211,True
New York,36-005-0110,2023,200,True
New York,36-005-0110,2024,204,True
New York,36-005-0110,2025,206,True
New York,36-005-0133,2019,214,True
New York,36-005-0133,2020,214,True
New York,36-005-0133,2021,213,True
New York,36-005-0133,2022,213,True
New York,36-005-0133,2023,207,True
New York,36-005-0133,2024,213,True
New York,36-005-0133,2025,183,True
New York,36-081-0124,2019,211,True
New York,36-081-0124,2020,209,True
New York,36-081-0124,2021,208,True
New York,36-081-0124,2022,211,True
New York,36-081-0124,2023,201,True
New York,36-081-0124,2024,211,True
New York,36-081-0124,2025,156,False
New York,36-081-0125,2019,190,True
New York,36-081-0125,2020,204,True
New York,36-081-0125,2021,203,True
New York,36-081-0125,2022,198,True
New York,36-081-0125,2023,203,True
New York,36-081-0125,2024,194,True
New York,36-081-0125,2025,203,True
Philadelphia,34-007-0002,2019,210,True
Philadelphia,34-007-0002,2020,213,True
Philadelphia,34-007-0002,2021,202,True
Philadelphia,34-007-0002,2022,212,True
Philadelphia,34-007-0002,2023,212,True
Philadelphia,34-007-0002,2024,72,False
Philadelphia,34-007-0010,2024,82,False
Philadelphia,34-007-0010,2025,213,True
Philadelphia,42-045-0002,2019,157,False
Philadelphia,42-045-0002,2020,184,True
Philadelphia,42-045-0002,2021,204,True
Philadelphia,42-045-0002,2022,180,True
Philadelphia,42-045-0002,2023,204,True
Philadelphia,42-045-0002,2024,210,True
Philadelphia,42-045-0002,2025,212,True
Philadelphia,42-101-0048,2019,96,False
Philadelphia,42-101-0048,2020,214,True
Philadelphia,42-101-0048,2021,209,True
Philadelphia,42-101-0048,2022,214,True
Philadelphia,42-101-0048,2023,206,True
Philadelphia,42-101-0048,2024,214,True
Philadelphia,42-101-0048,2025,212,True
Philadelphia,42-101-0075,2019,194,True
Philadelphia,42-101-0075,2020,209,True
Philadelphia,42-101-0075,2021,213,True
Philadelphia,42-101-0075,2022,203,True
Philadelphia,42-101-0075,2023,213,True
Philadelphia,42-101-0075,2024,208,True
Philadelphia,42-101-0075,2025,183,True
Philadelphia,42-101-0076,2019,201,True
Philadelphia,42-101-0076,2020,209,True
Philadelphia,42-101-0076,2021,214,True
Philadelphia,42-101-0076,2022,206,True
Philadelphia,42-101-0076,2023,203,True
Philadelphia,42-101-0076,2024,214,True
Philadelphia,42-101-0076,2025,191,True
Phoenix,04-013-0019,2019,214,True
Phoenix,04-013-0019,2020,203,True
Phoenix,04-013-0019,2021,210,True
Phoenix,04-013-0019,2022,212,True
Phoenix,04-013-0019,2023,198,True
Phoenix,04-013-0019,2024,187,True
Phoenix,04-013-0019,2025,166,False
Phoenix,04-013-3002,2019,214,True
Phoenix,04-013-3002,2020,214,True
Phoenix,04-013-3002,2021,214,True
Phoenix,04-013-3002,2022,205,True
Phoenix,04-013-3002,2023,195,True
Phoenix,04-013-3002,2024,211,True
Phoenix,04-013-3002,2025,209,True
Phoenix,04-013-4019,2019,214,True
Phoenix,04-013-4020,2019,163,False
Phoenix,04-013-4020,2020,214,True
Phoenix,04-013-4020,2021,213,True
Phoenix,04-013-4020,2022,208,True
Phoenix,04-013-4020,2023,214,True
Phoenix,04-013-4020,2024,191,True
Phoenix,04-013-4020,2025,210,True
Phoenix,04-013-4021,2021,200,True
Phoenix,04-013-4021,2022,205,True
Phoenix,04-013-4021,2023,208,True
Phoenix,04-013-4021,2024,214,True
Phoenix,04-013-4021,2025,182,True
Phoenix,04-013-9997,2019,212,True
Phoenix,04-013-9997,2020,214,True
Phoenix,04-013-9997,2021,206,True
Phoenix,04-013-9997,2022,214,True
Phoenix,04-013-9997,2023,213,True
Phoenix,04-013-9997,2024,211,True
Phoenix,04-013-9997,2025,212,True
San Diego,06-073-0001,2019,207,True
San Diego,06-073-0001,2020,205,True
San Diego,06-073-0001,2021,207,True
San Diego,06-073-0001,2022,191,True
San Diego,06-073-0001,2023,211,True
San Diego,06-073-0001,2024,210,True
San Diego,06-073-0001,2025,37,False
San Diego,06-073-1016,2019,204,True
San Diego,06-073-1016,2020,205,True
San Diego,06-073-1016,2021,208,True
San Diego,06-073-1016,2022,207,True
San Diego,06-073-1016,2023,212,True
San Diego,06-073-1016,2024,212,True
San Diego,06-073-1016,2025,210,True
San Diego,06-073-1022,2019,200,True
San Diego,06-073-1022,2020,204,True
San Diego,06-073-1022,2021,205,True
San Diego,06-073-1022,2022,203,True
San Diego,06-073-1022,2023,203,True
San Diego,06-073-1022,2024,199,True
San Diego,06-073-1022,2025,200,True
San Diego,06-073-1025,2023,11,False
San Diego,06-073-1025,2024,210,True
San Diego,06-073-1025,2025,210,True
San Diego,06-073-1026,2019,90,False
San Diego,06-073-1026,2020,208,True
San Diego,06-073-1026,2021,211,True
San Diego,06-073-1026,2022,210,True
San Diego,06-073-1026,2023,213,True
San Diego,06-073-1026,2024,211,True
San Diego,06-073-1026,2025,211,True
Seattle,53-033-0030,2019,210,True
Seattle,53-033-0030,2020,213,True
Seattle,53-033-0030,2021,199,True
Seattle,53-033-0030,2022,200,True
